   States   
Opt,Vol,"[0.0035     0.00364429 0.00378142 0.00393818 0.00415146 0.0044294
 0.00492443 0.00532347 0.0058002  0.00637637 0.00699986]"
CE,Vol,"[0.0035     0.00359148 0.00359148 0.00452204 0.00452204 0.00462616
 0.00500219 0.00546006 0.00603422 0.006617   0.00724801]"
Tube,Vol,"[0.0035     0.00350353 0.00364279 0.00371365 0.00429514 0.0045727
 0.00461817 0.00525195 0.00633195 0.00700001 0.00700001]"
Dual,Vol,"[0.0035     0.00408593 0.00467225 0.0047965  0.0047965  0.00567094
 0.00638537 0.00638537 0.00638537 0.00638537 0.00708499]"
Tube Dual,Vol,"[0.0035     0.00354743 0.00354743 0.00389554 0.00493705 0.00493705
 0.00601705 0.00601705 0.00709705 0.00817705 0.00925705]"
S.C. Dual,Vol,"[0.0035     0.00359148 0.00360227 0.00452818 0.00453897 0.00463891
 0.00501723 0.00547737 0.00605321 0.00663622 0.00726746]"
Opt,Ca,"[2000.         1917.29521145 1838.38207803 1751.00283529 1642.13308427
 1515.47781481 1334.74965562 1202.51488068 1070.36710576  940.15007783
  823.48991257]"
CE,Ca,"[2000.         1946.77113556 1942.42546295 1524.27034013 1494.30140007
 1432.04950807 1294.89487937 1154.47598937 1011.62009128  889.30944117
  779.58369789]"
Tube,Ca,"[2000.         1997.89313965 1917.95321778 1873.32017455 1601.94992919
 1477.35176259 1433.68737368 1230.58730037  987.264354    857.87616396
  822.89242367]"
Dual,Ca,"[2000.         1701.42137842 1461.56539018 1391.79037785 1360.68438719
 1119.73222628  960.12534708  924.94293131  891.99215273  861.06887865
  747.59555927]"
Tube Dual,Ca,"[2000.         1972.04913913 1969.73869508 1784.30284997 1382.38097761
 1347.6035823  1072.02759795 1034.57541948  843.48533972  699.33558181
  587.22528564]"
S.C. Dual,Ca,"[2000.         1946.77113556 1936.34828121 1521.75128343 1488.03284675
 1427.15032325 1289.92037619 1149.65832403 1007.26548339  885.57643256
  776.3969712 ]"
Opt,Cb,"[   0.          115.26478994  210.48901493  307.32770033  426.75214082
  564.60615178  781.03695866  915.18075674 1053.22609801 1195.64211647
 1323.44277775]"
CE,Cb,"[   0.           74.13040311   69.7847305   654.3347826   624.36584254
  649.21915695  796.42956288  949.38330413 1111.49444132 1244.60747924
 1365.13378537]"
Tube,Cb,"[   0.            2.93049715  113.94499078  160.97143654  527.57529822
  650.29347867  644.30972664  898.48893676 1223.49847203 1357.8816877
 1322.89794742]"
Dual,Cb,"[   0.          418.43285289  716.04735974  743.29197973  712.18598907
 1033.8228754  1219.4835249  1184.30110913 1151.35033055 1120.42705647
 1277.59175402]"
Tube Dual,Cb,"[   0.           38.90225325   36.59180919  291.98045224  837.75388374
  802.97648844 1163.62212064 1126.16994217 1377.6681525  1559.19818901
 1696.77620654]"
