run,solve times
0,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [165.72518492]
 [  0.        ]]"
run,solve times
1,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [122.47418499]
 [  0.        ]]"
run,solve times
2,"[[  0.      ]
 [  0.      ]
 [  0.      ]
 [  0.      ]
 [142.440696]
 [  0.      ]]"
run,solve times
3,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [227.70960712]
 [  0.        ]]"
run,solve times
4,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [169.89662814]
 [  0.        ]]"
run,solve times
5,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [190.88723397]
 [  0.        ]]"
run,solve times
6,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [130.31691098]
 [  0.        ]]"
run,solve times
7,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [176.94890404]
 [  0.        ]]"
run,solve times
8,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [153.47072911]
 [  0.        ]]"
run,solve times
9,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [292.54237795]
 [  0.        ]]"
