   States   
CE,Vol,"[0.0035     0.00373415 0.00402412 0.00427006 0.0047774  0.00553862
 0.00645202 0.00753202 0.00861202 0.00969202]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[2000.         1869.11419704 1719.41457447 1598.52117691 1401.31231417
 1175.94047279  974.1627811   799.58756906  666.25432154  561.59978473]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[   0.          182.63410983  370.6376734   500.21800659  738.22777033
 1016.30484322 1261.82888241 1476.17010116 1634.20938428 1755.99223781]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,"[  0.           5.47783784  20.09618596  40.80009122  63.92150337
  87.91377904 110.77077837 129.7794181  146.56365336 160.64323404]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,"[325.         323.89543371 323.60031274 324.43733253 324.51286389
 324.25705326 324.22261703 324.19891457 324.4919342  324.77393985]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,"[325.         328.0258977  333.90439899 337.524382   338.60494038
 339.65878833 340.5634467  340.73228246 339.50090612 336.8054655 ]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 1.92062548e-05
 2.54345764e-05 2.81942885e-05 2.95209943e-05 2.97534331e-05
 3.01515530e-05 3.06515553e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Delta H,"[-323.05       -323.05       -323.05       -328.5479936  -273.39240281
 -280.09068435 -272.96794137 -276.81701402 -274.98960141 -272.99510787]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
CE,V_in,"[2.50000000e-06 1.95121501e-06 2.41645363e-06 2.04950105e-06
 4.22779658e-06 6.34350440e-06 7.61167103e-06 9.00000000e-06
 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,"[280.         299.8030508  301.90864624 306.27205986 309.26795465
 310.61708921 311.39301832 311.58062632   0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
CE,Vol,"[0.0035     0.00373415 0.00402412 0.00450623 0.00482161 0.00567904
 0.00666368 0.00774368 0.00882368 0.00990368]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
