   States   
CE,Vol,"[0.0035     0.0035757  0.00367192 0.00378813 0.00407651 0.00442055
 0.00485937 0.00549299 0.00623954 0.00708051]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[2000.         1955.75649898 1898.72150521 1830.62955177 1685.10377467
 1530.71078516 1363.76021124 1173.89611939  998.84971599  845.68318372]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[   0.           61.60311578  132.82415474  210.93412437  392.21909038
  571.9236826   762.46972513  988.01609273 1194.15245051 1374.10701116]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,"[  0.           1.9048543    7.63743498  17.24861919  32.05009905
  52.80405586  76.7559832  100.45589128 123.0291902  142.9472853 ]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,"[325.         324.62987282 324.51170773 324.67480516 324.36123843
 324.52456977 324.80916077 324.70963337 324.66894864 324.65847376]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,"[325.         326.00558142 328.06092107 329.77541394 331.82038162
 333.80491686 334.32851491 334.22118988 334.12493808 333.81621469]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.90564724e-05
 3.41908634e-05 3.14580948e-05 2.98499892e-05 3.05603028e-05
 3.11415336e-05 3.08580847e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Delta H,"[-323.05       -323.05       -323.05       -321.52841963 -225.32764516
 -238.07920753 -268.43860849 -276.42995823 -274.82532193 -277.59326333]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
CE,V_in,"[2.50000000e-06 6.30792022e-07 8.01885543e-07 9.68393592e-07
 2.40320587e-06 2.86694397e-06 3.65686674e-06 5.28016170e-06
 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,"[280.         295.90347027 297.31482317 297.52991888 297.53023897
 297.53048556 297.53067699 300.33129809   0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
CE,Vol,"[0.0035     0.0035757  0.00367192 0.00381805 0.004048   0.00442709
 0.00487899 0.0055085  0.00625832 0.00710374]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[2000.         1955.75649898 1898.72150521 1815.6671437  1696.38767682
 1528.25764213 1357.84868029 1169.97963073  995.17953341  842.22568888]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[   0.           61.60311578  132.82415474  232.1700587   373.26949449
  575.325598    771.03787511  993.06778762 1198.90084591 1378.73317288]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
