   States   
CE,Vol,"[0.0035     0.00373415 0.00402412 0.00440376 0.00476243 0.00558897
 0.00654359 0.00762359 0.00870359 0.        ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.0064303  0.00749951 0.00856872
 0.00963793 0.01070714 0.01177635 0.01284556]"
CE,Ca,"[2000.         1869.11419687 1719.41457428 1548.11009915 1402.73863992
 1162.73538038  957.81930685  787.30406175  656.73111807    0.        ]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1008.17000495  827.74157067
  689.87067862  581.62253715  494.83978031  424.1163057   365.71177728]"
CE,Cb,"[   0.          182.63411008  370.63767363  574.22915367  728.14133379
 1031.56831551 1283.44146732 1491.79433604 1646.0654508     0.        ]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1286.67657067 1494.25834048
 1647.56751786 1765.8875496  1860.42832698 1938.10195082 2003.39199304]"
CE,Cc,"[  0.           5.47783785  20.09618598  41.44227904  67.10028253
  89.73144556 111.93182896 130.89982854 147.53514883   0.        ]"
Dual,Cc,"[  0.          17.76670932  48.31772639  80.42736876 105.65172141
 127.05058569 144.67145787 158.92480102 170.28943625 179.21613641]"
CE,T,"[325.         323.89543371 323.60031274 323.88860904 324.97286684
 324.37386053 324.18901505 324.18970053 324.48806599   0.        ]"
Dual,T,"[325.         320.74598036 320.70498699 323.28358822 324.96292321
 326.10891167 326.41941729 326.04684341 325.35562028 324.68832921]"
CE,Tj,"[325.         328.0258977  333.904399   338.93259484 339.74583974
 339.41008223 340.16827489 340.44485592 339.25486039   0.        ]"
Dual,Tj,"[325.         337.08281576 355.17872175 362.62310747 358.10200827
 347.40459383 335.88108124 327.68255306 324.22381098 324.56463321]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.81336289e-05
 2.83177764e-05 2.69215166e-05 2.85849577e-05 3.01422102e-05
 3.00038408e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.52386784e-05
 2.89013278e-05 2.95550158e-05 2.90554581e-05 2.93928491e-05
 2.99433347e-05 2.98983320e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -318.95107676 -212.15570867
 -284.06549904 -284.47058971 -274.77305426 -278.63834843    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -298.71588263 -243.86818256
 -263.62632899 -278.29530299 -279.54876356 -276.58896425 -277.89893713]"
   Inputs   
CE,V_in,"[2.50000000e-06 1.95121501e-06 2.41645363e-06 3.16363472e-06
 2.98893137e-06 6.88787828e-06 7.95511757e-06 9.00000000e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 6.59900806e-06
 8.91008167e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.91008167e-06]"
CE,Tj_in,"[280.         286.42256033 300.64788531 304.84368483 307.2161117
 308.8202694  309.84344836 310.10457265   0.        ]"
Dual,Tj_in,"[280.         280.69999726 280.70525377 291.86458346 295.88010554
 296.80567336 297.39586653 297.73218048 298.44051675]"
   States   
