   States   
CE,Vol,"[0.0035     0.0035863  0.00360881 0.00378685 0.00444167 0.0045243
 0.00509377 0.00580623 0.00657588 0.        ]"
Dual,Vol,"[0.0035     0.00441113 0.00548034 0.00604076 0.00666711 0.00773632
 0.00880553 0.00987474 0.01083264 0.01162385]"
CE,Ca,"[2000.         1949.71263774 1932.92325014 1833.50591721 1542.94965711
 1486.30394968 1290.06185895 1098.00220788  934.51010321    0.        ]"
Dual,Ca,"[2000.         1570.81856865 1231.85233838 1079.58184195  940.85161153
  775.8265373   648.75346603  548.38719154  472.44404307  415.25465056]"
CE,Cb,"[   0.           70.02878153   83.68276112  212.24940915  602.99104695
  618.29860942  854.49181511 1083.99566022 1273.26484963    0.        ]"
Dual,Cb,"[   0.          603.58182079 1038.61725185 1182.58763699 1316.02203063
 1513.76611866 1661.36372372 1776.19520086 1856.96927338 1909.74653054]"
CE,Cc,"[  0.           2.16090474   6.77294547  14.99668601  33.03378695
  60.89818642  84.16615858 107.60041118 129.98799822   0.        ]"
Dual,Cc,"[  0.          16.07613049  45.44169623  79.21584003 109.08022083
 128.99763016 146.20243089 160.48960473 173.74586481 186.94859745]"
CE,T,"[325.         324.57905434 324.85973034 324.45662857 322.69810349
 325.12979272 325.13883183 324.99502648 324.99378437   0.        ]"
Dual,T,"[325.         321.2642004  320.74602994 323.77018986 326.25027522
 326.35264502 326.03442004 325.44823531 325.06243448 325.01681026]"
CE,Tj,"[325.         326.1442825  327.36579286 328.98308591 336.05288391
 339.4283672  337.05339254 335.01773228 333.27248102   0.        ]"
Dual,Tj,"[325.         335.54754823 352.91130666 359.89768695 352.70701159
 341.05853289 332.08169183 327.17596499 325.55170392 325.20255495]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 4.80560045e-05
 2.86988198e-05 2.30273613e-05 2.74850995e-05 2.91312281e-05
 3.00690312e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.85804468e-05
 3.18832267e-05 3.07332397e-05 2.99849134e-05 3.00098187e-05
 3.01451536e-05 3.03331158e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -316.19645738 -261.10692136
 -301.00021447 -296.62710663 -291.50167427 -282.248405      0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -296.39663913 -207.63802384
 -258.80691777 -274.50726493 -277.27601917 -277.83711447 -276.99725062]"
   Inputs   
CE,V_in,"[2.50000000e-06 7.19149216e-07 1.87622161e-07 1.48363550e-06
 5.45685485e-06 6.88538619e-07 4.74561891e-06 5.93716116e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 7.59275892e-06 8.91008167e-06 4.67011998e-06
 5.21961384e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 7.98251730e-06]"
CE,Tj_in,"[280.         280.05606433 280.11773212 296.49538655 296.49570373
 296.49579947 298.69249337 313.9615656    0.        ]"
Dual,Tj_in,"[280.         280.69999726 280.70351861 280.71071688 293.36962608
 293.59758871 294.64455658 294.92219126 295.06391301]"
   States   
CE,Vol,"[0.0035     0.0035863  0.00360881 0.00411446 0.00418253 0.00456072
 0.00513743 0.00575586 0.00648286 0.        ]"
Dual,Vol,"[0.0035     0.00441113 0.00548034 0.00602816 0.00661447 0.00768368
 0.00875289 0.0098221  0.01075231 0.01154815]"
CE,Ca,"[2000.         1949.71263774 1932.92325014 1681.47362183 1631.74910573
 1471.34796308 1275.80869888 1104.88918205  946.27312621    0.        ]"
Dual,Ca,"[2000.         1570.81856865 1231.85233838 1081.90417102  948.65414499
  781.67385352  653.27153733  551.96064075  476.62442174  418.64124305]"
CE,Cb,"[   0.           70.02878153   83.68276112  428.18160471  447.68300387
  634.23189319  869.43683276 1064.50749363 1246.84500439    0.        ]"
Dual,Cb,"[   0.          603.58182079 1038.61725185 1178.85715948 1302.93545237
 1504.11627536 1653.92964036 1770.27104082 1849.08088278 1903.26473216]"
CE,Cc,"[  0.           2.16090474   6.77294547  19.84318502  41.87733501
  63.49846487  86.74004757 111.26349332 133.49812252   0.        ]"
Dual,Cc,"[  0.          16.07613049  45.44169623  79.3146336  109.63333206
 129.34917774 146.46522146 160.71519922 174.39299384 187.50936131]"
CE,T,"[325.         324.57905434 324.85973034 323.05568748 324.88556558
 325.16379802 324.93829983 325.03212519 324.97682114   0.        ]"
Dual,T,"[325.         321.2642004  320.74602994 323.80843259 326.39418731
 326.39710623 326.00990678 325.39250429 325.06441049 325.00319742]"
CE,Tj,"[325.         326.1442825  327.36579286 332.83086065 336.58217021
 335.22170933 333.83089389 332.60401779 331.29252235   0.        ]"
Dual,Tj,"[325.         335.54754823 352.91130666 359.81423525 352.25982925
 340.37220179 331.56557888 326.98508857 325.5161848  325.20583329]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.42895596e-05
 2.83029744e-05 2.84177693e-05 3.22027556e-05 3.26521658e-05
 3.14892509e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.06600740e-05
 2.87543729e-05 2.96389253e-05 2.95470497e-05 3.02368697e-05
 3.06013109e-05 3.04632249e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -326.35373268 -272.17938949
 -281.0697327  -269.28226147 -259.17593145 -272.06388298    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -305.95287972 -230.05443035
 -263.30621411 -275.3406447  -274.83501852 -273.53143776 -275.77866079]"
   Inputs   
CE,V_in,"[2.50000000e-06 7.19149216e-07 1.87622161e-07 4.21372988e-06
 5.67287741e-07 3.15152562e-06 4.80595912e-06 5.15356208e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 7.59275892e-06 8.91008167e-06 4.56516049e-06
 4.88591326e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 7.75177379e-06]"
CE,Tj_in,"[280.         280.05606433 280.11773212 280.16921281 280.213054
 302.61253666 304.23981728 304.62938615   0.        ]"
Dual,Tj_in,"[280.         280.69999726 280.70351861 299.32307853 300.99738253
 303.12336843 303.70753687 303.83540709 303.91899994]"
   States   
CE,Vol,"[0.0035     0.0035863  0.00360881 0.00413554 0.00417239 0.00461693
 0.00514499 0.005782   0.00650344 0.        ]"
Dual,Vol,"[0.0035     0.00441113 0.00548034 0.00624803 0.0069522  0.00802141
 0.00909062 0.01015983 0.0112269  0.0120091 ]"
CE,Ca,"[2000.         1949.71263774 1932.92325014 1672.53768437 1635.2150693
 1452.45707672 1272.53344906 1098.52185136  941.93474808    0.        ]"
Dual,Ca,"[2000.         1570.81856865 1231.85233838 1042.73456615  899.61069131
  744.7236771   624.60228993  529.21028128  452.13947954  398.24122975]"
CE,Cb,"[   0.           70.02878153   83.68276112  440.92780338  440.97301444
  662.06121967  871.16710608 1071.88545869 1251.05159119    0.        ]"
Dual,Cb,"[   0.          603.58182079 1038.61725185 1241.84377781 1382.41666668
 1563.05693544 1699.5362869  1806.74308129 1893.39188832 1941.02554914]"
CE,Cc,"[  0.           2.16090474   6.77294547  20.10626803  42.48175264
  63.7012661   88.01308813 112.13270571 134.41851468   0.        ]"
Dual,Cc,"[  0.          16.07613049  45.44169623  77.62174919 107.26691854
 127.94301957 145.42411128 159.77659872 171.35955695 184.64504249]"
CE,T,"[325.         324.57905434 324.85973034 322.97204344 325.00307418
 324.95898413 325.06712291 325.07888228 325.03410295   0.        ]"
Dual,T,"[325.         321.2642004  320.74602994 323.16193019 325.75949693
 326.32721929 326.27149057 325.75371601 325.08471398 325.03338052]"
CE,Tj,"[325.         326.1442825  327.36579286 333.06446094 336.67454182
 335.58719493 334.21640405 332.54570669 331.00352654   0.        ]"
Dual,Tj,"[325.         335.54754823 352.91130666 361.2311352  355.83352208
 344.21894668 333.79424546 327.23814333 325.01318881 324.77901789]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.35544649e-05
 2.37704956e-05 3.37052845e-05 3.37753385e-05 3.33089913e-05
 3.25804207e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.81655690e-05
 2.81268669e-05 2.87686918e-05 2.99711124e-05 3.05230310e-05
 3.08182689e-05 3.08811780e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -328.27361632 -315.54351319
 -249.30448745 -245.16938568 -251.25776262 -260.86888151    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -273.06338466 -249.99441711
 -274.23836028 -271.6778395  -271.25465298 -270.88172407 -271.56661235]"
   Inputs   
CE,V_in,"[2.50000000e-06 7.19149216e-07 1.87622161e-07 4.38941216e-06
 3.07040564e-07 3.70454795e-06 4.40049955e-06 5.30838930e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 7.59275892e-06 8.91008167e-06 6.39743301e-06
 5.86809491e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.89225912e-06]"
CE,Tj_in,"[280.         280.05606433 280.11773212 280.17761988 280.21678694
 295.95098935 300.51213655 300.92817462   0.        ]"
Dual,Tj_in,"[280.         280.69999726 280.70351861 280.70853846 286.83440611
 288.54038621 289.59803229 293.50056485 293.62976756]"
   States   
CE,Vol,"[0.0035     0.0035863  0.00360881 0.00402742 0.00422956 0.00453499
 0.00509135 0.00573756 0.0064558  0.        ]"
Dual,Vol,"[0.0035     0.00441113 0.00548034 0.00612687 0.00679564 0.00786485
 0.00893406 0.01000327 0.01101831 0.0118083 ]"
CE,Ca,"[2000.         1949.71263774 1932.92325014 1719.38691337 1615.6189116
 1481.1693127  1289.23558181 1110.38846982  952.07740902    0.        ]"
Dual,Ca,"[2000.         1570.81856865 1231.85233838 1063.96415118  921.86648847
  761.53975662  637.6781023   539.60409649  462.76456441  407.04845654]"
CE,Cb,"[   0.           70.02878153   83.68276112  374.1706503   478.07117355
  622.28651244  852.03548677 1060.30742355 1241.33466925    0.        ]"
Dual,Cb,"[   0.          603.58182079 1038.61725185 1207.68802091 1346.68313228
 1536.44768153 1678.88067178 1790.18253593 1874.51097105 1925.05683837]"
CE,Cc,"[  0.           2.16090474   6.77294547  18.69959186  39.40018362
  62.38380741  85.64445621 109.64394869 132.21968689   0.        ]"
Dual,Cc,"[  0.          16.07613049  45.44169623  78.54630092 108.20685401
 128.49707342 145.84086991 160.16452774 172.53687293 185.74819073]"
CE,T,"[325.         324.57905434 324.85973034 323.40894004 324.37753903
 325.16326516 325.03118019 324.99020455 324.98958281   0.        ]"
Dual,T,"[325.         321.2642004  320.74602994 323.51271425 326.0111013
 326.33118472 326.13909904 325.58919394 325.06065741 325.01449962]"
CE,Tj,"[325.         326.1442825  327.36579286 331.84915479 336.25672999
 335.99111576 334.27490911 332.91169896 331.60338896   0.        ]"
Dual,Tj,"[325.         335.54754823 352.91130666 360.46063979 354.10705925
 342.54261345 332.92691835 327.25363136 325.36072461 325.08392891]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.70090425e-05
 3.19585164e-05 3.45653412e-05 3.02139688e-05 2.99251999e-05
 3.08723067e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.04637979e-05
 2.91932676e-05 3.02840341e-05 3.08291768e-05 3.03715656e-05
 3.02541609e-05 3.04814591e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -319.7861962  -247.47473541
 -231.00359409 -276.7920336  -282.7570296  -276.30145354    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -269.17724876 -238.40737749
 -259.29604207 -265.15377964 -272.63017805 -275.74275464 -274.9690355 ]"
   Inputs   
CE,V_in,"[2.50000000e-06 7.19149216e-07 1.87622161e-07 3.48837542e-06
 1.68450931e-06 2.54527783e-06 4.63635734e-06 5.38500954e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 7.59275892e-06 8.91008167e-06 5.38776041e-06
 5.57309675e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.45862934e-06]"
