   States   
CE,Vol,"[0.0035     0.0035757  0.00367192 0.00387299 0.0042857  0.00449765
 0.00508676 0.00579152 0.00659258 0.        ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00607214 0.00700818 0.00807739
 0.0091466  0.01021581 0.01128502 0.01224495]"
CE,Ca,"[2000.         1955.75649898 1898.72150522 1788.80459241 1596.72987787
 1495.25020426 1292.27426735 1101.28190289  932.541048      0.        ]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1069.39327347  890.01068493
  737.35476469  618.795256    524.54062585  448.23626893  389.06158985]"
CE,Cb,"[   0.           61.60311577  132.82415473  270.33584655  513.38423325
  604.32608649  851.96634941 1079.61855611 1278.03772899    0.        ]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1187.38268088 1392.93692206
 1570.81981739 1705.52228445 1811.52264818 1897.52665931 1959.92086705]"
CE,Cc,"[  0.           1.9048543    7.63743498  18.58290594  36.60837998
  61.11944285  83.84889983 107.38343582 129.26027961   0.        ]"
Dual,Cc,"[  0.          17.76670932  48.31772639  83.41096356 108.81882022
 129.25921423 146.51393262 160.66656521 172.04757492 182.59469927]"
CE,T,"[325.         324.62987282 324.51170773 324.28750705 323.79207373
 325.14840012 324.86433507 324.71122573 324.66652502   0.        ]"
Dual,T,"[325.         320.74598036 320.70498699 324.33676475 325.71562047
 326.15160262 326.06114184 325.5852319  324.98806548 324.68347415]"
CE,Tj,"[325.         326.00558142 328.06092107 330.80931536 335.0512542
 336.19834821 334.93004053 334.49854155 334.21434837   0.        ]"
Dual,Tj,"[325.         337.08281576 355.17872175 360.35622148 353.02124824
 342.50239522 333.31081986 327.63616682 325.77346544 326.15840267]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.90739482e-05
 2.55901953e-05 2.95825337e-05 3.07435385e-05 3.02914402e-05
 2.93416723e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.88868261e-05
 3.07383222e-05 3.02043356e-05 3.04017094e-05 3.05340222e-05
 3.04447892e-05 3.01339334e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -312.27885482 -262.185025
 -241.66709261 -263.27998776 -278.30594727 -287.44654885    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -273.44407075 -221.47296063
 -261.16424448 -267.58275479 -270.21650493 -273.05398442 -276.09085698]"
   Inputs   
CE,V_in,"[2.50000000e-06 6.30792022e-07 8.01885543e-07 1.67560292e-06
 3.43923810e-06 1.76621087e-06 4.90924129e-06 5.87301369e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 3.61437828e-06
 7.80029161e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.91008167e-06]"
CE,Tj_in,"[280.         290.49199067 305.40515802 306.70918882 306.70931016
 308.42329149 309.07152065 310.45567106   0.        ]"
Dual,Tj_in,"[280.         280.69999726 280.70355418 294.4401979  294.9280348
 296.11556264 296.88788826 297.1017203  298.84920967]"
   States   
CE,Vol,"[0.0035     0.0035757  0.00367192 0.00387588 0.00435005 0.00451719
 0.0051583  0.00589153 0.00671898 0.        ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00609263 0.00707093 0.00814014
 0.00920935 0.01027856 0.01134777 0.01232718]"
CE,Ca,"[2000.         1955.75649898 1898.72150522 1787.41482749 1572.07406212
 1486.79911818 1271.91449089 1079.55736055  911.60569891    0.        ]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1065.69367476  881.74237448
  731.08650921  613.91222923  520.65432743  445.0902747   385.81718538]"
CE,Cb,"[   0.           61.60311577  132.82415473  272.31183188  549.12658026
  612.71122916  879.3219144  1109.18689826 1307.0404677     0.        ]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1193.37297528 1406.83000241
 1581.26401506 1713.68558793 1818.10275032 1902.96296871 1966.21614372]"
CE,Cc,"[  0.           1.9048543    7.63743498  18.62637075  37.10493062
  62.83603742  85.12253971 108.59082436 130.22039357   0.        ]"
Dual,Cc,"[  0.          17.76670932  48.31772639  83.23460503 108.22257435
 128.84248845 146.17842729 160.36630342 171.76064769 182.02323128]"
CE,T,"[325.         324.62987282 324.51170773 324.27458598 323.54410127
 325.27698291 324.8190273  324.66860278 324.64144219   0.        ]"
Dual,T,"[325.         320.74598036 320.70498699 324.27336004 325.56904288
 326.10929539 326.08988825 325.64455641 325.04529017 324.6859657 ]"
CE,Tj,"[325.         326.00558142 328.06092107 330.84395829 335.76839962
 337.01360612 335.47618361 335.11752777 334.81388525   0.        ]"
Dual,Tj,"[325.         337.08281576 355.17872175 360.49193141 353.55872146
 343.23647906 333.83099084 327.80659264 325.65983013 325.98374661]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.84449343e-05
 2.90856516e-05 2.43352262e-05 2.77328887e-05 2.91351973e-05
 3.04387146e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.75427687e-05
 3.02752302e-05 3.04474721e-05 2.97606531e-05 2.98226387e-05
 2.99584731e-05 3.02683268e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -320.26596471 -221.20511615
 -273.09119124 -292.20930545 -290.60963096 -280.18937216    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -287.71331547 -229.32272837
 -256.64918969 -271.98639396 -275.68503601 -276.66917861 -274.98603909]"
   Inputs   
CE,V_in,"[2.50000000e-06 6.30792022e-07 8.01885543e-07 1.69966209e-06
 3.95137051e-06 1.39290232e-06 5.34255525e-06 6.11023206e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 3.78508265e-06
 8.15252373e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.91008167e-06]"
CE,Tj_in,"[280.         290.49199067 305.40515802 307.02781827 307.02792979
 313.04237596 313.26597666 313.46144539   0.        ]"
Dual,Tj_in,"[280.         280.69999726 280.70355418 293.35736452 294.79273123
 295.06211901 296.02094233 296.17850696 297.99028734]"
   States   
CE,Vol,"[0.0035     0.0035757  0.00367192 0.00386998 0.00441637 0.0046042
 0.00530127 0.00609004 0.00698616 0.        ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00603805 0.00707195 0.00814116
 0.00921037 0.01027958 0.01134879 0.01233614]"
CE,Ca,"[2000.         1955.75649898 1898.72150522 1790.25747047 1547.70952918
 1456.20743302 1233.63198339 1039.22834657  870.86008917    0.        ]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1075.60652636  882.03699579
  731.33167968  614.11830931  520.82898256  445.23944759  385.6917095 ]"
CE,Cb,"[   0.           61.60311577  132.82415473  268.27027573  585.17826924
  655.32560952  932.53573999 1165.68034974 1365.9023241     0.        ]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1177.32515193 1407.47411425
 1581.77196433 1714.09633181 1818.44136206 1903.24625329 1967.1211645 ]"
CE,Cc,"[  0.           1.9048543    7.63743498  18.53740742  37.3029748
  64.14529638  86.80651397 110.19085216 131.12301686   0.        ]"
Dual,Cc,"[  0.          17.76670932  48.31772639  83.70602341 107.78815683
 128.49220646 145.89048169 160.12606564 171.55783013 181.7365085 ]"
CE,T,"[325.         324.62987282 324.51170773 324.30101128 323.26463944
 325.09726135 324.67830302 324.60843608 324.6072698    0.        ]"
Dual,T,"[325.         320.74598036 320.70498699 324.44296948 325.46711652
 326.02451068 326.04206225 325.63407788 325.05989293 324.69615043]"
CE,Tj,"[325.         326.00558142 328.06092107 330.77312125 336.40179054
 338.57758154 337.49889098 337.15634248 336.55023573   0.        ]"
Dual,Tj,"[325.         337.08281576 355.17872175 360.12985397 353.22787575
 343.37365261 334.19452124 328.16758653 325.88666722 326.08203479]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
