   States   
CE,Vol,"[0.0035     0.         0.0035863  0.00360881 0.00411041 0.00427105
 0.00466221 0.00524151 0.00593374 0.00669242]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00649133 0.00708214 0.00815135
 0.00922056 0.01028977 0.01131574 0.01206401]"
CE,Ca,"[2000.            0.         1949.71263774 1932.92325014 1683.20022418
 1596.74337817 1436.02159224 1245.9580993  1066.37498848  910.59682817]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742  998.42437729  877.38078757
  727.63647454  611.12260131  518.3623161   444.90696297  393.13494064]"
CE,Cb,"[   0.            0.           70.02878153   83.68276112  425.71949813
  499.39461448  682.43487865  907.22760239 1117.1377361  1295.69466959]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1302.51479596 1406.37343395
 1580.74928366 1713.18691952 1817.64686829 1898.3955781  1942.55043521]"
CE,Cc,"[  0.           0.           2.16090474   6.77294547  19.79206624
  42.19612731  65.4130932   89.53409946 113.31991248 135.36403526]"
Dual,Cc,"[  0.          17.76670932  48.31772639  79.93945524 111.02215388
 131.11840181 148.05167141 161.92386302 173.69759098 187.09886153]"
CE,T,"[325.           0.         324.57905434 324.85973034 323.07183218
 324.48850144 325.00868313 325.04211137 325.01413796 325.01863188]"
Dual,T,"[325.         320.74598036 320.70498699 323.11515944 326.2457992
 326.68802452 326.42605411 325.7277295  325.03902476 324.98853948]"
CE,Tj,"[325.           0.         326.1442825  327.36579286 332.7858227
 337.50016582 337.21434564 335.55238102 333.83161669 332.15984156]"
Dual,Tj,"[325.         337.08281576 355.17872175 362.98886418 355.91508547
 342.39370391 331.38809075 325.32430843 323.87590599 324.22045751]"
CE,Tj_in,[325.   0. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 0.00000000e+00 3.65484000e-05 3.65484000e-05
 2.47309985e-05 2.52782505e-05 3.09651363e-05 3.33196662e-05
 3.25841199e-05 3.23984872e-05]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.22854760e-05
 2.93436845e-05 2.95870426e-05 2.99720661e-05 3.06069189e-05
 3.07372066e-05 3.08859396e-05]"
CE,Delta H,"[-323.05          0.         -323.05       -323.05       -322.30582005
 -278.57240131 -273.1113761  -251.41321198 -260.44574526 -262.47794738]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -312.28759456 -226.79762761
 -265.30603476 -273.79032323 -272.74934085 -273.78721382 -273.36014838]"
   Inputs   
CE,V_in,"[2.50000000e-06 0.00000000e+00 7.19149216e-07 1.87622161e-07
 4.17999656e-06 1.33868786e-06 3.25961337e-06 4.82755567e-06
 5.76855497e-06]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 7.10756953e-06
 4.92347203e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.54967972e-06]"
CE,Tj_in,"[280.           0.         280.05602169 280.10759006 280.13714407
 280.18192723 289.35256667 293.45368624 294.91972753]"
Dual,Tj_in,"[280.         280.68949726 280.69308016 291.70105885 294.00932642
 294.56197059 294.940743   295.43807333 295.60757489]"
   States   
CE,Vol,"[0.0035     0.         0.0035863  0.00360881 0.00396332 0.00438568
 0.00458313 0.00521828 0.00592258 0.00670259]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00626051 0.00697163 0.00804084
 0.00911005 0.01017926 0.01117333 0.01194582]"
CE,Ca,"[2000.            0.         1949.71263774 1932.92325014 1748.40336104
 1557.83685724 1462.88070723 1254.10843562 1070.73068773  911.15732482]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1036.30455336  893.3516418
  739.80470259  620.64827699  525.97655213  452.44782337  398.80088478]"
CE,Cb,"[   0.            0.           70.02878153   83.68276112  332.90799817
  567.57915266  644.53134512  900.51468046 1115.93734286 1300.22616898]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1241.00350812 1383.17981087
 1563.41569992 1699.69357397 1806.80205816 1886.23065418 1933.86953198]"
CE,Cc,"[  0.           0.           2.16090474   6.77294547  17.7947841
  38.26622459  64.45903762  87.32906644 111.18665022 133.21513752]"
Dual,Cc,"[  0.          17.76670932  48.31772639  81.81586474 110.71709057
 130.75089848 147.73360422 161.69324546 174.03904431 187.17165634]"
CE,T,"[325.           0.         324.57905434 324.85973034 323.67753135
 323.51778054 325.25532767 324.97996756 324.96167599 324.96902942]"
Dual,T,"[325.         320.74598036 320.70498699 323.76872549 326.16755663
 326.48246386 326.21788193 325.58909403 325.05011099 324.99644872]"
CE,Tj,"[325.           0.         326.1442825  327.36579286 331.10795501
 337.27595049 338.42035558 336.28626794 334.71266004 333.1008011 ]"
Dual,Tj,"[325.         337.08281576 355.17872175 361.57512252 353.91356408
 341.58570884 331.69026084 326.22083655 324.68512106 324.70282071]"
CE,Tj_in,[325.   0. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 0.00000000e+00 3.65484000e-05 3.65484000e-05
 2.87799646e-05 2.77839890e-05 3.01118774e-05 3.18850515e-05
 3.20052566e-05 3.17583676e-05]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.24154207e-05
 2.99574926e-05 3.02292679e-05 3.02891929e-05 3.05951248e-05
 3.07746067e-05 3.08307647e-05]"
CE,Delta H,"[-323.05          0.         -323.05       -323.05       -319.41306954
 -252.50250332 -258.64803379 -269.61719318 -269.8564627  -271.4406265 ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -287.85152485 -232.28239943
 -261.29077233 -270.50188643 -272.88762524 -273.56773987 -274.00294263]"
   Inputs   
CE,V_in,"[2.50000000e-06 0.00000000e+00 7.19149216e-07 1.87622161e-07
 2.95418972e-06 3.51972192e-06 1.64542242e-06 5.29292913e-06
 5.86916308e-06]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 5.18408641e-06
 5.92602709e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.28389445e-06]"
CE,Tj_in,"[280.           0.         280.05602169 280.10759006 280.16839104
 280.21436925 282.21460348 290.02824303 291.66737543]"
Dual,Tj_in,"[280.         280.68949726 280.69308016 285.27013402 313.94267372
 313.95465468 313.97634241 313.97969887 313.98383274]"
