   States   
CE,Vol,"[0.0035     0.         0.0035757  0.00367192 0.00385011 0.00405478
 0.00445999 0.00490009 0.00550586 0.0062655 ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00661733 0.00752317 0.00859238
 0.00966159 0.0107308  0.01180001 0.01285799]"
CE,Ca,"[2000.            0.         1955.75649898 1898.72150491 1799.89634861
 1692.2924639  1515.3799281  1350.07647728 1168.80036121  992.59017576]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742  978.88077113  823.86529907
  686.84572101  579.20797056  492.87833913  422.50022894  364.68824933]"
CE,Cb,"[   0.            0.           61.60311577  132.82415516  254.57045858
  376.3974383   591.59928835  778.7154399   990.36456633 1199.51272463]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1334.30462078 1497.7172529
 1650.16310616 1767.91651457 1862.06733781 1939.46244096 2003.68280987]"
CE,Cc,"[  0.           0.           1.9048543    7.63743499  18.2340074
  34.06554634  54.1323278   78.46793767 102.57395674 124.64080469]"
Dual,Cc,"[  0.          17.76670932  48.31772639  78.94968901 106.59391939
 127.82732493 145.30861184 159.4460614  170.71488625 179.71392646]"
CE,T,"[325.           0.         324.62987282 324.51170773 324.39050782
 324.6910559  324.48600722 324.8097889  324.83546634 324.68738203]"
Dual,T,"[325.         320.74598036 320.70498699 322.7767124  325.2087064
 326.33945946 326.56591645 326.09588269 325.33285119 324.65214766]"
CE,Tj,"[325.           0.         326.00558142 328.06092108 330.5335456
 332.22425199 333.57976583 334.19292895 333.77014175 333.44831874]"
Dual,Tj,"[325.         337.08281576 355.17872175 363.72447889 359.1940632
 347.20784814 334.98215324 326.70125287 323.54900421 324.25542248]"
CE,Tj_in,[325.   0. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 0.00000000e+00 3.65484000e-05 3.65484000e-05
 2.49125111e-05 2.77446324e-05 3.13852053e-05 3.10319325e-05
 3.21771542e-05 3.02068313e-05]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.95864892e-05
 2.86765252e-05 2.96729865e-05 3.02420356e-05 3.03522898e-05
 3.07051738e-05 3.03291670e-05]"
CE,Delta H,"[-323.05          0.         -323.05       -323.05       -330.55517708
 -298.71758213 -256.28682724 -265.14540998 -255.03847534 -278.95492853]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -326.49395083 -241.95914586
 -268.21797949 -273.38368173 -276.55844311 -274.86995126 -278.79849855]"
   Inputs   
CE,V_in,"[2.50000000e-06 0.00000000e+00 6.30792022e-07 8.01885548e-07
 1.48489838e-06 1.70558490e-06 3.37671628e-06 3.66757589e-06
 5.04802527e-06]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 8.15758430e-06
 7.54868325e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 8.91008167e-06]"
CE,Tj_in,"[280.           0.         290.49199067 296.32567545 296.32605669
 296.32646326 296.32656063 303.0813099  309.83661716]"
Dual,Tj_in,"[280.         280.69999726 280.70355418 285.24652144 287.50618264
 288.24023065 288.82149551 289.53084496 289.71147085]"
