   States   
Opt,Vol,"[0.0035     0.00364429 0.00378142 0.00393818 0.00415146 0.0044294
 0.00492443 0.00532347 0.0058002  0.00637637 0.00699986]"
CE,Vol,"[0.0035     0.00359148 0.00359148 0.0036834  0.00455588 0.00455588
 0.00479108 0.0052201  0.00605963 0.00646067 0.00700573]"
Tube,Vol,"[0.0035     0.00350353 0.00364279 0.00367172 0.00444628 0.00444628
 0.00470122 0.00512175 0.00581919 0.00688915 0.00699896]"
Dual,Vol,"[0.0035     0.00408593 0.00467225 0.0047228  0.0047228  0.00562594
 0.00635125 0.00635125 0.00635125 0.00635125 0.00705738]"
Tube Dual,Vol,"[0.0035     0.00402721 0.00416088 0.00465878 0.00477788 0.00477788
 0.00477788 0.00477788 0.00585788 0.00693788 0.00801788]"
Opt,Ca,"[2000.         1917.29521145 1838.38207803 1751.00283529 1642.13308427
 1515.47781481 1334.74965562 1202.51488068 1070.36710576  940.15007783
  823.48991257]"
CE,Ca,"[2000.         1946.77113556 1942.42546295 1887.85011695 1506.43422311
 1476.31877049 1374.52254936 1230.48676024 1027.08358985  928.64011454
  823.15231381]"
Tube,Ca,"[2000.         1997.89313965 1917.95321778 1895.65648682 1546.68952361
 1518.29376058 1407.89948474 1261.83124854 1077.85992584  876.82417607
  828.08321931]"
Dual,Ca,"[2000.         1701.42137842 1461.56539018 1414.27673961 1384.12775422
 1131.2741275   967.79256006  932.5347327   899.51380916  868.52499448
  753.10451974]"
Tube Dual,Ca,"[2000.         1727.31765293 1650.47194368 1448.03753657 1381.34314933
 1351.47947247 1323.45037285 1297.09756842 1030.27009811  838.38218562
  694.17259855]"
Opt,Cb,"[   0.          115.26478994  210.48901493  307.32770033  426.75214082
  564.60615178  781.03695866  915.18075674 1053.22609801 1195.64211647
 1323.44277775]"
CE,Cb,"[   0.           74.13040311   69.7847305   136.80201152  665.24712071
  635.13166809  721.89788059  878.05830594 1139.11492537 1219.94027295
 1325.20230032]"
Tube,Cb,"[   0.            2.93049715  113.94499078  129.49374356  610.81122767
  582.41546464  685.4575011   845.03254535 1070.56805653 1336.59654645
 1327.70954427]"
Dual,Cb,"[   0.          418.43285289  716.04735974  708.84377781  678.69479242
 1020.68368895 1212.42582772 1177.16800036 1144.14707682 1113.15826214
 1273.43852966]"
