   States   
Opt,Vol,"[0.0035     0.00357116 0.00364036 0.00374269 0.00425097 0.00462319
 0.0052319  0.00548139 0.00585921 0.00639218 0.00699996]"
CE,Vol,"[0.0035     0.0036427  0.00382903 0.00397832 0.00416765 0.00437469
 0.00470199 0.00506755 0.00551129 0.00601115 0.00654773]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,"[2000.         1958.35419571 1916.1295769  1855.36789418 1615.9797346
 1458.90742725 1257.5703249  1165.66222872 1056.39914045  934.75558677
  820.80305694]"
CE,Ca,"[2000.         1918.17008841 1814.6039005  1730.89418435 1632.66456337
 1532.18888558 1398.91447208 1268.18233548 1134.30097227 1007.23535382
  891.97433222]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,"[   0.           57.98246221  108.90823842  179.58402799  499.26886878
  673.64288572  912.70265566  973.03650371 1069.64186943 1197.03878108
 1320.79220571]"
CE,Cb,"[   0.          114.04300372  244.25541316  332.05058537  433.65685097
  531.90070922  677.08731881  814.83848039  959.00148685 1095.97854181
 1219.29547696]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,"[  0.           1.79449769   6.75895849  14.94565229  30.70461172
  55.19838937  80.3767428  111.38806128 138.30376796 160.33113551
 179.20128356]"
CE,Cc,"[  0.           3.48074547  13.53549444  28.64325524  46.93852159
  67.92638496  89.81638923 113.15520656 135.8188219  157.26737099
 177.09720988]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,"[325.         324.63141695 324.51631412 324.42625016 322.74594001
 322.81876441 322.38635946 323.76189961 324.51631902 324.69355545
 324.71447284]"
CE,T,"[325.         324.27245963 323.81938789 324.01369192 324.25855141
 324.66264199 324.70806057 324.88955196 324.96901263 325.03437123
 325.11736061]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,"[325.         324.99400569 324.99065128 324.98824844 324.95137969
 324.93969945 324.91868547 324.94916547 324.97684079 324.98580652
 324.98655151]"
CE,Tj,"[325.         324.98783932 324.97627425 324.97676913 324.98081479
 324.98909609 324.99098827 324.99504161 324.9978909  325.00037578
 325.00393693]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.34193903e-05
 3.02844017e-05 3.03296171e-05 3.07273864e-05 3.08849713e-05
 3.09545861e-05 3.09867873e-05 3.10045018e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.08691270e-05
 3.29734827e-05 2.99173227e-05 2.87793670e-05 2.91973403e-05
 3.00148699e-05 3.04031346e-05 3.04188656e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-323.05       -323.05       -323.05       -320.40586107 -312.78891188
 -297.70681349 -279.99562067 -274.11090533 -272.79816489 -272.53492405
 -272.39238567]"
CE,Delta H,"[-323.05       -323.05       -323.05       -323.30145984 -274.54956565
 -266.73506851 -275.28008081 -268.53068727 -263.75945047 -261.86418349
 -261.54954777]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,"[2.50000000e-06 5.92980403e-07 5.76658078e-07 8.52761074e-07
 4.23565698e-06 3.10187417e-06 5.07255487e-06 2.07906418e-06
 3.14852318e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 1.18917750e-06 1.55273743e-06 1.24407185e-06
 1.57777621e-06 1.72528166e-06 2.72755874e-06 3.04634091e-06
 3.69782758e-06 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,"[280.         297.69205455 314.36685408 314.74633785 314.74634148
 314.74634459 314.74634719 314.74634926 314.74635099   0.        ]"
CE,Tj_in,"[280.         280.         280.05136843 297.69210141 314.36685455
 314.74633803 314.746342   314.74634511 314.7463477    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
Opt,Vol,"[0.0035     0.00357116 0.00364036 0.00374269 0.00425097 0.00462319
 0.0052319  0.00548139 0.00585921 0.00639218 0.00699996]"
CE,Vol,"[0.0035     0.0036427  0.00382903 0.0040128  0.00420079 0.00440997
 0.00479063 0.00519213 0.00566747 0.0061725  0.00676098]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,"[2000.         1958.35419571 1916.1295769  1855.36789418 1615.9797346
 1458.90742725 1257.5703249  1165.66222872 1056.39914045  934.75558677
  820.80305694]"
CE,Ca,"[2000.         1918.17008841 1814.6039005  1715.40544798 1618.1760875
 1517.57319139 1369.66199421 1233.03292087 1097.1596697   974.26392129
  856.75794894]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,"[   0.           57.98246221  108.90823842  179.58402799  499.26886878
  673.64288572  912.70265566  973.03650371 1069.64186943 1197.03878108
 1320.79220571]"
CE,Cb,"[   0.          114.04300372  244.25541316  354.35921865  452.29588896
  549.28985656  716.69643152  862.54846756 1009.36168908 1139.1066575
 1268.37616501]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,"[  0.           1.79449769   6.75895849  14.94565229  30.70461172
  55.19838937  80.3767428  111.38806128 138.30376796 160.33113551
 179.20128356]"
CE,Cc,"[  0.           3.48074547  13.53549444  29.01304375  48.17599192
  69.74014254  91.52423087 115.16086045 137.95952255 159.79898423
 178.59476463]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,"[325.         324.63141695 324.51631412 324.42625016 322.74594001
 322.81876441 322.38635946 323.76189961 324.51631902 324.69355545
 324.71447284]"
CE,T,"[325.         324.27245963 323.81938789 323.85348514 324.18552527
 324.63546143 324.49463974 324.63820685 324.71651578 324.87459857
 324.85779058]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,"[325.         324.99400569 324.99065128 324.98824844 324.95137969
 324.93969945 324.91868547 324.94916547 324.97684079 324.98580652
 324.98655151]"
CE,Tj,"[325.         324.98783932 324.97627425 324.97349025 324.97848605
 324.98807205 324.98556993 324.9871641  324.9889599  324.99357384
 324.9935481 ]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.34193903e-05
 3.02844017e-05 3.03296171e-05 3.07273864e-05 3.08849713e-05
 3.09545861e-05 3.09867873e-05 3.10045018e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.16894491e-05
 2.85593549e-05 2.96169036e-05 3.17730235e-05 3.03809767e-05
 3.03305420e-05 3.05084208e-05 3.07648011e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-323.05       -323.05       -323.05       -320.40586107 -312.78891188
 -297.70681349 -279.99562067 -274.11090533 -272.79816489 -272.53492405
 -272.39238567]"
CE,Delta H,"[-323.05       -323.05       -323.05       -314.65443979 -292.68231153
 -273.98562089 -265.60121814 -272.53130843 -272.5608359  -269.30039093
 -267.97558343]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,"[2.50000000e-06 5.92980403e-07 5.76658078e-07 8.52761074e-07
 4.23565698e-06 3.10187417e-06 5.07255487e-06 2.07906418e-06
 3.14852318e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 1.18917750e-06 1.55273743e-06 1.53140785e-06
 1.56662053e-06 1.74312154e-06 3.17217659e-06 3.34586887e-06
 3.96114649e-06 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,"[280.         297.69205455 314.36685408 314.74633785 314.74634148
 314.74634459 314.74634719 314.74634926 314.74635099   0.        ]"
CE,Tj_in,"[280.         280.         280.05136843 297.69210141 314.36685538
 314.74633803 314.746342   314.74634511 314.7463477    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
Opt,Vol,"[0.0035     0.00357116 0.00364036 0.00374269 0.00425097 0.00462319
 0.0052319  0.00548139 0.00585921 0.00639218 0.00699996]"
CE,Vol,"[0.0035     0.0036427  0.00382903 0.00399629 0.00420486 0.0044138
 0.00474864 0.00517533 0.00566479 0.00620904 0.00678558]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,"[2000.         1958.35419571 1916.1295769  1855.36789418 1615.9797346
 1458.90742725 1257.5703249  1165.66222872 1056.39914045  934.75558677
  820.80305694]"
CE,Ca,"[2000.         1918.17008841 1814.6039005  1722.78508607 1617.07068155
 1516.56002857 1382.44231238 1238.10909781 1098.72341295  969.2644623
  854.0576439 ]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,"[   0.           57.98246221  108.90823842  179.58402799  499.26886878
  673.64288572  912.70265566  973.03650371 1069.64186943 1197.03878108
 1320.79220571]"
CE,Cb,"[   0.          114.04300372  244.25541316  343.72805122  455.2146867
  551.72010882  697.17818232  856.68283396 1009.46462968 1150.79149453
 1275.06257705]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,"[  0.           1.79449769   6.75895849  14.94565229  30.70461172
  55.19838937  80.3767428  111.38806128 138.30376796 160.33113551
 179.20128356]"
CE,Cc,"[  0.           3.48074547  13.53549444  28.83772787  47.67171639
  69.37593933  91.66333964 114.46140773 136.98010036 158.1247248
 177.54038284]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,"[325.         324.63141695 324.51631412 324.42625016 322.74594001
 322.81876441 322.38635946 323.76189961 324.51631902 324.69355545
 324.71447284]"
CE,T,"[325.         324.27245963 323.81938789 323.92987915 324.12920781
 324.59442769 324.66263506 324.6385393  324.65350809 324.68345044
 324.75391755]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,"[325.         324.99400569 324.99065128 324.98824844 324.95137969
 324.93969945 324.91868547 324.94916547 324.97684079 324.98580652
 324.98655151]"
CE,Tj,"[325.         324.98783932 324.97627425 324.97506258 324.97765418
 324.98693926 324.98948628 324.98809669 324.98712539 324.98685758
 324.98834803]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.34193903e-05
 3.02844017e-05 3.03296171e-05 3.07273864e-05 3.08849713e-05
 3.09545861e-05 3.09867873e-05 3.10045018e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.77075552e-05
 3.11242829e-05 3.30628177e-05 3.16240187e-05 2.97683434e-05
 2.99753212e-05 2.98446571e-05 3.04014295e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-323.05       -323.05       -323.05       -320.40586107 -312.78891188
 -297.70681349 -279.99562067 -274.11090533 -272.79816489 -272.53492405
 -272.39238567]"
CE,Delta H,"[-323.05       -323.05       -323.05       -305.14371972 -283.61389225
 -234.33339782 -257.3846781  -277.49784636 -277.76680178 -279.18635341
 -273.87365533]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,"[2.50000000e-06 5.92980403e-07 5.76658078e-07 8.52761074e-07
 4.23565698e-06 3.10187417e-06 5.07255487e-06 2.07906418e-06
 3.14852318e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 1.18917750e-06 1.55273743e-06 1.39387071e-06
 1.73800628e-06 1.74118956e-06 2.79037385e-06 3.55574316e-06
 4.07881978e-06 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,"[280.         297.69205455 314.36685408 314.74633785 314.74634148
 314.74634459 314.74634719 314.74634926 314.74635099   0.        ]"
CE,Tj_in,"[280.         280.         280.05136843 297.69207155 314.36685538
 314.74633836 314.746342   314.74634511 314.7463477    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
Opt,Vol,"[0.0035     0.00357116 0.00364036 0.00374269 0.00425097 0.00462319
 0.0052319  0.00548139 0.00585921 0.00639218 0.00699996]"
CE,Vol,"[0.0035     0.0036427  0.00382903 0.00399883 0.00416632 0.00442094
 0.00473899 0.00511628 0.00562053 0.00613702 0.0067039 ]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,"[2000.         1958.35419571 1916.1295769  1855.36789418 1615.9797346
 1458.90742725 1257.5703249  1165.66222872 1056.39914045  934.75558677
  820.80305694]"
CE,Ca,"[2000.         1918.17008841 1814.6039005  1721.64662809 1632.54967089
 1514.99521974 1386.05823076 1253.67639386 1109.13894319  982.71702052
  866.81180245]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,"[   0.           57.98246221  108.90823842  179.58402799  499.26886878
  673.64288572  912.70265566  973.03650371 1069.64186943 1197.03878108
 1320.79220571]"
CE,Cb,"[   0.          114.04300372  244.25541316  345.3678653   432.19887128
  556.56057118  693.28505162  833.2213346   995.55240673 1131.17058424
 1256.39180727]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,"[  0.           1.79449769   6.75895849  14.94565229  30.70461172
  55.19838937  80.3767428  111.38806128 138.30376796 160.33113551
 179.20128356]"
CE,Cc,"[  0.           3.48074547  13.53549444  28.86487703  47.59064896
  68.37863969  91.0510409  114.50562984 136.29567139 157.90155399
 177.35619562]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,"[325.         324.63141695 324.51631412 324.42625016 322.74594001
 322.81876441 322.38635946 323.76189961 324.51631902 324.69355545
 324.71447284]"
CE,T,"[325.         324.27245963 323.81938789 323.91810132 324.31235827
 324.48946499 324.65698976 324.829163   324.71489265 324.81422488
 324.87227202]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,"[325.         324.99400569 324.99065128 324.98824844 324.95137969
 324.93969945 324.91868547 324.94916547 324.97684079 324.98580652
 324.98655151]"
CE,Tj,"[325.         324.98783932 324.97627425 324.97482125 324.98149006
 324.98547295 324.98889437 324.99315763 324.99011886 324.99165293
 324.99368503]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.34193903e-05
 3.02844017e-05 3.03296171e-05 3.07273864e-05 3.08849713e-05
 3.09545861e-05 3.09867873e-05 3.10045018e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.75391550e-05
 2.33948029e-05 3.01693312e-05 3.23699272e-05 3.22485428e-05
 3.14568608e-05 3.13690286e-05 3.13376607e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-323.05       -323.05       -323.05       -320.40586107 -312.78891188
 -297.70681349 -279.99562067 -274.11090533 -272.79816489 -272.53492405
 -272.39238567]"
CE,Delta H,"[-323.05       -323.05       -323.05       -324.11962041 -317.13754557
 -265.42831894 -245.68029882 -246.21290315 -262.61614696 -262.02444918
 -262.44142537]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,"[2.50000000e-06 5.92980403e-07 5.76658078e-07 8.52761074e-07
 4.23565698e-06 3.10187417e-06 5.07255487e-06 2.07906418e-06
 3.14852318e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 1.18917750e-06 1.55273743e-06 1.41501275e-06
 1.39572999e-06 2.12184290e-06 2.65038903e-06 3.14410698e-06
 4.20207808e-06 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,"[280.         297.69205455 314.36685408 314.74633785 314.74634148
 314.74634459 314.74634719 314.74634926 314.74635099   0.        ]"
CE,Tj_in,"[280.         280.         280.05136843 297.69210141 314.36685538
 314.74633836 314.746342   314.74634511 314.7463477    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
Opt,Vol,"[0.0035     0.00357116 0.00364036 0.00374269 0.00425097 0.00462319
 0.0052319  0.00548139 0.00585921 0.00639218 0.00699996]"
CE,Vol,"[0.0035     0.0036427  0.00382903 0.00401263 0.00428491 0.00454923
 0.00489967 0.00531565 0.00580306 0.00634787 0.00694387]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,"[2000.         1958.35419571 1916.1295769  1855.36789418 1615.9797346
 1458.90742725 1257.5703249  1165.66222872 1056.39914045  934.75558677
  820.80305694]"
CE,Ca,"[2000.         1918.17008841 1814.6039005  1715.48278563 1585.16215555
 1467.20247264 1333.2432979  1197.41286118 1063.97703639  939.46592314
  826.21199971]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,"[   0.           57.98246221  108.90823842  179.58402799  499.26886878
  673.64288572  912.70265566  973.03650371 1069.64186943 1197.03878108
 1320.79220571]"
CE,Cb,"[   0.          114.04300372  244.25541316  354.24778496  501.06133969
  620.39936858  761.5709254   905.24533155 1048.32359464 1182.63383367
 1306.00630992]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,"[  0.           1.79449769   6.75895849  14.94565229  30.70461172
  55.19838937  80.3767428  111.38806128 138.30376796 160.33113551
 179.20128356]"
CE,Cc,"[  0.           3.48074547  13.53549444  29.01121464  48.4781708
  71.51876898  95.4256511  119.45415067 142.28434031 163.26691265
 181.87027621]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,"[325.         324.63141695 324.51631412 324.42625016 322.74594001
 322.81876441 322.38635946 323.76189961 324.51631902 324.69355545
 324.71447284]"
CE,T,"[325.         324.27245963 323.81938789 323.85428634 323.80616449
 324.17823799 324.39361583 324.57870904 324.68843542 324.75936676
 324.78314898]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,"[325.         324.99400569 324.99065128 324.98824844 324.95137969
 324.93969945 324.91868547 324.94916547 324.97684079 324.98580652
 324.98655151]"
CE,Tj,"[325.         324.98783932 324.97627425 324.97350682 324.97016454
 324.97571448 324.98044229 324.98463053 324.98746196 324.98933214
 324.98973429]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.34193903e-05
 3.02844017e-05 3.03296171e-05 3.07273864e-05 3.08849713e-05
 3.09545861e-05 3.09867873e-05 3.10045018e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.82371779e-05
 3.73687350e-05 3.44047056e-05 2.97346482e-05 3.05074945e-05
 3.08649310e-05 3.06909172e-05 3.10116924e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-323.05       -323.05       -323.05       -320.40586107 -312.78891188
 -297.70681349 -279.99562067 -274.11090533 -272.79816489 -272.53492405
 -272.39238567]"
CE,Delta H,"[-323.05       -323.05       -323.05       -315.63479125 -277.54277727
 -260.4416058  -285.99946523 -274.41393254 -269.8818675  -272.04343552
 -269.16219237]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,"[2.50000000e-06 5.92980403e-07 5.76658078e-07 8.52761074e-07
 4.23565698e-06 3.10187417e-06 5.07255487e-06 2.07906418e-06
 3.14852318e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 1.18917750e-06 1.55273743e-06 1.52996043e-06
 2.26903546e-06 2.20269679e-06 2.92028271e-06 3.46651774e-06
 4.06173081e-06 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,"[280.         297.69205455 314.36685408 314.74633785 314.74634148
 314.74634459 314.74634719 314.74634926 314.74635099   0.        ]"
CE,Tj_in,"[280.         280.         280.05136843 297.69207155 314.36685538
 314.74633836 314.746342   314.74634511 314.7463477    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
Opt,Vol,"[0.0035     0.00357116 0.00364036 0.00374269 0.00425097 0.00462319
 0.0052319  0.00548139 0.00585921 0.00639218 0.00699996]"
CE,Vol,"[0.0035     0.0036427  0.00382903 0.0040256  0.00426577 0.00451195
 0.00489725 0.0053596  0.00585688 0.00642005 0.00700112]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,"[2000.         1958.35419571 1916.1295769  1855.36789418 1615.9797346
 1458.90742725 1257.5703249  1165.66222872 1056.39914045  934.75558677
  820.80305694]"
CE,Ca,"[2000.         1918.17008841 1814.6039005  1709.72456786 1592.15975586
 1479.92690188 1334.81819172 1188.06876066 1054.03974209  928.21915715
  818.44327103]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,"[   0.           57.98246221  108.90823842  179.58402799  499.26886878
  673.64288572  912.70265566  973.03650371 1069.64186943 1197.03878108
 1320.79220571]"
CE,Cb,"[   0.          114.04300372  244.25541316  362.54580824  489.73197709
  601.33281151  761.38610136  922.8984688  1066.10094858 1202.38434692
 1318.84527714]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,"[  0.           1.79449769   6.75895849  14.94565229  30.70461172
  55.19838937  80.3767428  111.38806128 138.30376796 160.33113551
 179.20128356]"
CE,Cc,"[  0.           3.48074547  13.53549444  29.14693599  48.81135565
  71.51073427  94.55464443 117.99935608 141.13577531 162.11476695
 181.39592653]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,"[325.         324.63141695 324.51631412 324.42625016 322.74594001
 322.81876441 322.38635946 323.76189961 324.51631902 324.69355545
 324.71447284]"
CE,T,"[325.         324.27245963 323.81938789 323.79459957 323.92026148
 324.32952706 324.33450827 324.34623359 324.48674142 324.55325987
 324.68246047]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,"[325.         324.99400569 324.99065128 324.98824844 324.95137969
 324.93969945 324.91868547 324.94916547 324.97684079 324.98580652
 324.98655151]"
CE,Tj,"[325.         324.98783932 324.97627425 324.97226652 324.97240372
 324.97979811 324.97976532 324.97780683 324.97975158 324.98079223
 324.98427313]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.34193903e-05
 3.02844017e-05 3.03296171e-05 3.07273864e-05 3.08849713e-05
 3.09545861e-05 3.09867873e-05 3.10045018e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.57358131e-05
 3.50617252e-05 2.98580421e-05 2.92618429e-05 3.02629394e-05
 2.97701520e-05 2.97041499e-05 3.02013595e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-323.05       -323.05       -323.05       -320.40586107 -312.78891188
 -297.70681349 -279.99562067 -274.11090533 -272.79816489 -272.53492405
 -272.39238567]"
CE,Delta H,"[-323.05       -323.05       -323.05       -300.74444525 -279.96249438
 -283.37673816 -295.35125388 -287.38324945 -286.07392724 -285.02326166
 -279.45849008]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,"[2.50000000e-06 5.92980403e-07 5.76658078e-07 8.52761074e-07
 4.23565698e-06 3.10187417e-06 5.07255487e-06 2.07906418e-06
 3.14852318e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 1.18917750e-06 1.55273743e-06 1.63808190e-06
 2.00139628e-06 2.05148211e-06 3.21090711e-06 3.85288315e-06
 4.14402493e-06 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,"[280.         297.69205455 314.36685408 314.74633785 314.74634148
 314.74634459 314.74634719 314.74634926 314.74635099   0.        ]"
CE,Tj_in,"[280.         280.         280.05136843 297.69210141 314.36685538
 314.74633836 314.746342   314.74634511 314.7463477    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
