run,solve times
0,"[[  0.        ]
 [  0.        ]
 [  0.        ]
 [  0.        ]
 [254.50840211]
 [  0.        ]]"
run,solve times
1,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [32.05624604]
 [ 0.        ]]"
run,solve times
2,"[[ 0.      ]
 [ 0.      ]
 [ 0.      ]
 [ 0.      ]
 [50.736269]
 [ 0.      ]]"
run,solve times
3,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [33.44284296]
 [ 0.        ]]"
run,solve times
4,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [41.87124681]
 [ 0.        ]]"
run,solve times
5,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [49.97684097]
 [ 0.        ]]"
run,solve times
6,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [42.12234902]
 [ 0.        ]]"
run,solve times
7,"[[ 0.       ]
 [ 0.       ]
 [ 0.       ]
 [ 0.       ]
 [47.8167491]
 [ 0.       ]]"
run,solve times
8,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [58.97576809]
 [ 0.        ]]"
run,solve times
9,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [48.78157783]
 [ 0.        ]]"
