   States   
CE,Vol,"[0.0035  0.00404 0.00404 0.00404 0.00457 0.00511 0.00565 0.00619 0.00673
 0.00727 0.00781 0.00835 0.00889 0.00943 0.00997 0.01051 0.01105 0.01159
 0.01213 0.01267]"
Dual,Vol,"[0.0035     0.00403461 0.00404    0.00404539 0.00454274 0.00454813
 0.00482315 0.00535776 0.00551191 0.00604652 0.00658113 0.00710749
 0.00757468 0.00810929 0.00852545 0.00906006 0.00959467 0.01000852
 0.01054313 0.01107774]"

CE,Ca,"[2000.         1727.08171132 1716.64677981 1706.54698305 1496.3225138
 1321.94277983 1177.31734662 1055.47767525  951.50210281  861.81682218
  783.75059566  715.26570287  654.77981033  601.04380287  553.05463094
  509.99930413  471.21275172  436.14333041  404.32950013  375.38260624]"
Dual,Ca,"[2000.         1729.43987118 1716.74148467 1704.31883983 1505.47895401
 1488.65817982 1388.55055733 1233.26601121 1180.54677697 1058.14211401
  953.7675027   864.80435919  793.46713946  723.80025139  671.6422222
  615.99330084  566.38569874  528.31140488  487.66062675  450.97817842]"

CE,Cb,"[   0.          395.39846865  384.96353714  374.86374039  666.9968092
  897.28169354 1079.96877947 1228.33455015 1351.21360339 1454.68159424
 1543.05812276 1619.4885151  1686.31158877 1745.30017684 1797.82444804
 1844.9555712  1887.54049102 1926.2593869  1961.66413471 1994.20610208]"
Dual,Cb,"[   0.          391.96954785  385.05824752  378.40726518  653.17475646
  640.91952752  760.21498248  966.9750859  1005.60247335 1163.91668174
 1294.65430019 1402.62394113 1483.15470966 1565.80158967 1618.98799331
 1684.46550272 1742.48828235 1779.8320598  1827.84498582 1871.26821979]"

CE,Cc,"[  0.           5.59158575  16.02651726  26.12631401  35.40776804
  47.92165469  61.62208024  75.37957479  88.61329696 101.037269
 112.5263935  123.04517224 132.60747829 141.25364754 149.03744222
 156.01818904 162.25615256 167.810247   172.73664604 177.08799542]"
Dual,Cc,"[  0.           5.54825815  15.93181019  26.04579003  35.44272501
  50.4372811   62.78367261  73.25035892  89.43094448  99.5480589
 109.8777783  120.06780803 130.65783246 139.3992133  149.41946935
 156.61781841 163.17326781 171.08033315 176.26562962 180.90580503]"

CE,T,"[325.         322.11250884 323.08828169 324.14013363 322.61477893
 321.96199124 321.95490375 322.37464148 323.04214193 323.80870821
 324.55511403 325.19383455 325.67004192 325.95990618 326.0663979
 326.01306245 325.83642699 325.578744   325.2816247  324.98112706]"
