   States  
Opt,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Vol,"[0.0035     0.00398974 0.00473311 0.00483787 0.00556813 0.00614742
 0.00668523 0.00668523 0.00668523 0.00668523 0.00736524]"
Tube Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Ca,"[2000.         1744.75475674 1446.34405494 1383.72427157 1170.59339277
 1026.21492568  909.80503312  876.19595684  844.63948229  814.95575635
  712.50793758]"
Tube Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Cb,"[   0.          358.50153459  748.98675576  766.42770063 1027.70409384
 1179.48914276 1292.09901819 1258.48994191 1226.93346736 1197.24974142
 1336.49423508]"
Tube Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Cc,"[  0.           9.74653212  32.59886473  63.19435681  86.56232681
 112.47538749 137.27737285 170.88644913 202.44292368 232.12664962
 237.89754342]"
Tube Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,T,"[325.         322.76838163 321.28371963 323.43606634 322.95187458
 323.5631745  324.37728936 326.94733699 329.18444587 331.12538323
 329.99148523]"
Tube Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Tj,"[325.         324.95758613 324.90264728 324.94264219 324.93163879
 324.93955404 324.96672453 325.06463    325.16508554 325.25246442
 325.24838564]"
Tube Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Tube Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
Opt,k0,"[2.95195725e-05 2.95195725e-05 2.95195725e-05 2.95195725e-05
 2.95195725e-05 2.95195725e-05 2.95195725e-05 2.95195725e-05
 2.95195725e-05 2.95195725e-05 2.95195725e-05]"
CE,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,k0,"[3.10668000e-05 3.10668000e-05 3.10668000e-05 2.35635934e-05
 2.71377924e-05 2.73981751e-05 2.82071765e-05 2.89534469e-05
 2.92869348e-05 2.92965944e-05 2.94815883e-05]"
Tube Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.S Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Delta H,"[-327.57600305 -327.57600305 -327.57600305 -327.57600305 -327.57600305
 -327.57600305 -327.57600305 -327.57600305 -327.57600305 -327.57600305
 -327.57600305]"
CE,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Delta H,"[-274.5925     -274.5925     -274.5925     -340.12800965 -358.78096117
 -356.778275   -346.59518533 -340.12176584 -340.64937977 -339.92716599
 -338.53695638]"
Tube Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.S Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
Opt,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,V_in,"[2.50000000e-06 4.08114812e-06 6.19476721e-06 8.72975629e-07
 6.08549313e-06 4.82742590e-06 4.48175911e-06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
Tube Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.S Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Tj_in,"[280.         280.00150808 314.19297981 314.5362779  314.23231451
 314.23231425 314.23194991 280.07716867 280.03390396   0.        ]"
Tube Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.S Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States  
Opt,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Vol,"[0.0035     0.00398974 0.00473311 0.00473311 0.00575981 0.00657216
 0.00657216 0.00657216 0.00657216 0.00657216 0.00723672]"
Tube Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Ca,"[2000.         1744.77390502 1446.40675537 1415.48935793 1132.09497998
  957.72218467  922.35864018  889.197071    858.03982923  828.71230928
  725.63039051]"
Tube Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Cb,"[   0.          358.5206828   749.04945594  718.1320585  1093.80014495
 1294.97552641 1259.61198192 1226.45041274 1195.29317097 1165.96565102
 1307.41208121]"
Tube Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Cc,"[  0.           9.72738387  32.5361644   63.45356185  83.22295404
 107.37647863 142.74002313 175.9015923  207.05883408 236.38635402
 241.65693321]"
Tube Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,T,"[325.         322.58470132 320.68276852 322.71982246 320.7162309
 320.47900492 322.7989949  324.83307282 326.61257597 328.16500536
 326.9918192 ]"
Tube Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Tube,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Dual,Tj,"[325.         324.95471652 324.88855598 324.92398809 324.85933018
 324.81243359 324.88741492 324.97665926 325.05505096 325.12347942
 325.10276701]"
Tube Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
S.C. Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Opt,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
