Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.5000059098592158,0.5000059098592158,,0.0,-5.909859215780244e-06,-5.909859215780244e-06
xk_1,0.5,0.4999204401025356,0.4999204401025356,,0.0,7.955989746438741e-05,7.955989746438741e-05
xk_1,0.5,0.4999513419578433,0.4999513419578433,,0.0,4.8658042156701775e-05,4.8658042156701775e-05
xk_1,0.5,0.5006328518381841,0.5006328518381841,,0.0,-0.0006328518381840675,-0.0006328518381840675
xk_1,0.5,0.4995755569060734,0.4995755569060734,,0.0,0.0004244430939265853,0.0004244430939265853
xk_1,0.5,0.5001223038715233,0.5001223038715233,,0.0,-0.00012230387152334377,-0.00012230387152334377
xk_1,0.5,0.5000081832060626,0.5000081832060626,,0.0,-8.183206062550852e-06,-8.183206062550852e-06
xk_1,0.5,0.49998312611038226,0.49998312611038226,,0.0,1.6873889617741167e-05,1.6873889617741167e-05
xk_1,0.5,0.4994607500832577,0.4994607500832577,,0.0,0.0005392499167423126,0.0005392499167423126
xk_1,0.5,0.4999396444392349,0.4999396444392349,,0.0,6.035556076511295e-05,6.035556076511295e-05
xk_1,0.5,0.501492718112436,0.501492718112436,,0.0,-0.001492718112436009,-0.001492718112436009
xk_1,0.5,0.5016569787400711,0.5016569787400711,,0.0,-0.0016569787400710911,-0.0016569787400710911
xk_1,0.5,0.5037875453785103,0.5037875453785103,,0.0,-0.0037875453785103375,-0.0037875453785103375
xk_1,0.5,0.5031982674697209,0.5031982674697209,,0.0,-0.00319826746972085,-0.00319826746972085
xk_1,0.5,0.4984450252433087,0.4984450252433087,,0.0,0.0015549747566913075,0.0015549747566913075
xk_1,0.5,0.4977345225187679,0.4976089026789177,,0.00012561983985015512,0.0022654774812321254,0.0023910973210822806
xk_1,0.5,0.4994220856322781,0.49924994685368757,,0.00017213877859051374,0.0005779143677219212,0.0007500531463124349
xk_1,0.5,0.5019362765342369,0.5018073999989924,,0.00012887653524451537,-0.0019362765342368915,-0.0018073999989923761
xk_1,0.5,0.5042054611832637,0.5041284902389713,,7.697094429237605e-05,-0.0042054611832637034,-0.004128490238971327
xk_1,0.5,0.5027189631772065,0.5026809510118097,,3.801216539689456e-05,-0.002718963177206546,-0.0026809510118096513
xk_1,0.5,0.5033737531870061,0.5033585563914338,,1.5196795572269828e-05,-0.0033737531870060566,-0.003358556391433787
xk_1,0.5,0.5062064688421466,0.5062012526542523,,5.216187894285795e-06,-0.006206468842146595,-0.006201252654252309
xk_1,0.5,0.5034427870425233,0.5034421818613856,,6.051811377583149e-07,-0.003442787042523321,-0.0034421818613855626
xk_1,0.5,0.5023807504678747,0.50238095030229,,-1.998344153486542e-07,-0.0023807504678746705,-0.002380950302290019
xk_1,0.5,0.5049553253855936,0.5049551389249745,,1.8646061916705037e-07,-0.004955325385593623,-0.004955138924974456
xk_1,0.5,0.5059719442129875,0.5059714602655448,,4.839474426754364e-07,-0.005971944212987523,-0.005971460265544848
xk_1,0.5,0.5042542962079734,0.5042536204059899,,6.758019834851581e-07,-0.0042542962079733515,-0.004253620405989866
xk_1,0.5,0.505655848582272,0.5056550314963841,,8.170858878386866e-07,-0.005655848582271972,-0.005655031496384133
xk_1,0.5,0.5060903283191066,0.5060895391428026,,7.891763039724609e-07,-0.006090328319106608,-0.006089539142802636
xk_1,0.5,0.5041642366270441,0.5041635199793042,,7.166477399289661e-07,-0.004164236627044127,-0.004163519979304198
xk_1,0.5,0.5030149855480549,0.5030143595859006,,6.259621543325267e-07,-0.003014985548054905,-0.0030143595859005723
xk_1,0.5,0.5038146033600412,0.5038140558007096,,5.475593316539573e-07,-0.0038146033600412466,-0.0038140558007095926
xk_1,0.5,0.5015556807496441,0.501555221175034,,4.5957461003443e-07,-0.0015556807496440728,-0.0015552211750340383
xk_1,0.5,0.5026448346651237,0.5026444192839641,,4.1538115957973076e-07,-0.002644834665123663,-0.0026444192839640834
xk_1,0.5,0.5044534707137579,0.504453095470093,,3.752436649184787e-07,-0.004453470713757901,-0.0044530954700929826
xk_1,0.5,0.5037027087602817,0.5037023752278682,,3.3353241346567586e-07,-0.00370270876028167,-0.0037023752278682043
xk_1,0.5,0.503085505006728,0.5030852068239292,,2.9818279878579546e-07,-0.0030855050067279954,-0.0030852068239292096
xk_1,0.5,0.5020591187799951,0.502058854079843,,2.64700152130537e-07,-0.002059118779995095,-0.0020588540798429644
xk_1,0.5,0.5036616002488646,0.5036613645574508,,2.3569141383017467e-07,-0.003661600248864638,-0.003661364557450808
xk_1,0.5,0.5062487769849869,0.5062485671250895,,2.098598974598076e-07,-0.006248776984986937,-0.006248567125089477
xk_1,0.5,0.5071280133710392,0.5071278279030536,,1.85467985636123e-07,-0.007128013371039188,-0.007127827903053552
xk_1,0.5,0.5061040548634457,0.5061038918433871,,1.6302005856339008e-07,-0.006104054863445674,-0.00610389184338711
xk_1,0.5,0.5050569725735418,0.5050568294634965,,1.4311004525868753e-07,-0.0050569725735417626,-0.005056829463496504
xk_1,0.5,0.5040779459019128,0.504077820001063,,1.2590084974561933e-07,-0.004077945901912794,-0.004077820001063048
xk_1,0.5,0.503261188597235,0.5032610779484126,,1.1064882243783103e-07,-0.0032611885972350096,-0.003261077948412572
xk_1,0.5,0.5044701048474599,0.5044700077531413,,9.709431858517803e-08,-0.00447010484745991,-0.004470007753141325
