Parameter,Case Opt,Case CE,Case Dual
Cost,4.779882819083221,102.55513854053235,204.77358758290805
xk1,0.0,0.0,-1.9235548154604323e-15
xk1,-0.07732190799602524,0.0,-0.001194598577798831
xk1,0.2534866937809057,0.0,-0.002743577570299587
xk1,0.01336862534067546,0.0,-0.004767847829079348
xk1,-2.1987339202220832,0.0,-0.009608850737553144
xk1,-2.800909601805336,0.0,-0.01866115441939279
xk1,-0.3053797829563975,0.0,-0.03043446268467555
xk1,2.6131167009849,0.0,-0.05403037549507167
xk1,0.6133095275347635,0.0,-0.10985983164986049
xk1,0.23149932307217946,0.0,-0.23148638946994843
xk1,1.9443371794378974,0.0,-0.48663329045199333
xk1,0.9691036234240502,0.0,-1.057939373576082
xk1,-2.269209463181783,0.0,-2.273796236465802
xk1,-7.742930533030229,0.0,-3.8604649144754584
xk1,-4.148166759607433,0.0,-4.530327316715826
xk1,7.799257188312203,0.0,-5.486703901783944
xk1,11.970753444696449,0.0,-1.5361387072457882
xk1,1.7184584974256487,0.0,-0.8564973663645168
xk1,-2.3780430689487715,0.0,-1.4130839481152753
xk1,0.0,4.05837017300597,-2.6056057122745844
xk2,0.0,0.0,-2.3713797103656216e-15
xk2,0.6145467311606497,0.0,-0.001801993818205456
xk2,-0.018080161204066643,0.0,-0.0027093808222540755
xk2,-1.183988862481136,0.0,-0.0037001432706728413
xk2,-1.0314948073864156,0.0,-0.009012303144819517
xk2,1.1525467885218954,0.0,-0.017367138151610447
xk2,2.2039499469086454,0.0,-0.024247221084358988
xk2,-0.23583163373350954,0.0,-0.04660844090411648
xk2,-3.723583069713065,0.0,-0.1053213244564107
xk2,0.614347865401863,0.0,-0.2232986115685618
xk2,3.5494564280973946,0.0,-0.4642659179472892
xk2,0.2909120584265363,0.0,-1.0291262199798972
xk2,-5.326010958709648,0.0,-2.199006753210201
xk2,-6.124333630897978,0.0,-3.169281103493069
xk2,4.70749263001954,0.0,-2.365433900951894
xk2,16.30758107280988,0.0,-3.361389702917943
xk2,8.813123828527798,0.0,3.109295718119183
xk2,-14.045239282737764,0.0,-0.48366146129818166
xk2,0.600323271390171,0.0,-3.0886157975367756
xk2,0.0,6.121939164547164,-2.005621235918697
xk3,0.0,0.0,-2.7243447658249323e-15
xk3,-0.5879637605976039,0.0,-0.0022683798428580785
xk3,-0.2726614224610965,0.0,-0.002234247039389388
xk3,0.5001162587742667,0.0,-0.0038406365840908097
xk3,2.7955152131124943,0.0,-0.011084920304630057
xk3,2.870487298270759,0.0,-0.01927861889418482
xk3,-2.0071705952860484,0.0,-0.025846408805632524
xk3,-4.973698768044091,0.0,-0.05618219840660772
xk3,-2.3342384269694847,0.0,-0.12322653344582263
xk3,3.8455299590987435,0.0,-0.2492274756341727
xk3,4.024987655672106,0.0,-0.5165642998097258
xk3,0.20861980249482226,0.0,-1.1593420505014467
xk3,-5.274431598535997,0.0,-2.446459321093694
xk3,-2.1309721240511212,0.0,-3.316640097579647
xk3,8.470433716180768,0.0,-2.5513374116410716
