Parameter,Case Dual
Cost,[198.02443844]
xk1,0.0
xk1,0.00012890580271785306
xk1,0.0007597339617675138
xk1,0.0011896453591299675
xk1,-0.0001934718987040619
xk1,-0.0034732746154403998
xk1,-0.0059854048079870815
xk1,-0.001714392969031378
xk1,0.0084999765397685
xk1,0.01128014046597789
xk1,0.004214462950471907
xk1,-0.006679706064824384
xk1,-0.010027889363680898
xk1,0.003271418652047554
xk1,0.017050924066814237
xk1,0.02429124067146806
xk1,0.034845321377100585
xk1,0.05005003748645049
xk1,0.08714921919112517
xk1,0.12617929160494587
xk2,0.0
xk2,0.00019440383713390796
xk2,0.0009917750784498656
xk2,0.0008629859892152732
xk2,-0.0017724818260499335
xk2,-0.004776325154700131
xk2,-0.004213888528111032
xk2,0.004820456736209133
xk2,0.013659575164291001
xk2,0.004030708287952436
xk2,-0.008367058354986934
xk2,-0.010863211893431682
xk2,-0.002101390874537571
xk2,0.017309909366647804
xk2,0.01750909949777143
xk2,0.010982802642564229
xk2,0.025480969964587458
xk2,0.04085678988160107
xk2,0.07626732049705158
xk2,0.0920982226374089
xk3,0.0
xk3,0.00024472581068460885
xk3,0.0011215662242073318
xk3,0.0005415392517931262
xk3,-0.002192642479731192
xk3,-0.003973098262632393
xk3,-0.002631306053571144
xk3,0.005719375590354958
xk3,0.009647573132745611
xk3,-0.003722565666302674
xk3,-0.004674373676317817
xk3,0.00011031887505463674
xk3,0.003781968461557729
xk3,0.014843228799812893
xk3,0.003912095336990622
xk3,0.00879864394564111
xk3,0.04066513201042211
xk3,0.05028529800499549
xk3,0.09014584029367459
xk3,0.09963714203177895
uk,0.0
uk,0.00017253305915598816
uk,0.0003644411025511829
uk,-0.001822628863987319
uk,-0.0038411576256267566
uk,-0.00048528909149503363
uk,0.006995689792034909
uk,0.01550033404712714
uk,0.004252417381534812
uk,-0.023932033089033133
uk,-0.01648671342598451
uk,-0.002852561225248351
uk,0.011443687823692095
uk,0.021917133931464328
uk,-0.01523875080589665
uk,-0.021973921943058805
uk,-0.01676819221284198
uk,-0.057338291112505324
uk,-0.060719379262259565
t1,1.0
t1,0.9999010520382431
t1,0.994769520823052
t1,0.9973185207194815
t1,1.0040377283659427
t1,1.0570383488284216
t1,1.0512307728744015
t1,1.11291155432359
t1,1.1183335176556322
t1,1.1264758064457714
t1,1.1541897726647585
t1,1.2017471544183067
t1,1.37914424490552
t1,1.1554815994562493
t1,1.3921427376168714
t1,0.899731629364445
t1,1.033411449257236
t1,0.9728541138002577
t1,0.9751790522185559
t1,0.9072547056198317
t2,-0.6
t2,-0.6000989479617569
t2,-0.604700903489257
t2,-0.6047953871909123
t2,-0.6346019612083106
t2,-0.6181400836486571
t2,-0.6459230491631259
t2,-0.6444964562887673
t2,-0.5816318809723314
t2,-0.5708459946355801
t2,-0.5924726176615592
t2,-0.5190815856131786
t2,-0.34009165899545524
t2,-0.015542993018364704
t2,0.2744404431969275
t2,0.623532246156355
t2,0.5074203071397412
t2,0.5713698871028562
t2,0.06826257654347567
t2,-0.1222018795435533
t3,0.3
t3,0.2999901052038243
t3,0.29966245143235787
t3,0.2992884435123737
t3,0.2974338402071259
t3,0.28708079399542136
t3,0.28907646372503804
t3,0.2805352422010697
t3,0.2707682355906217
t3,0.26893726727611905
t3,0.26716922848666597
t3,0.23746394863946893
t3,0.1981145873374718
t3,0.1633021098777019
t3,0.10462775625798332
t3,0.07676324415976477
t3,0.07019831249063985
t3,0.06534941392426352
t3,0.0628642704064777
t3,0.044798397983637196
t4,0.1
t4,0.1
t4,0.10000064499064863
t4,0.10000033091907766
t4,0.10001474858199931
t4,0.09998766472158985
t4,0.09998372494388401
t4,0.09995765679108613
t4,0.10005929867694394
t4,0.10004483034920506
t4,0.10009194299799368
t4,0.10022090115845166
t4,0.10050522583308169
t4,0.09964545908787538
t4,0.0989721259772385
t4,0.09932218392381624
t4,0.09834282596575886
t4,0.09878559077384855
t4,0.09683374615452663
t4,0.10068026012326527
t5,0.7
t5,0.7
t5,0.7000006449906486
t5,0.700000388817505
t5,0.7000169334148303
t5,0.6999949318593669
t5,0.7000029380064416
t5,0.6999488826522605
t5,0.7000199933010529
t5,0.7000386775306151
t5,0.7001990082206178
t5,0.7005793731073903
t5,0.7003303532516926
t5,0.7000886256891224
t5,0.6995893523265984
t5,0.6996787911590143
t5,0.6988053970339446
t5,0.7000507590527223
t5,0.6961127502360751
t5,0.7005500314462798
t6,1.5
t6,1.5
t6,1.5000064499064862
t6,1.5000030147171797
t6,1.500143975954663
t6,1.499825018631709
t6,1.4997792324406691
t6,1.499313134543647
t6,1.5006746327060378
t6,1.500551801252898
t6,1.5019404734954689
t6,1.4992950983069258
t6,1.500476529531162
t6,1.5009263981819103
t6,1.4921845249960697
t6,1.4863666228351249
t6,1.4807058315167019
t6,1.486224576793427
t6,1.4502783144328486
t6,1.4947488949205188
