Parameter,Case Opt
Cost,[7.20201661]
xk1,-0.16278818357973024
xk1,0.26772116411050867
xk1,0.3275516004219737
xk1,-0.7589052378026803
xk1,-0.46765553074952365
xk1,0.810615340260072
xk1,1.3207376751210669
xk1,-1.0091622007096583
xk1,-1.2310804743508028
xk1,-0.4404537020675801
xk1,2.0848016706041257
xk1,2.966566524571029
xk1,-1.6824738305949254
xk1,-5.9891976479319196
xk1,-2.5580713150937844
xk1,7.379113661580427
xk1,12.661431594898893
xk1,-0.45701143402451344
xk1,-2.4521749668889683
xk1,0.0
xk2,0.16206893941450337
xk2,0.7136947827859685
xk2,-0.9140878063914459
xk2,-0.19025157646176052
xk2,1.5017377898170365
xk2,2.0783196688875325
xk2,0.28256965016555935
xk2,-0.5796593237308396
xk2,-0.6710115903962262
xk2,2.172753449796531
xk2,5.012321220385672
xk2,2.0281729175285843
xk2,-4.281417418141768
xk2,-4.837223253029353
xk2,6.393004446038868
xk2,17.027908920496383
xk2,7.72282050234076
xk2,-13.788976775243993
xk2,2.2960954713684054
xk2,0.0
xk3,0.3139599045942635
xk3,0.340730113341085
xk3,-1.2101228135389746
xk3,1.0145649483009018
xk3,1.294217862433894
xk3,0.30819834500858284
xk3,-1.3279480175349274
xk3,0.1916029742113744
xk3,-1.1015692237301484
xk3,2.456127573937807
xk3,3.1851420912343653
xk3,-1.603623360052967
xk3,-4.958846749153229
xk3,-2.3178352399408677
xk3,8.343990508940035
xk3,11.033123354563434
xk3,-4.099368891070002
xk3,-14.549882314704767
xk3,19.45080582231473
xk3,0.0
uk,1.0451301502768038
uk,-3.181383529734653
uk,0.47450534939344313
uk,-1.0502437409797216
uk,-0.6783474764817535
uk,-1.521898224509502
uk,-2.5669835088261195
uk,-5.145425445525348
uk,0.8579507486397204
uk,2.0750815454489695
uk,-2.282811218370928
uk,-9.277937588288111
uk,-10.89318117066792
uk,2.657714367530523
uk,13.154902234921051
uk,-2.756194283507241
uk,-26.667049882853327
uk,-33.228844260298594
uk,23.469677142286933
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
