Parameter,Case Dual
Cost,[198.31723037]
xk1,-0.023488116076259374
xk1,-0.07950604261326567
xk1,-0.12130434022312513
xk1,-0.11791562017051188
xk1,-0.10363665995029288
xk1,-0.16336917608670726
xk1,-0.4458955237403542
xk1,-0.8908055220622056
xk1,-1.2493131633631769
xk1,-1.0894100451559303
xk1,-0.88802942869088
xk1,-0.9732833092247256
xk1,-1.635162237066844
xk1,-2.3952593328637066
xk1,-1.485740141471294
xk1,0.8804372288204382
xk1,3.148400604368595
xk1,8.670005070480252
xk1,11.917375626257448
xk1,15.910949660518861
xk2,-0.03543115265018132
xk2,-0.09183150895584169
xk2,-0.08374398414676484
xk2,-0.032624437161421584
xk2,-0.03949750412812054
xk2,-0.16278077653257056
xk2,-0.503287884319652
xk2,-0.8139850576973346
xk2,-0.8173571076211424
xk2,-0.2355822783771692
xk2,-0.28629431484871815
xk2,-0.8025495931200063
xk2,-1.5381596858640418
xk2,-1.7371298282573058
xk2,0.5041301654799862
xk2,2.693496960940486
xk2,2.792739473207839
xk2,8.738626692177856
xk2,8.08032436149949
xk2,10.102385370670929
xk3,-0.04460132591247512
xk3,-0.09246942178202364
xk3,-0.06417974532734394
xk3,-0.049142228708042926
xk3,-0.11461857247728917
xk3,-0.24365290256456787
xk3,-0.5741183746167092
xk3,-0.8022674854927193
xk3,-0.832651712358485
xk3,-0.41734117549633565
xk3,-1.0385217019307598
xk3,-1.397407664452262
xk3,-1.7785275037941128
xk3,-1.75081700064411
xk3,0.6108198355503183
xk3,1.4217341405665715
xk3,1.1028163928177153
xk3,10.545916080759465
xk3,7.099728419783257
xk3,13.613595404066798
uk,-0.03146360559610269
uk,0.012513928007484644
uk,0.16140032510330302
uk,0.20915533333193442
uk,0.14936479069484093
uk,0.10274888592070373
uk,0.07878628676371653
uk,0.6521910302408858
uk,1.5170389160950937
uk,2.4005049267218808
uk,1.3657767867228991
uk,1.4330911037962968
uk,1.5951986400275662
uk,2.9376885178922745
uk,5.733283352920344
uk,2.7619718026568076
uk,-1.6846935442151514
uk,1.7805393995389485
uk,-18.187268839223965
t1,1.0
t1,1.0002493121727594
t1,0.9874793499214246
t1,0.9821451632942606
t1,1.0123295513467423
t1,1.010898019484646
t1,0.9377528308540783
t1,0.9807058592124368
t1,0.9704763309359097
t1,1.0865148048572106
t1,1.096059735341715
t1,1.2324663283251938
t1,1.233581062507725
t1,1.2243296962883778
t1,1.4168727931422336
t1,1.3972133879468298
t1,1.5364246606261647
t1,1.4849653572119117
t1,1.8398710782706522
t1,1.6257184540225027
t2,-0.6
t2,-0.5997506878272406
t2,-0.6140632797145977
t2,-0.6161107199314955
t2,-0.6301897197437425
t2,-0.636396822142292
t2,-0.6576791411476894
t2,-0.6632845257188588
t2,-0.5475152229964173
t2,-0.4026055057064317
t2,-0.3994772736123416
t2,-0.2007214206112083
t2,-0.2090563337076804
t2,-0.26772914992437286
t2,-0.13203741672587044
t2,-0.10565834306124247
t2,-0.5210839774095356
t2,-0.7287564610312102
t2,-0.6713674682749686
t2,-0.9150819175276145
t3,0.3
t3,0.3000249312172759
t3,0.2984481168382515
t3,0.2987987918670389
t3,0.2966368319461248
t3,0.2971934963459722
t3,0.30375557710883094
t3,0.2965700916078673
t3,0.29995985647706225
t3,0.3241212321044116
t3,0.30526284228107103
t3,0.2981199642330119
t3,0.3004491792918973
t3,0.2902670944920792
t3,0.27053432860769167
t3,0.27129043003699704
t3,0.2356675395568331
t3,0.24222719611166665
t3,0.25483278777619806
t3,0.20357867829555093
t4,0.1
t4,0.10001355851687041
t4,0.10006909953578944
t4,0.1001974142469727
t4,0.09924373343808693
t4,0.09903783984975237
t4,0.09584134114318112
t4,0.09676768207418775
t4,0.09086808220117691
t4,0.061131199550276585
t4,0.07278272807367706
t4,0.041449229408332934
t4,0.03897735248287741
t4,0.055867199596995834
t4,0.04212737395332316
t4,0.044464498556746654
t4,-0.012771110848841513
t4,-0.05882591308723281
t4,-0.04574016991659613
t4,0.02377813817609098
t5,0.7
t5,0.7000135585168703
t5,0.7001212935295922
t5,0.7002553352561554
t5,0.6996430292433384
t5,0.6996457056933786
t5,0.6995383742463297
t5,0.6998428045888349
t5,0.6946886389473935
t5,0.6716975157689559
t5,0.6781044369452391
t5,0.6878216151193816
t5,0.6865767767555063
t5,0.7027144647275921
t5,0.675221209155039
t5,0.6790559551884732
t5,0.7034855670211597
t5,0.690879708871187
t5,0.7707948913334773
t5,0.816056646663764
t6,1.5
t6,1.500135585168704
t6,1.50043022057785
t6,1.5017766020566614
t6,1.4902304305752236
t6,1.4882610240295726
t6,1.4713967945241735
t6,1.4751429334634365
t6,1.426015720629576
t6,1.099517449053419
t6,1.2199006230560878
t6,1.007498592887257
t6,0.997309665281895
t6,1.0636477106829614
t6,0.9156791205975645
t6,0.9586969407713093
t6,0.8127046540059117
t6,0.8928079773207521
t6,1.012561569388781
t6,1.3103456514588805
