Parameter,Case Opt,Case CE,Case Dual
Cost,[1.41068198],225.6440650927,[273.53876254]
xk1,0.0723307476,0.0766386051,-0.0138202424
xk1,0.1398607212,-0.2339203028,-0.0386404472
xk1,-0.0654868,-0.5318970625,-0.0643213682
xk1,-0.4635860855,-0.7112029924,-0.0497521487
xk1,0.7846631556,-1.0822604808,-0.0958960809
xk1,-0.0939319129,-1.7537101386,-0.206846891
xk1,0.7023979464,-2.3936902018,-0.4381249488
xk1,-0.6743658146,-1.5219383391,-0.6366570476
xk1,-1.6042869576,0.0742250389,-0.7125776974
xk1,-1.1602876522,2.0886073156,-0.6353923197
xk1,3.3083185328,1.9794085419,-0.3962681642
xk1,1.6288061527,0.2115750758,-0.6339149408
xk1,-0.2219933995,-1.8322817209,-1.6819085318
xk1,-7.0862347666,-3.3799649024,-1.620357033
xk1,-1.4886152408,-2.336924037,-1.1163711352
xk1,8.9579524075,4.3220614471,1.1366215341
xk1,14.6013223854,14.5953089384,3.2208533984
xk1,5.6478349008,18.3613790809,10.6130888211
xk1,-0.3570410754,4.5205332457,14.6417263744
xk1,0,7.6645942919,19.6799202842
xk2,0.1681777334,0.115607147,-0.0208474329
xk2,0.1479100979,-0.4445510113,-0.0417534009
xk2,-0.4793139551,-0.5359373077,-0.048373645
xk2,-0.296680542,-0.3503283921,0.0005465642
xk2,-1.1372227124,-0.8302545975,-0.0958402901
xk2,0.0689071228,-1.5458842599,-0.2207608664
xk2,-0.791449584,-1.6458065053,-0.4135993124
xk2,-2.452559328,0.4021462853,-0.4417197986
xk2,-2.5125172286,1.4900410606,-0.3484505928
xk2,1.2628630237,2.193702631,-0.2239256834
xk2,2.0815572296,0.0415455865,-0.0185078752
xk2,0.4539576778,-1.874550061,-0.6658841472
xk2,-7.5877358366,-2.0547375187,-1.932552445
xk2,-6.6676564553,-2.1587994964,-0.418653574
xk2,4.0079179286,0.3433996834,0.2694181757
xk2,15.6155608757,8.6011712388,2.4025383094
xk2,7.0188566702,15.6462751102,2.9477284963
xk2,-13.3602675351,8.7988915262,11.7678034376
xk2,-0.5650413026,-14.4588810481,9.7892114943
xk2,0,11.4368994257,12.160261187
xk3,0.2276370403,0.1455283152,-0.0262430452
xk3,0.0009652435,-0.6350786988,-0.0389503107
xk3,-0.5457453821,-0.3233919816,-0.0446453128
