Parameter,Case 1,Case 2
Cost,3.174763701874833,127.06356571232676
xk1,0.0023817968808209395,5.358377852341613
xk1,0.09271388490852582,16.663667106989482
xk1,-0.1905957771714034,19.933815525877915
xk1,0.3859934321896156,18.673963277717323
xk1,-0.8129059320084083,16.932443974468537
xk1,1.2807754815476808,15.088065153618565
xk1,0.5206097523450156,14.552192767670595
xk1,-0.21576016582007168,15.042869073777494
xk1,-1.7984579641680665,15.190599554007163
xk1,-0.17423006112522804,14.594540570473702
xk1,3.075601993566249,15.544038866949675
xk1,1.7504171482860147,16.87244926632382
xk1,-0.31612017107559187,16.378626464992763
xk1,-6.467128812551522,16.371474735647418
xk1,-2.4680804412414825,16.208833119689515
xk1,10.475431769339178,16.51159199657723
xk1,13.81069790139531,16.72547139966958
xk1,6.755949854287666,15.073063326715348
xk1,-0.13050722911531726,14.572086544898234
xk1,0.0,15.639824664285474
xk2,0.16636027868526462,15.22016542335671
xk2,0.14354035698937434,9.571236625611991
xk2,0.6916562047071659,1.039759286491397
xk2,-0.5369641765016221,0.9060697321267136
xk2,1.401250545946433,-0.2977654851468834
xk2,1.2823913341331767,0.39817252879619774
xk2,0.5476302747820174,2.072747926199627
xk2,-1.357631725653173,2.3879356624272643
xk2,-0.9472862745067194,1.4407285948349546
xk2,1.6225617464629205,0.8579661933740688
xk2,2.6404910142698883,4.773743741725417
xk2,1.0843154766080219,1.9085850813541696
xk2,-6.8325654832122975,1.340470310889809
xk2,-6.807601700013296,2.748272334018073
xk2,4.863768620960333,0.9363873912097058
xk2,15.322586978087841,4.054084628993708
xk2,8.909802439523078,0.43556951793991117
xk2,-13.900850922653088,0.5445186943466288
xk2,-1.5601806361259314,2.8039225087324233
xk2,0.0,3.7860429501867694
xk3,0.2533185146811191,17.79548899750954
xk3,-0.05056066542324013,5.787796527676958
xk3,0.03455918424986718,7.384763948394335
xk3,-1.4962686982565958,14.543307666144992
xk3,2.7011194492268467,13.522066961465155
xk3,-0.8417990751599397,14.020544662882461
xk3,0.39013116316089697,14.04619687864554
xk3,-1.893226082556914,12.823687204702818
xk3,0.29748504672917375,11.78102655714373
xk3,1.491892010046093,11.487995552218111
xk3,1.2127444879433755,15.070836682815008
xk3,0.9653207263403318,10.367970889786944
xk3,-8.269937875748843,12.739275874353835
xk3,-0.36190001482127626,14.158145032119227
xk3,8.1565069092599,11.32776663758376
