Parameter,Case Opt,Case CE,Case Dual
Cost,2.8094477,24.4042491453,723.90232524
xk1,0,-0.2769506858,0
xk1,0.155500843,-0.6539208225,-0.2526915555
xk1,0.1463629683,-1.3181247633,-0.8410764517
xk1,-0.035983034,-1.4302296483,-1.5899289038
xk1,-0.9085866699,-1.4221942261,-2.8240732398
xk1,-0.0972927501,-1.3732707337,-3.3750958642
xk1,0.5337405491,-1.1250501702,-2.7154144894
xk1,0.737356315,-0.3017444812,-2.2409506416
xk1,-0.7244784803,-0.3562372408,-0.6480195961
xk1,-1.024422112,-0.0287516046,-0.3661580694
xk1,-0.6496570148,-0.5624679825,0.572077464
xk1,2.2980025662,-1.1667142183,0.7492351243
xk1,2.2394156103,-2.3078275324,0.1523595171
xk1,-0.8546721307,-3.6520962866,-0.6802876807
xk1,-6.7840620532,-2.0307037555,-0.9194139099
xk1,-2.0330414234,3.468164268,-0.7912300638
xk1,8.1262029565,8.1236490924,-1.2987478715
xk1,14.7745755211,6.8324547868,-3.4227521345
xk1,1.4427178437,-1.0613472864,-9.7172621599
xk1,0.3319119126,0.0607065353,-16.2221034251
xk2,0,-0.4177723004,0
xk2,0.1703387497,-0.6550801262,-0.3811780951
xk2,0.0526440147,-1.1574129223,-0.9664164528
xk2,-1.3421254823,-0.6287855245,-1.3477810692
xk2,-0.6280114855,-0.5728045001,-2.359026145
xk2,0.170344613,-0.7880699272,-1.9149302621
xk2,0.7311570619,-0.4295819729,-0.3877608413
xk2,-0.2839076272,0.6295357136,-0.919981691
xk2,-1.6681415936,-0.5000682588,0.6608607044
xk2,-2.5142208951,0.0128082679,-0.2725617865
xk2,0.2606349863,-0.6838045175,0.7773829756
xk2,2.5099365543,-1.137610562,0.5018761214
xk2,0.2472959566,-2.0506529011,-0.740535247
xk2,-7.1544704476,-2.8366071282,-1.0349397812
xk2,-6.5451501034,1.075445467,-0.1947754562
xk2,4.603248008,7.1297075919,-0.0569896828
xk2,16.1556086481,6.6861324561,-1.4060450325
xk2,6.1228744628,-0.5653699819,-3.9012058824
xk2,-13.1395316737,-8.3836176821,-10.5219020855
xk2,1.2559940628,4.8268713594,-12.8324401047
xk3,0,-0.5258987317,0
xk3,0.1971017333,-0.5519024136,-0.4798333085
xk3,-0.0265463862,-1.2499307242,-0.9676971414
xk3,-0.9009363476,-0.5499240878,-1.2670135088
xk3,0.7534164413,-1.2446488646,-2.7533786961
xk3,0.1097716688,-1.5153953091,-2.025193123
xk3,0.6354314253,-0.7507463184,-1.1692427898
xk3,-0.7500325716,0.3321949246,-3.0665354585
xk3,-1.0519314014,-1.6512349433,0.1182459143
xk3,-1.7718348942,0.4043937579,-1.6955346699
xk3,2.4451923782,-0.9347128522,1.1005573795
xk3,2.1133902058,-1.078036573,0.1654265952
xk3,-0.6664406674,-2.2400792259,-0.8456819939
xk3,-7.1576876289,-3.1157426282,-0.2462025026
xk3,-0.2331883949,1.569902398,0.3486552754
xk3,7.2502825895,5.7801267874,-0.7063984508
xk3,12.5893719565,2.8902552381,-2.3601779258
xk3,-4.4779139191,-1.2916115371,-4.2751468842
xk3,-9.9426043104,-3.6350529876,-11.5053634987
xk3,0,15.0355063433,-11.9017844833
uk,0.0092619206,-0.3709912097,-0.3384946556
uk,-0.8046741034,0.5273694774,0.1537634339
uk,1.7861721883,0.6166723135,1.2824187928
uk,0.8604726487,2.7975410881,1.6581630784
uk,2.7045946298,1.8337519902,5.4912274677
uk,0.682404128,2.3561137249,6.2653286781
uk,-0.8311878533,3.0685205866,3.2286145178
uk,-1.547709497,2.7054947728,6.6202572468
uk,4.4205892001,-0.9481713389,-0.2134010096
uk,5.8040224406,2.4771019405,3.061651105
uk,3.7235877354,-1.0306315775,-1.8036919883
uk,-5.6467539316,0.9867419831,-1.8660089163
uk,-2.5196007697,1.1940763039,0.3577842472
uk,5.7158585763,3.429277994,1.4158700007
uk,19.4564190445,9.6267124149,0.5488615669
uk,1.8787323821,5.776751909,0.2920000633
uk,-21.577240592,-8.3397517899,1.2516813889
uk,-31.5436543047,-15.6323640205,1.0928032853
uk,22.8510386161,-11.9737624137,17.1737483832
t1,1.8,1,1
t1,1.8,0.9956568399,0.9956425861
t1,1.8,0.9944849003,0.9697856683
t1,1.8,1.0597697127,0.9699237977
t1,1.8,1.065641417,1.1713002262
t1,1.8,1.1504673392,1.2011659708
t1,1.8,1.1949655939,1.160488357
t1,1.8,1.1925142277,1.5363421006
t1,1.8,1.1839109644,1.6172881739
t1,1.8,1.4922667287,1.6815769139
t1,1.8,1.5714483954,1.6672795555
