Parameter,Case Dual
Cost,[2024.44019834]
xk1,0.0
xk1,0.2529720512513767
xk1,0.8795787650328205
xk1,2.17934216679741
xk1,3.5074918248003204
xk1,3.976588311971985
xk1,2.449850744860491
xk1,1.9394522928798301
xk1,1.732405103371584
xk1,1.3637290881444513
xk1,1.5052286702533473
xk1,1.0741587401589288
xk1,0.8832675663980983
xk1,0.48770324227302686
xk1,0.021887773089155467
xk1,-0.8325919282190642
xk1,-1.940094535134585
xk1,-6.091456582196558
xk1,-17.87293158644898
xk1,-32.75380428012192
xk2,0.0
xk2,0.38160121502966066
xk2,1.0241598407329093
xk2,2.190776353088002
xk2,2.6782319478308767
xk2,1.9238839327862693
xk2,-0.5075916693272452
xk2,1.0375890404273118
xk2,1.5505353989175352
xk2,0.22125970994020602
xk2,0.7679742163145857
xk2,0.3922169922571536
xk2,0.3406135353111811
xk2,-0.013819522115248494
xk2,-0.3212795877720646
xk2,-1.0767036620240136
xk2,-1.8190343208931425
xk2,-6.829351454982793
xk2,-19.84902225390055
xk2,-27.997754669555526
xk3,0.0
xk3,0.48036593924744786
xk3,1.040109030695576
xk3,2.2907168284564223
xk3,2.635558265302789
xk3,2.29649208465297
xk3,0.5521551458598908
xk3,4.05295844376688
xk3,2.1773944295075944
xk3,-0.11670681223826697
xk3,1.9527296507250398
xk3,0.8097945929277411
xk3,0.8811398739584733
xk3,0.3160953121500874
xk3,0.025344263216484184
xk3,-0.9691523542105686
xk3,-1.7259415602466768
xk3,-8.1181802924
xk3,-21.97834321478936
xk3,-26.787177947990447
uk,0.3388703965519334
uk,-0.10361189057631169
uk,-0.6870284992400011
uk,-3.5999872345144097
uk,-6.199647478484336
uk,-7.9186006447216695
uk,-1.6071115844083246
uk,-5.533055272478363
uk,-4.817356293908848
uk,-0.5991172267347679
uk,-3.6876506641812012
uk,-1.8364336350950639
uk,-2.01811416191042
uk,-1.0719760195431554
uk,-0.7894708630880916
uk,0.93133846617852
uk,-1.1722160366738588
uk,1.4279695438419828
uk,28.907376160132817
t1,1.0
t1,0.9955140894154066
t1,0.980144278821013
t1,0.9626882171867585
t1,0.97297964833609
t1,1.0778083472997326
t1,0.9359377233606506
t1,1.5864061051794072
t1,1.5769578512432518
t1,1.5794880844407282
t1,1.6272338054445283
t1,1.639291773357863
t1,1.6036462601957977
t1,1.6379653366057296
t1,1.6419646599762794
t1,1.6934377855397569
t1,1.3153295555281583
t1,1.2074693638159717
t1,1.479346698602488
t1,1.377692036572509
t2,-0.6
t2,-0.6044859105845933
t2,-0.6014563480848549
t2,-0.4221659134339724
t2,-0.23036760323808245
t2,-0.16314573242218855
t2,-0.09694170027866976
t2,-0.28918556760589204
t2,-0.3328934280025374
t2,-0.3633437224647735
t2,-0.11904986290107489
t2,-0.060447546902125115
t2,0.031827761363504514
t2,-0.03414582931561902
t2,-0.3423627987380785
t2,-0.26815574071201526
t2,-0.286378002197616
t2,-0.42405074790561637
t2,-0.11819530954379842
t2,-0.2972289105449972
t3,0.3
t3,0.29955140894154064
t3,0.3014164012507842
t3,0.32975795218680026
t3,0.37008363380921055
t3,0.374880859361197
t3,0.37442713668358163
t3,0.35475031506872334
t3,0.36632478416017816
t3,0.3581087655184122
t3,0.33354878894165196
t3,0.3188618290677133
t3,0.3202258461946591
t3,0.32092467180175155
t3,0.3366808198068999
t3,0.3253219579962366
t3,0.31739493805141233
t3,0.2986995970695925
t3,0.35273019906247344
t3,0.3672656484935227
t4,0.1
t4,0.10061306274788422
t4,0.10021131552461013
t4,0.08395296115398121
t4,0.05380586884591915
t4,0.038203076479794776
t4,0.05744707394492534
t4,0.08791012388689884
t4,0.06141030321187144
t4,0.07550265359841948
t4,0.04663911961605821
t4,0.0510720227572993
t4,0.031634845711373705
t4,0.005200749701494353
t4,-0.01877614281788316
t4,-0.017646813131472493
t4,-0.015422395773539908
t4,-0.012338131897363672
t4,-0.026132719608651097
t4,0.01670828603398365
t5,0.7
t5,0.7006130627478842
t5,0.6996849858033223
t5,0.6811547848781719
t5,0.6527853467984996
t5,0.6411404660858409
t5,0.6473923058130184
t5,0.7357722784486413
t5,0.7171618243767239
t5,0.7458787588072149
t5,0.7397316995311175
t5,0.7489230870019938
t5,0.7510471305836761
t5,0.7423459231421667
t5,0.7318643458620703
t5,0.7351572078034143
t5,0.7321293732445404
t5,0.7288219059476321
t5,0.6803041649690001
t5,0.7524568833905381
t6,1.5
t6,1.5061306274788422
t6,1.504780219873556
t6,1.3228763961704535
t6,1.0006546066806008
t6,0.7969964629558055
t6,0.9888021233345803
t6,0.9399117029001862
t6,0.8894216659190547
t6,1.0014689399552237
t6,1.0313320150399803
t6,1.0955776858761992
t6,1.0187812228597277
t6,0.9128016515000382
t6,0.8826222277379198
t6,0.8861401001047418
t6,0.9136512578752963
t6,0.8430036105365979
t6,0.6950930404931329
t6,1.9781397178981406
