Parameter,Case Opt,Case CE,Case Dual
Cost,[1.47540776],21.1029969194,[81.64851505]
xk1,0,-0.128748731,0
xk1,-0.0347668384,-0.6563437656,-0.0197681034
xk1,0.1015083641,-1.2088639116,-0.0032746142
xk1,-0.1233206504,-1.3623742684,0.3084843554
xk1,-0.329611861,-2.0022286484,0.9320893842
xk1,0.4014195628,-1.6772678482,2.0209192364
xk1,0.8402306724,-0.9865808182,3.1987143306
xk1,0.6157901452,-0.8950779699,4.8258813688
xk1,-0.8722445643,-0.3161118137,-0.0030582233
xk1,-0.7528623294,0.2915462084,-2.6587405624
xk1,-1.4888191326,1.2890802687,-3.1732814183
xk1,3.4081684635,1.548690167,-2.2381942929
xk1,2.3010494232,0.6219004215,-2.8988270693
xk1,-0.1186239126,-1.6098468747,-3.5941980985
xk1,-6.7300997396,0.0206571479,-2.7008675409
xk1,-2.5149595201,5.1903890527,-1.8910889876
xk1,9.4335721942,15.308018804,0.0310558409
xk1,14.0996258669,20.2526967961,2.9846164324
xk1,2.8941501178,11.4575180888,1.7004519139
xk1,-0.427172665,5.7471152808,7.2817243563
xk2,0,-0.1942138067,0
xk2,0.1653954343,-0.8360417499,-0.0298196156
xk2,0.2098084655,-1.0157102891,0.0187104815
xk2,0.4012833762,-0.5694859036,0.4727254408
xk2,0.9068424227,-1.5576265548,1.0258986228
xk2,1.1964618995,-0.5382846722,1.878392916
xk2,1.5165648107,0.2917922415,2.4307105508
xk2,0.9312610257,-0.7366366,3.6292743966
xk2,0.1722763672,0.0811719395,-5.2822705017
xk2,-0.691956134,0.8113927934,-3.2940892483
xk2,3.8067457692,1.3969276937,0.65018817
xk2,5.0771382545,0.6180511405,0.0406993057
xk2,2.7691675713,-0.8494935942,-3.5434756655
xk2,-5.4288427808,-2.6715591369,-2.7032526692
xk2,-5.1381449451,2.5525379227,0.5261686191
xk2,6.3969983572,8.0621383903,-0.3058064116
xk2,16.1832464003,15.6636129649,0.8314538844
xk2,7.5964772667,11.498697013,3.9683837421
xk2,-13.5666500517,-6.0579898627,-1.2568100153
xk2,0.4756095084,-0.0621591282,8.7285915733
xk3,0,-0.2444794486,0
xk3,0.2669578741,-0.9256392156,-0.0375374223
xk3,-0.0173149586,-0.8353761917,0.0430196909
xk3,-0.1716247389,-0.5734063811,0.5671147951
xk3,0.3251592043,-2.4892393088,0.9807026743
xk3,0.1092980464,-0.4919659848,1.9477495954
xk3,0.7999768327,-0.4877154242,2.5676580456
xk3,0.0879903417,-2.1118586435,4.4542617584
xk3,-0.3535062826,0.3136823841,-6.8262025216
xk3,-1.8228267236,0.6172884156,2.4723368413
xk3,4.9582456125,1.0398459725,1.9953962599
xk3,0.2905695047,0.2527426153,-3.7215261668
xk3,0.6151951412,-0.4021257069,-6.2199192786
xk3,-7.9582403923,-1.7943672118,-1.4407946982
xk3,0.2301121906,4.9734529385,0.6398138058
xk3,7.8485017263,6.8296282575,-3.4776669439
xk3,10.1094230231,14.588826677,-0.0221242446
xk3,-1.3518959407,9.113898302,4.0714863659
xk3,-12.9761965451,-3.2976049341,-3.7773691833
xk3,0,17.4785429601,14.2744755145
uk,0.6284872564,-0.1724658603,-0.0264804156
uk,-0.8604101044,-0.2268260722,0.0957797713
uk,-2.1679112105,1.2735432431,0.3633641571
uk,-2.5876265601,2.2020466759,-0.3089238971
uk,-0.8061323975,0.8825153123,-0.9492896971
uk,-2.1264438155,5.1304023749,-3.0903403775
uk,-4.2030513723,2.7062008844,-4.1603734909
uk,-5.3818420766,0.5954055948,-16.4380583091
uk,0.7506956725,3.6967404894,8.0566254777
uk,-2.4798225579,0.6161552677,2.5365664466
uk,-0.4257683135,-0.244723016,0.3574047734
uk,-13.3786023481,-2.7108664955,2.957539164
uk,-6.9161317515,-2.8747341272,9.4352605029
uk,0.5678912943,-1.9410500111,7.1680597682
uk,14.2947183818,7.4978528181,1.1754932671
uk,3.0220648685,0.006651953,6.486926116
uk,-26.3487796238,-3.7280464865,2.964158863
uk,-30.0078848927,-30.3262516931,-10.9698407244
uk,20.1900412409,-41.7303899967,11.1418089208
t1,1.8,1,1
t1,1.8,1.0007278344,0.999937723
t1,1.8,0.9845619368,1.0004518831
t1,1.8,0.9668120072,0.9943718744
t1,1.8,0.9720732737,0.9583368226
t1,1.8,1.3188367076,0.872878751
t1,1.8,1.2968467629,0.8264225296
t1,1.8,1.2878523876,1.1596488068
t1,1.8,1.4374188847,1.022429975
t1,1.8,1.4347332241,1.113371265
t1,1.8,1.4338401486,0.8764534162
t1,1.8,1.4419643046,0.9834878443
t1,1.8,1.4701776502,0.9618000051
t1,1.8,1.6155845547,0.830151128
t1,1.8,1.6394771539,1.6943773684
t1,1.8,0.8373541833,1.1922051127
t1,1.8,1.0529804287,1.3189402582
t1,1.8,1.9673677203,1.1223730126
t1,1.8,2.0586156858,0.6110610111
t1,1.8,2.275982054,0.7290506999
t2,-1.01,-0.6,-0.6
t2,-1.01,-0.5992721656,-0.600062277
t2,-1.01,-0.6054322705,-0.5986921194
t2,-1.01,-0.5146677148,-0.6137999335
t2,-1.01,-0.4930826677,-0.6058543004
t2,-1.01,-0.3304692064,-0.4248798055
t2,-1.01,-0.3289461468,-0.3006979266
t2,-1.01,-0.3485832353,0.1068490346
t2,-1.01,-0.2988840444,0.5090104354
t2,-1.01,-0.2461486685,0.5247997936
t2,-1.01,-0.2435419438,0.5771618598
t2,-1.01,-0.2090373362,0.109423041
t2,-1.01,-0.1902629724,0.6527900418
t2,-1.01,-0.3329386825,0.440368389
t2,-1.01,-0.0434418721,0.6433331166
t2,-1.01,-0.5062012358,0.5595968008
t2,-1.01,-0.7105981451,0.5214660595
t2,-1.01,0.4882231686,-0.0414143981
t2,-1.01,0.465402894,-0.1068045772
t2,-1.01,0.3106769789,-0.0737371142
t3,0.58,0.3,0.3
t3,0.58,0.3000727834,0.2999937723
t3,0.58,0.2989959618,0.3002510565
t3,0.58,0.3190755076,0.2974017543
t3,0.58,0.3226413399,0.3046780011
t3,0.58,0.3214520236,0.3428941906
