   States   
CE,Vol,"[0.00365371 0.00384638 0.00397938 0.00430025 0.00484777 0.0054704
 0.00622055 0.00710942 0.00810532 0.00916944]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[1912.13293137 1805.60791243 1729.36217308 1579.3916592  1373.31835449
 1184.21239784 1006.60085471  846.05746648  708.95205225  595.88983562]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[ 122.47511829  255.87225067  331.69230777  509.85873005  763.41148333
  985.17560589 1193.34250536 1384.53310351 1549.8768227  1687.3791269 ]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,"[  3.73019386  14.28635227  29.70577304  48.42151246  70.64439398
  95.40231894 118.70248503 138.5522787  154.67803957 167.51444787]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,"[324.26169562 324.0463534  324.78271581 324.83568429 324.42554956
 324.49396785 324.58862381 324.57200549 324.50560747 324.44758427]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,"[327.01417248 331.02531249 333.16380064 333.34083957 334.31482809
 335.54463339 335.86050312 335.56982451 335.09945516 334.56966307]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 1.63909527e-05 1.97068281e-05
 2.70461826e-05 2.88486644e-05 3.05923261e-05 3.08466674e-05
 3.08111941e-05 3.08520336e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Delta H,"[-323.05       -323.05       -327.9118157  -324.97202983 -299.05784096
 -277.67792475 -260.05679344 -261.57206259 -265.90432526 -269.47385631]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
CE,V_in,"[1.28088071e-06 1.60559733e-06 1.10835667e-06 2.67389978e-06
 4.56269809e-06 5.18857450e-06 6.25125820e-06 7.40727224e-06
 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,"[302.64547126 303.46593998 314.93409802 314.95132423 314.96368072
 314.96729352 314.97120015 314.973055     0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
CE,Vol,"[0.00365371 0.00384638 0.00416232 0.00432511 0.00493331 0.00561689
 0.00643143 0.00737331 0.00840573 0.00948357]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[1912.13293137 1805.60791243 1650.29015842 1564.53184176 1343.62623554
 1146.87275049  966.65586494  808.66727028  676.65446182  569.56570071]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[ 122.47511829  255.87225067  445.90800889  518.38938883  796.31261717
 1031.26614885 1245.64241827 1435.23980429 1594.74275517 1724.27340422]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,"[  3.73019386  14.28635227  31.46270139  53.92513941  75.29921181
  99.36989016 121.74951373 140.70371612 156.11022084 168.55121789]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,"[324.26169562 324.0463534  323.98623039 325.35443701 324.68341978
 324.52846244 324.45624205 324.39699972 324.38245714 324.42556108]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,"[327.01417248 331.02531249 335.24481559 335.49572646 334.45244234
 334.99985967 335.5853805  335.91764123 335.85484665 335.26485172]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.42831658e-05 1.98773112e-05
 2.85221038e-05 3.13050963e-05 3.13025450e-05 3.05973623e-05
 3.10230899e-05 3.08444106e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Delta H,"[-323.05       -323.05       -307.25429492 -260.86731841 -265.80133376
 -259.48447947 -266.59686317 -274.83477148 -272.41351472 -274.67274739]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
CE,V_in,"[1.28088071e-06 1.60559733e-06 2.63289254e-06 1.35652708e-06
 5.06836027e-06 5.69646907e-06 6.78788421e-06 7.84895309e-06
 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,"[302.64547126 303.46593998 305.52449639 310.02069121 311.42264252
 312.05665758 312.89645653 313.24336853   0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
CE,Vol,"[0.00365371 0.00384638 0.00416185 0.00438895 0.00496301 0.00567945
 0.00652208 0.00748283 0.00853935 0.00961719]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[1912.13293137 1805.60791243 1650.48587967 1540.91455271 1333.91313384
 1132.2558465   950.93098393  794.39237324  663.61582704  559.28472448]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[ 122.47511829  255.87225067  445.62470883  553.62572793  807.82522042
 1050.96722331 1267.73587748 1455.70399591 1614.28004126 1739.6301073 ]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,"[  3.73019386  14.28635227  31.45858866  54.0009772   76.52203153
 100.25960277 122.34705865 141.08297769 156.11848727 168.57712239]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,"[324.26169562 324.0463534  323.98821557 325.07489803 324.75115229
 324.53779128 324.44706383 324.40161209 324.37403217 324.45415272]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,"[327.01417248 331.02531249 335.23958871 336.18862524 335.42449747
 335.64536326 336.08297885 336.26846453 336.07491286 335.31620439]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.25619761e-05 3.11318908e-05
 3.16236916e-05 3.09540401e-05 3.04193309e-05 3.09008653e-05
 3.05712670e-05 3.01415885e-05]"
Dual,k0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Delta H,"[-323.05       -323.05       -322.19487353 -198.74364194 -239.4830827
 -263.30573569 -273.49483143 -272.99752863 -276.07375823 -280.17974041]"
Dual,Delta H,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
   Inputs   
CE,V_in,"[1.28088071e-06 1.60559733e-06 2.62894112e-06 1.89247857e-06
 4.78384454e-06 5.97032131e-06 7.02196599e-06 8.00625216e-06
 0.00000000e+00]"
Dual,V_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,"[302.64547126 303.46593998 304.93923413 309.5112254  311.02875732
 311.16699028 311.62280471 311.8727242    0.        ]"
Dual,Tj_in,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
   States   
CE,Vol,"[0.00365371 0.00384638 0.00403843 0.00435459 0.00489025 0.00554681
 0.00637068 0.00730915 0.00835775 0.00943559]"
Dual,Vol,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Ca,"[1912.13293137 1805.60791243 1703.03567597 1557.1307614  1358.2369151
 1164.44869862  978.99521937  818.68310718  683.14084342  574.73633828]"
Dual,Ca,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cb,"[ 122.47511829  255.87225067  369.66773366  538.38641661  779.6883
 1009.47771309 1232.03291459 1424.42033742 1589.27668029 1720.05987156]"
Dual,Cb,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Cc,"[  3.73019386  14.28635227  30.31150095  50.36697652  73.18253094
  97.5396956  119.78970254 139.02200073 154.40482183 167.13424841]"
Dual,Cc,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,T,"[324.26169562 324.0463534  324.51877136 324.80644653 324.58924117
 324.55616618 324.44226044 324.40840485 324.36418969 324.43336677]"
Dual,T,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj,"[327.01417248 331.02531249 333.8495699  334.56321399 334.99622651
 335.60868294 336.10127253 336.35662446 336.23686787 335.57752257]"
Dual,Tj,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
