   States   
CE,Vol,"[0.0035     0.0035863  0.00360881 0.0042252  0.0042629  0.0046958
 0.00532583 0.00604567 0.00682155 0.        ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00596132 0.00685237 0.00792158
 0.00899079 0.01006    0.01100503 0.01180766]"
CE,Ca,"[2000.         1949.71263774 1932.92325201 1635.55868946 1596.48083518
 1422.64228396 1222.71693167 1042.64675964  889.14477017    0.        ]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1089.85674551  911.70501761
  753.77024927  631.57309316  534.70569688  461.70912823  405.68045525]"
CE,Cb,"[   0.           70.02878153   83.68275849  493.7409431   491.29390844
  695.90843613  936.84029064 1148.01136686 1323.74345644    0.        ]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1154.27090111 1357.85527437
 1544.62538019 1685.14664968 1795.16024668 1871.54990616 1923.61705717]"
CE,Cc,"[  0.           2.16090474   6.7729454   21.16840908  45.59393552
  68.05125517  91.63372474 115.20739747 137.01575532   0.        ]"
Dual,Cc,"[  0.          17.76670932  48.31772639  84.37759225 109.83487969
 129.88769837 146.99748423 161.1124832  174.3545606  187.14490398]"
CE,T,"[325.         324.57905434 324.85973036 322.62432745 324.91241692
 325.17182151 324.96867864 324.89398909 324.92693475   0.        ]"
Dual,T,"[325.         320.74598036 320.70498699 324.68584585 325.97757386
 326.16323839 325.93125054 325.41887778 325.10346674 325.03942627]"
CE,Tj,"[325.         326.1442825  327.36579281 334.04030292 338.48511149
 336.77332122 335.00217693 333.77671466 332.53126918   0.        ]"
Dual,Tj,"[325.         337.08281576 355.17872175 359.61540957 351.27112501
 340.76021037 332.37203581 327.60234065 325.79349916 325.24033551]"
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325.   0.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.02188015e-05
 2.97879586e-05 3.95946745e-05 3.43026045e-05 3.31638199e-05
 3.24924696e-05 0.00000000e+00]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.47895268e-05
 2.70903079e-05 2.86997980e-05 3.05065480e-05 3.04704620e-05
 3.05968933e-05 3.06319857e-05]"
CE,Delta H,"[-323.05       -323.05       -323.05       -329.91384185 -314.32250038
 -197.23463129 -250.24860783 -263.01323935 -267.07250707    0.        ]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -313.54532363 -260.09381476
 -274.52812812 -264.52816044 -268.5974159  -270.45130495 -271.58537424]"
   Inputs   
CE,V_in,"[2.50000000e-06 7.19149216e-07 1.87622133e-07 5.13654563e-06
 3.14180825e-07 3.60751644e-06 5.25020130e-06 5.99870805e-06
 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 2.69085078e-06
 7.42542117e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 7.87527782e-06]"
CE,Tj_in,"[280.         280.05603601 280.15357146 280.20525692 308.64334592
 310.0023476  311.45162372 311.52978985   0.        ]"
Dual,Tj_in,"[280.         280.69299726 280.69429277 280.70161447 281.55294391
 283.51456905 285.19582104 285.77128716 285.98229309]"
   States   
CE,Vol,"[0.0035     0.0035863  0.00360881 0.00374508 0.00442735 0.00446698
 0.00503772 0.0057308  0.00649664 0.        ]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00613386 0.00687389 0.0079431
 0.00901231 0.01008152 0.01103618 0.01181774]"
CE,Ca,"[2000.         1949.71263774 1932.92325201 1854.85597703 1549.5062478
 1507.71124103 1307.42389518 1115.76571906  949.30210214    0.        ]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1058.32492298  907.38365983
  750.44194554  628.94200463  532.58410355  459.53198329  404.55015306]"
CE,Cb,"[   0.           70.02878153   83.68275849  182.06175396  596.80420734
  590.07181713  833.63153544 1062.0863758  1255.5991271     0.        ]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1205.30770734 1361.51825743
 1547.2729938  1687.15511189 1796.74389645 1873.85426124 1923.74480711]"
CE,Cc,"[  0.           2.16090474   6.7729454   14.2617122   31.57456838
  59.34452853  82.09304872 105.70601824 128.17908787   0.        ]"
