   States   
CE,Vol,"[0.0035     0.         0.00358442 0.0036065  0.00396972 0.00433052
 0.00458235 0.0051646  0.00585666 0.00662123]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00599605 0.00680114 0.00787035
 0.00893956 0.01000877 0.01094357 0.01174007]"
CE,Ca,"[2000.            0.         1950.78233985 1934.30693438 1745.63058588
 1578.41598104 1464.45154961 1268.70821824 1084.78279697  924.60109574]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1083.36216711  918.47479076
  758.84979599  635.49920344  537.81032475  464.7046571   408.44372394]"
CE,Cb,"[   0.            0.           68.53733878   81.95348578  337.25411789
  537.33034425  645.45361568  880.25213949 1096.73039814 1281.58644351]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1164.77574596 1345.38400104
 1535.32172936 1677.91546973 1789.35844858 1865.61252513 1917.84642936]"
CE,Cc,"[  0.           0.           2.11566058   6.63444506  17.72000131
  38.01827368  63.14762396  86.67421326 110.43816256 132.60476515]"
Dual,Cc,"[  0.          17.76670932  48.31772639  84.07240135 110.76152513
 130.56143067 147.53429005 161.57042572 174.93219569 187.7951939 ]"
CE,T,"[325.           0.         324.58805286 324.86257336 323.6342763
 323.74782659 325.10301567 325.05198619 324.99695569 324.98478825]"
Dual,T,"[325.         320.74598036 320.70498699 324.57540478 326.20126925
 326.28003339 325.95123236 325.37653208 325.06012289 325.00675697]"
CE,Tj,"[325.           0.         326.11970796 327.31580263 331.17546689
 336.82282892 337.93428296 336.00001188 334.26725117 332.6591929 ]"
Dual,Tj,"[325.         337.08281576 355.17872175 359.8483865  351.13670845
 339.99524204 331.56623081 327.1005106  325.62401912 325.27318083]"
CE,Tj_in,[325.   0. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 0.00000000e+00 3.65484000e-05 3.65484000e-05
 2.82207783e-05 3.34251707e-05 2.80233296e-05 2.83532798e-05
 2.99335399e-05 3.06883934e-05]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.10817137e-05
 2.95475553e-05 3.06131272e-05 3.01363344e-05 2.99579491e-05
 3.01626177e-05 3.03585812e-05]"
CE,Delta H,"[-323.05          0.         -323.05       -323.05       -321.01564696
 -223.34931593 -290.01661524 -293.04047267 -283.23498519 -278.38232889]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -271.56600533 -232.26607742
 -254.40916976 -270.80582296 -276.06316572 -276.46572263 -275.90176698]"
   Inputs   
CE,V_in,"[2.50000000e-06 0.00000000e+00 7.03471612e-07 1.84006570e-07
 3.02681777e-06 3.00670275e-06 2.09862439e-06 4.85201067e-06
 5.76721372e-06]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 2.98021500e-06
 6.70910717e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 7.79000578e-06]"
CE,Tj_in,"[280.           0.         280.10628263 314.56419295 314.56419919
 314.56420454 314.64038288 314.67679513 314.69685978]"
Dual,Tj_in,"[280.         280.69999726 280.70352608 299.62666317 299.90288416
 301.86883487 302.47710492 302.87528122 302.98204903]"
