   States   
CE,Vol,"[0.0035     0.         0.0035863  0.00360881 0.00376548 0.00452811
 0.00452811 0.0051743  0.00592606 0.00674054]"
Dual,Vol,"[0.0035     0.00456921 0.00563842 0.00611925 0.00687819 0.0079474
 0.00901661 0.01008582 0.01104091 0.01182129]"
CE,Ca,"[2000.            0.         1949.71263774 1932.92325014 1844.36694288
 1512.99488313 1483.51663607 1267.98878128 1072.97732287  908.23006277]"
Dual,Ca,"[2000.         1514.22713099 1193.16429742 1060.92384182  906.91560471
  750.09531115  628.6772696   532.37703444  459.34554895  404.43254665]"
CE,Cb,"[   0.            0.           70.02878153   83.68276112  196.8885311
  648.24356406  618.765317    885.88584924 1119.91570205 1311.99585654]"
Dual,Cb,"[   0.          684.24253022 1089.4592379  1201.09774854 1362.64525425
 1548.1210614  1687.81854457 1797.27867978 1874.3470445  1924.07253556]"
CE,Cc,"[  0.           0.           2.16090474   6.77294547  14.62442183
  32.9056445   62.38389156  84.85239154 108.24732546 130.26361972]"
Dual,Cc,"[  0.          17.76670932  48.31772639  83.00659549 110.79253547
 130.69438875 147.66622041 161.66230743 174.65385283 187.71145779]"
CE,T,"[325.           0.         324.57905434 324.85973034 324.55514581
 322.3104476  325.31012903 325.02187463 324.8865596  324.90290211]"
Dual,T,"[325.         320.74598036 320.70498699 324.19193155 326.1941908
 326.38014543 326.07795121 325.47533391 325.06797053 325.01721637]"
CE,Tj,"[325.           0.         326.1442825  327.36579286 328.71705962
 336.69860017 340.37040228 337.7879707  336.09384749 334.52395426]"
Dual,Tj,"[325.         337.08281576 355.17872175 360.66689504 352.44087856
 340.71940015 331.59699117 326.66696749 325.14184753 324.92398189]"
CE,Tj_in,[325.   0. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
CE,k0,"[3.65484000e-05 0.00000000e+00 3.65484000e-05 3.65484000e-05
 4.42533844e-05 3.13068024e-05 2.81111111e-05 3.07398257e-05
 3.07714545e-05 3.13732473e-05]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.95710263e-05
 3.14352541e-05 3.09907874e-05 3.06445521e-05 3.08047557e-05
 3.08078093e-05 3.09811369e-05]"
CE,Delta H,"[-323.05          0.         -323.05       -323.05       -319.85364118
 -216.69937793 -256.43816354 -279.18816408 -286.76149338 -279.01082041]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -296.50229402 -218.61128943
 -253.03997273 -266.82953879 -269.94593927 -272.17479068 -271.61467469]"
   Inputs   
CE,V_in,"[2.50000000e-06 0.00000000e+00 7.19149216e-07 1.87622161e-07
 1.30558497e-06 6.35518819e-06 0.00000000e+00 5.38493559e-06
 6.26467821e-06]"
Dual,V_in,"[2.50000000e-06 8.91008167e-06 8.91008167e-06 4.00695956e-06
 6.32449307e-06 8.91008167e-06 8.91008167e-06 8.91008167e-06
 7.95905725e-06]"
CE,Tj_in,"[280.           0.         280.56087272 280.629087   295.07521527
 295.07560835 300.57257554 301.72171817 303.34382391]"
Dual,Tj_in,"[280.         281.25439726 281.25795469 289.53333014 291.37041905
 294.5481961  295.39389353 296.53560867 296.70450013]"
