   States   
Opt,Vol,"[0.0035     0.00368163 0.00385235 0.00403083 0.00428059 0.0045989
 0.00499769 0.00547925 0.00603163 0.0066393  0.00728849]"
CE,Vol,"[0.0035     0.00359148 0.00359148 0.00369679 0.00382732 0.00490732
 0.00530779 0.00609708 0.00609708 0.00646071 0.00705516]"
Tube,Vol,"[0.0035     0.00356936 0.00361109 0.00369462 0.00382278 0.00490278
 0.00490278 0.00550277 0.00631473 0.00698663 0.00699679]"
Dual,Vol,"[0.0035     0.00408593 0.00467225 0.00471824 0.00471824 0.00561805
 0.00635555 0.00635555 0.00635555 0.00635555 0.00706316]"
Tube Dual,Vol,"[0.0035     0.00357035 0.00357035 0.00385004 0.00385004 0.00416553
 0.00416553 0.00524553 0.00632553 0.00740553 0.00848553]"
Opt,Ca,"[2000.         1896.98176701 1801.53590134 1705.13331952 1584.25599826
 1448.62859626 1303.33964499 1156.54923885 1017.16600393  890.59305475
  778.71328742]"
CE,Ca,"[2000.         1946.77113556 1942.42546295 1880.70979446 1805.81852512
 1384.43212693 1245.2550206  1048.63627402 1011.53117161  920.31915536
  810.10521513]"
Tube,Ca,"[2000.         1959.38276952 1932.44076195 1881.93741464 1808.21125002
 1386.00323479 1352.00642636 1171.68281258  986.45071814  856.66285711
  820.65482561]"
Dual,Ca,"[2000.         1701.42137842 1461.56539018 1415.68954184 1385.60219456
 1133.0613654   967.31925214  932.03872168  898.99743313  867.99030422
  752.50187936]"
Tube Dual,Ca,"[2000.         1958.81703462 1955.43478982 1804.38914976 1790.32537001
 1637.14762026 1615.66658694 1255.87641573 1006.75377231  824.43494453
  685.75965992]"
Opt,Cb,"[   0.          143.64810395  258.8530937   363.59444179  496.03062211
  643.37271297  801.71796021  962.67888938 1115.79249079 1254.77306511
 1377.6702979 ]"
CE,Cb,"[   0.           74.13040311   69.7847305   146.87069905  233.42602328
  818.32910189  948.20758592 1178.40313818 1141.29803577 1211.63146755
 1329.65499142]"
Tube,Cb,"[   0.           56.54897886   86.25347494  145.3200491   230.39101768
  816.59952382  782.60271538  991.46456585 1215.1476443  1351.88435952
 1319.51395467]"
Dual,Cb,"[   0.          418.43285289  716.04735974  706.68078519  676.59343791
 1018.09911642 1213.81698014 1178.53644968 1145.49516113 1114.48803222
 1274.86496938]"
Tube Dual,Cb,"[   0.           57.33741196   53.95516717  258.97731656  244.91353682
  436.00330705  414.52227373  919.6992962  1240.18355599 1461.33265241
 1623.42351248]"
Opt,Cc,"[  0.           4.35169822  15.53722171  31.48223157  51.0341522
  73.47375705  97.30902892 120.99890094 143.38340133 163.7349411
 181.70390839]"
CE,Cc,"[  0.           2.28515742   6.63083003  12.8258437   23.13847561
  42.00908309  73.56395327  99.45698031 136.56208272 163.15591976
 182.07487436]"
Tube,Cc,"[  0.           1.75074674   6.03415285  12.70953157  22.91684292
  41.75824959  75.75505803 100.40448612 122.07051139 145.24854193
 179.80152277]"
Dual,Cc,"[  0.          11.77403179  36.64182199  67.91396082  98.0013081
 112.92353419 134.08165666 169.36218712 202.40347567 233.41060458
 238.55288463]"
Tube Dual,Cc,"[  0.           1.77481444   5.15705924  13.77558352  27.83936327
  43.31010503  64.79113834  78.59443208  99.87431422 120.80597232
 139.17479906]"
Opt,T,"[325.         324.08185919 323.82350683 323.92623515 323.99479306
 324.09408051 324.17072403 324.20914396 324.2334523  324.25646025
 324.27573416]"
CE,T,"[325.         324.5282837  324.83127247 324.56101909 324.45732769
 320.80353675 321.74762473 321.47280843 324.05390097 324.97324179
 325.0059076 ]"
Tube,T,"[325.         324.64056189 324.65858462 324.57053037 324.47234515
 320.80502558 323.22576178 322.97091544 322.43338855 322.72508298
 325.04256148]"
Dual,T,"[325.         322.2776602  321.40374238 323.43126352 325.43386378
 323.40991604 323.05418679 325.41249947 327.46703699 329.25188727
 327.94413927]"
Tube Dual,T,"[325.         324.63553229 324.87115405 323.69991743 324.66884886
 323.99455139 325.41642789 322.05507089 320.79623272 320.38400827
 320.31904795]"
Opt,Tj,"[325.         324.98443711 324.97544654 324.97469954 324.97435092
 324.97436156 324.97397121 324.97243939 324.97019666 324.96775517
 324.96516404]"
CE,Tj,"[325.         324.99229324 324.99562039 324.99180148 324.98853245
 324.89426269 324.88852045 324.8664188  324.94431595 324.99175725
 324.99965823]"
Tube,Tj,"[325.         324.99415786 324.99312811 324.99139566 324.98884772
 324.89448452 324.93360158 324.93204376 324.90068276 324.89473997
 324.9824927 ]"
Dual,Tj,"[325.         324.94698332 324.9048687  324.94470584 325.00160904
 324.95533591 324.92359621 324.99921017 325.08604498 325.16173139
 325.14404467]"
Tube Dual,Tj,"[325.         324.99407437 324.99666915 324.97605199 324.98892375
 324.9782236  325.00356102 324.92254682 324.84092079 324.78218257
 324.7386651 ]"
Opt,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
CE,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Tube,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
Tube Dual,Tj_in,[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.]
   Parameters   
Opt,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 2.94781444e-05
 2.96056689e-05 3.02046575e-05 3.05308305e-05 3.07057189e-05
 3.08063354e-05 3.08683371e-05 3.09088441e-05]"
CE,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 4.33539111e-05
 3.67921304e-05 2.78288200e-05 3.03338591e-05 3.12819645e-05
 3.08826009e-05 3.09481921e-05 3.10320244e-05]"
Tube,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 4.30805456e-05
 3.65005937e-05 2.78075818e-05 3.04440263e-05 3.13662927e-05
 3.09491027e-05 3.09821948e-05 3.10586537e-05]"
Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 3.29874068e-05
 3.10049591e-05 2.99647209e-05 3.03481550e-05 3.06007274e-05
 3.05796314e-05 3.06596372e-05 3.07479392e-05]"
Tube Dual,k0,"[3.65484000e-05 3.65484000e-05 3.65484000e-05 4.35339839e-05
 3.48516686e-05 2.57566228e-05 2.87879714e-05 3.00506058e-05
 3.00309129e-05 3.03408801e-05 3.06139647e-05]"
Opt,Delta H,"[-323.05       -323.05       -323.05       -313.49699897 -295.94381997
 -281.3014795  -275.13516661 -273.30772907 -272.63658049 -272.15785377
 -271.83042031]"
CE,Delta H,"[-323.05       -323.05       -323.05       -319.35092977 -322.85246925
 -319.59228697 -296.67580073 -266.44295346 -273.15826935 -273.85662659
 -272.70627733]"
Tube,Delta H,"[-323.05       -323.05       -323.05       -320.81175576 -324.43746721
 -321.15457668 -296.78250636 -264.43495384 -270.51523767 -272.42793429
 -271.09803214]"
Dual,Delta H,"[-323.05       -323.05       -323.05       -281.64147738 -286.50245998
 -283.47487176 -278.80608942 -274.19296706 -275.69933881 -275.13566938
 -274.28521706]"
Tube Dual,Delta H,"[-323.05       -323.05       -323.05       -321.11586338 -321.70279732
 -316.43402325 -293.3555184  -269.52859824 -275.13406754 -273.91254936
 -270.94932257]"
   Inputs   
Opt,V_in,"[2.50000000e-06 1.51355556e-06 1.42268722e-06 1.48733091e-06
 2.08131042e-06 2.65264246e-06 3.32318771e-06 4.01301870e-06
 4.60317019e-06 0.00000000e+00]"
CE,V_in,"[2.50000000e-06 7.62347461e-07 0.00000000e+00 8.77553508e-07
 1.08774916e-06 9.00000000e-06 3.33722884e-06 6.57742913e-06
 0.00000000e+00 0.00000000e+00]"
Tube,V_in,"[2.50000000e-06 5.78035991e-07 3.47682289e-07 6.96112972e-07
 1.06800303e-06 9.00000000e-06 0.00000000e+00 4.99990337e-06
 6.76630405e-06 0.00000000e+00]"
Dual,V_in,"[2.50000000e-06 4.88276733e-06 4.88599728e-06 3.83257430e-07
 0.00000000e+00 7.49838034e-06 6.14581929e-06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
Tube Dual,V_in,"[2.50000000e-06 5.86253782e-07 0.00000000e+00 2.33071432e-06
 0.00000000e+00 2.62913458e-06 0.00000000e+00 9.00000000e-06
 9.00000000e-06 0.00000000e+00]"
Opt,Tj_in,"[280.         280.850044   291.84544823 300.36099865 305.31777323
 306.66224553 308.83942088 309.31179883 309.91715836   0.        ]"
CE,Tj_in,"[280.         280.09820254 280.82108817 285.31037376 291.07590226
 291.07610324 291.07664284 291.07702251 307.75660955   0.        ]"
Tube,Tj_in,"[280.         280.00000186 280.03583393 299.2895912  301.1772509
 300.36109131 305.31881395 306.6622703  308.83943389   0.        ]"
Dual,Tj_in,"[280.         280.00014867 314.81955841 314.85768091 280.07383758
 314.23224557 314.9288215  280.07717076 280.13909752   0.        ]"
Tube Dual,Tj_in,"[280.         280.00618633 280.07055351 314.99998752 280.04474803
 314.99895457 280.06815113 280.05020457 280.07712319   0.        ]"
   States   
Opt,Vol,"[0.0035     0.00368163 0.00385235 0.00403083 0.00428059 0.0045989
 0.00499769 0.00547925 0.00603163 0.0066393  0.00728849]"
CE,Vol,"[0.0035     0.00359148 0.00359148 0.00366542 0.00449624 0.00449624
 0.00557624 0.00578488 0.0058785  0.0064347  0.00702979]"
Tube,Vol,"[0.0035     0.00356936 0.00361109 0.00366587 0.00448013 0.00448013
 0.00459443 0.00548124 0.00622346 0.00699438 0.00699725]"
Dual,Vol,"[0.0035     0.00408593 0.00467225 0.00467225 0.00467225 0.00557825
 0.0063243  0.0063243  0.0063243  0.0063243  0.00703554]"
Tube Dual,Vol,"[0.0035     0.00357035 0.00357035 0.00389034 0.00497034 0.00497034
 0.00605034 0.00605034 0.00713034 0.00821034 0.00929034]"
Opt,Ca,"[2000.         1896.98176701 1801.53590134 1705.13331952 1584.25599826
 1448.62859626 1303.33964499 1156.54923885 1017.16600393  890.59305475
  778.71328742]"
CE,Ca,"[2000.         1946.77113556 1942.42546295 1897.52014928 1527.83592757
 1498.64615669 1177.27709402 1098.18448034 1045.34306032  921.82511826
  811.29905674]"
Tube,Ca,"[2000.         1959.38276952 1932.44076195 1897.35113888 1533.59675448
 1504.67538748 1439.4870604  1176.2967903  1001.47266431  856.47260764
  821.28523743]"
Dual,Ca,"[2000.         1701.42137842 1461.56539018 1430.11805352 1400.67043627
 1142.89442733  973.87677368  938.56298864  905.48999259  874.45250075
  757.47684523]"
Tube Dual,Ca,"[2000.         1958.81703462 1955.43478982 1784.88250085 1371.51203674
 1336.47903276 1064.12314532 1026.68851304  837.58104761  694.76519524
  583.59845609]"
Opt,Cb,"[   0.          143.64810395  258.8530937   363.59444179  496.03062211
  643.37271297  801.71796021  962.67888938 1115.79249079 1254.77306511
 1377.6702979 ]"
CE,Cb,"[   0.           74.13040311   69.7847305   123.17179623  635.69298681
  606.50321592 1038.96323862 1073.06007075 1068.39393093 1202.20299644
 1321.90203182]"
Tube,Cb,"[   0.           56.54897886   86.25347494  123.58641623  627.45958086
  598.53821387  630.52757461  983.5893821  1189.53203513 1354.46281907
 1320.30370244]"
Dual,Cb,"[   0.          418.43285289  716.04735974  684.60002307  655.15240583
 1005.71012682 1206.77073068 1171.45694564 1138.3839496  1107.34645776
 1270.11336755]"
Tube Dual,Cb,"[   0.           57.33741196   53.95516717  286.56029133  850.62561273
  815.59260875 1171.72022996 1134.28559768 1383.27620734 1563.30537333
 1699.92363121]"
Opt,Cc,"[  0.           4.35169822  15.53722171  31.48223157  51.0341522
  73.47375705  97.30902892 120.99890094 143.38340133 163.7349411
 181.70390839]"
CE,Cc,"[  0.           2.28515742   6.63083003  12.21919194  29.02124873
  58.21101962  78.04844814 111.8652835  145.43659144 166.02373047
 184.45975323]"
Tube,Cc,"[  0.           1.75074674   6.03415285  12.15475018  28.85811497
  57.77948196  84.09673391 100.78617298 123.30358736 144.33130779
 179.10737656]"
Dual,Cc,"[  0.          11.77403179  36.64182199  68.08915866  97.53677591
 111.97929287 132.96564352 168.27942856 201.3524246  232.38991645
 237.46854584]"
Tube Dual,Cc,"[  0.           1.77481444   5.15705924  14.44638296  36.84253286
  71.87553684  92.83802082 130.2726531  144.1408885  157.81873352
 169.87147386]"
Opt,T,"[325.         324.08185919 323.82350683 323.92623515 323.99479306
 324.09408051 324.17072403 324.20914396 324.2334523  324.25646025
 324.27573416]"
CE,T,"[325.         324.5282837  324.83127247 324.71892502 321.52568303
 323.59174925 321.23064266 323.05320898 325.06021417 325.05873048
 325.05827876]"
Tube,T,"[325.         324.64056189 324.65858462 324.71544449 321.58604523
 323.63113758 324.90401087 322.93449159 322.60790433 322.54572176
 324.90323792]"
Dual,T,"[325.         322.2776602  321.40374238 323.62211551 325.57195486
 323.44158804 323.03242028 325.39429342 327.45218429 329.24019469
 327.91191922]"
Tube Dual,T,"[325.         324.63553229 324.87115405 323.51440511 320.27780329
 322.79908318 321.14100444 323.76541921 322.49366587 321.86617261
 321.54526696]"
Opt,Tj,"[325.         324.98443711 324.97544654 324.97469954 324.97435092
 324.97436156 324.97397121 324.97243939 324.97019666 324.96775517
 324.96516404]"
CE,Tj,"[325.         324.99229324 324.99562039 324.99454682 324.92221229
 324.95214768 324.88382687 324.91696998 324.98835857 325.00188989
 325.00234143]"
Tube,Tj,"[325.         324.99415786 324.99312811 324.99392593 324.92386956
 324.953525   324.99071633 324.94058848 324.90780234 324.88943366
 324.97575281]"
Dual,Tj,"[325.         324.94698332 324.9048687  324.94963363 325.00574578
 324.95736408 324.92353637 324.99844511 325.08490342 325.16027951
 325.14203559]"
