   States   
CE,Vol,"[0.0035     0.00404    0.00404    0.00404    0.00458    0.00510011
 0.00564011 0.00618011 0.00663287 0.00706953 0.00760953 0.00814953
 0.00868953 0.00922953 0.00976953 0.01030953 0.01084953 0.01138953
 0.01192953 0.01246953]"
Dual,Vol,"[0.0035     0.00403461 0.00404    0.00404539 0.00405078 0.00425423
 0.00478884 0.00500057 0.00530238 0.00556595 0.00610056 0.00663517
 0.00715795 0.00754355 0.00807816 0.00861277 0.0090721  0.00960671
 0.01014132 0.01067593]"

CE,Ca,"[2000.         1727.08171132 1716.64677981 1706.54698305 1492.99080574
 1324.44616368 1179.39654524 1057.23007978  965.703797    886.97082276
  805.54836906  734.3047428   671.52575542  615.86059631  566.2345336
  521.77875037  481.78527976  445.66891836  412.94137195  383.19281549]"
Dual,Ca,"[2000.         1729.43987118 1716.74148467 1704.31883983 1692.160628
 1600.49278286 1408.05904506 1331.91844282 1238.92820765 1162.44489853
 1042.62841194  940.32751684  853.46689545  791.91423312  722.30421444
  660.90645894  611.50638144  562.31800935  518.2503797   478.60091579]"

CE,Cb,"[   0.          395.39846865  384.96353714  374.86374039  672.02900856
  893.14799835 1076.62000824 1225.56541674 1327.3334716  1411.56848582
 1505.81948263 1586.96902876 1657.63673905 1719.80257164 1774.98132028
 1824.35317985 1868.84696425 1909.20552932 1946.02958257 1979.8085233 ]"
Dual,Cb,"[   0.          391.96954785  385.05824752  378.40726518  372.00535405
  486.94464055  753.73193039  832.31775789  938.51820892 1018.32263951
 1174.03749657 1302.86872322 1408.63750411 1472.0613517  1555.98367976
 1629.05874491 1682.53671402 1740.70128488 1792.66662144 1839.43145365]"

CE,Cc,"[  0.           5.59158575  16.02651726  26.12631401  35.39391313
  48.07310245  61.71406956  75.43578544  89.64433316 103.19011202
 114.34318551 124.62954281 134.02985113 142.56261356 150.26675173
 157.19147784 163.39004644 168.91643725 173.8233438  178.16090139]"
Dual,Cc,"[  0.           5.54825815  15.93181019  26.04579003  35.90148158
  44.92647406  53.67180081  67.92183115  81.23579184  95.20400508
 104.80795421 114.65600061 124.46486109 136.02691945 144.22399943
 151.83262667 160.08148553 166.32868044 171.9831236  177.06686907]"

CE,T,"[325.         322.11250884 323.08828169 324.14013363 322.57173118
 322.01201066 321.99136002 322.39868587 323.32806136 324.32822955
 324.91159015 325.39818326 325.7429031  325.92835997 325.96042829
 325.86211632 325.6667082  325.41141055 325.13193981 324.85842985]"
Dual,T,"[325.         322.13779089 323.0790274  324.10223109 325.12296886
 324.99483508 323.50211108 324.08945672 324.37440501 324.91895841
 324.41827493 324.17911043 324.16078591 324.66044645 324.67598601
 324.71434123 324.94652159 324.93087678 324.89092797 324.82959412]"

CE,Tj,"[325.         328.78773153 334.2229145  336.94927646 340.28262554
 345.58640373 350.85224662 354.86569825 356.61243847 355.70418124
 352.85592466 348.8887783  344.30437546 339.62012622 335.28757303
 331.64186431 328.87776766 327.05319707 326.10976169 325.90576706]"
Dual,Tj,"[325.         328.75335212 334.17325709 336.95862274 337.16825821
 336.35321263 337.5445869  339.42105471 340.08062539 339.62170882
 339.10506832 339.29645607 339.57903971 339.1210647  338.04690886
 336.91357925 335.51840719 334.01358559 332.71608801 331.66568291]"

CE,Tj_in,"[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.
 325. 325. 325. 325. 325. 325.]"
Dual,Tj_in,"[325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325. 325.
 325. 325. 325. 325. 325. 325.]"
   Parameters   
CE,k0,"[ 1.82742000e-05  1.82742000e-05 -4.05303634e-04  2.90113381e-04
  8.27685187e-05  7.92160284e-06  1.04098649e-05  1.70615611e-05
  1.48055698e-05  1.17519906e-05  1.83378089e-05  1.84926034e-05
  1.66836198e-05  1.32309217e-05  1.51775705e-05  1.42839614e-05
  1.09291369e-05  1.95456915e-05  1.30904953e-05  1.73245759e-05]"
Dual,k0,"[ 1.82742000e-05  1.82742000e-05 -4.07256730e-04  2.95007942e-04
  8.41255194e-05  2.46351790e-05  6.08443269e-06  1.91046102e-05
  1.46926514e-05  1.12058018e-05  1.88585794e-05  1.85613603e-05
  1.66427368e-05  1.33599243e-05  1.52417444e-05  1.44098355e-05
  1.14035474e-05  1.90832407e-05  1.33886098e-05  1.70811057e-05]"

CE,Delta H,"[-323.05       -323.05       -323.05131819 -357.95914578 -401.35531048
 -389.29930709 -392.86586399 -392.81971552 -389.92181522 -386.04216561
 -381.75451052 -369.68305638 -358.06719465 -352.53302232 -347.79592793
 -344.15339254 -345.08558742 -340.6708697  -335.96606852 -334.54543312]"
Dual,Delta H,"[-323.05       -323.05       -323.05131727 -357.95136328 -401.89279616
 -391.70125114 -394.49803254 -396.59332507 -394.90975467 -392.33149009
 -388.97451454 -377.66078135 -365.65240353 -359.18374117 -353.43208433
 -348.77045187 -349.04059037 -343.48725655 -337.56537597 -335.45711505]"
   Inputs   
CE,V_in,"[2.50000000e-06 9.00000000e-06 0.00000000e+00 0.00000000e+00
 9.00000000e-06 8.66853805e-06 9.00000000e-06 9.00000000e-06
 7.54592265e-06 7.27767474e-06 9.00000000e-06 9.00000000e-06
 9.00000000e-06 9.00000000e-06 9.00000000e-06 9.00000000e-06
 9.00000000e-06 9.00000000e-06 9.00000000e-06]"
Dual,V_in,"[2.50000000e-06 8.91016333e-06 8.98366667e-08 8.98366667e-08
 8.98366667e-08 3.39090360e-06 8.91016333e-06 3.52884120e-06
 5.03001402e-06 4.39291269e-06 8.91016333e-06 8.91016333e-06
 8.71292684e-06 6.42676703e-06 8.91016333e-06 8.91016333e-06
 7.65543820e-06 8.91016333e-06 8.91016333e-06]"

CE,Tj_in,"[280.         280.06473824 282.48250266 282.50636199 295.3490721
 295.34918951 295.34930691 295.34942432 296.76711934 300.44076938
 300.69431469 300.81980586 300.94525177 301.40714625 301.46474812
 301.52158809 301.58899262 301.63565442 301.70354508]"
Dual,Tj_in,"[280.         280.69999726 290.43335943 290.52631399 294.01745281
 300.87062135 300.8707489  303.99388509 305.86713812 308.13695212
 309.54019174 309.69708793 310.35144943 311.21122356 311.68473066
 312.00778627 312.09846701 312.15156644 312.17314824]"
