Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.5000013735994809,0.5000013735994809,,0.0,-1.3735994809360719e-06,-1.3735994809360719e-06
xk_1,0.5,0.5000013005507307,0.5000013005507307,,0.0,-1.300550730665151e-06,-1.300550730665151e-06
xk_1,0.5,0.5000008756089422,0.5000008756089422,,0.0,-8.756089422412572e-07,-8.756089422412572e-07
xk_1,0.5,0.5000004960720144,0.5000004960720144,,0.0,-4.960720143554198e-07,-4.960720143554198e-07
xk_1,0.5,0.5000002547863484,0.5000002547863484,,0.0,-2.5478634835263136e-07,-2.5478634835263136e-07
xk_1,0.5,0.5000001311299153,0.5000001311299153,,0.0,-1.3112991525954243e-07,-1.3112991525954243e-07
xk_1,0.5,0.5000000801719365,0.5000000801719365,,0.0,-8.017193653397925e-08,-8.017193653397925e-08
xk_1,0.5,0.500000065916463,0.500000065916463,,0.0,-6.591646295461828e-08,-6.591646295461828e-08
xk_1,0.5,0.5000000664823548,0.5000000664823548,,0.0,-6.648235484352227e-08,-6.648235484352227e-08
xk_1,0.5,0.500000071799503,0.500000071799503,,0.0,-7.179950300972848e-08,-7.179950300972848e-08
xk_1,0.5,0.5000000757477446,0.5000000757477446,,0.0,-7.574774463225964e-08,-7.574774463225964e-08
xk_1,0.5,0.5000000780915772,0.5000000780915772,,0.0,-7.809157720473081e-08,-7.809157720473081e-08
xk_1,0.5,0.500000079099666,0.500000079099666,,0.0,-7.90996660393617e-08,-7.90996660393617e-08
xk_1,0.5,0.5000000791935819,0.5000000791935819,,0.0,-7.919358191443848e-08,-7.919358191443848e-08
xk_1,0.5,0.5000000787163659,0.5000000787163659,,0.0,-7.871636586997965e-08,-7.871636586997965e-08
xk_1,0.5,0.5000000778960668,0.5000000778960668,,0.0,-7.789606681907202e-08,-7.789606681907202e-08
xk_1,0.5,0.5000000768725688,0.5000000768725688,,0.0,-7.687256875499315e-08,-7.687256875499315e-08
xk_1,0.5,0.5000000757304913,0.5000000757304913,,0.0,-7.573049132236775e-08,-7.573049132236775e-08
xk_1,0.5,0.5000000745234027,0.5000000745234027,,0.0,-7.452340267111168e-08,-7.452340267111168e-08
