Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.5000653834049456,0.5000653834049456,,0.0,-6.53834049455515e-05,-6.53834049455515e-05
xk_1,0.5,0.5004289485216625,0.5004289485216625,,0.0,-0.00042894852166253106,-0.00042894852166253106
xk_1,0.5,0.499361539674692,0.499361539674692,,0.0,0.0006384603253080101,0.0006384603253080101
xk_1,0.5,0.49889079843981504,0.49889079843981504,,0.0,0.001109201560184958,0.001109201560184958
xk_1,0.5,0.5009319892733826,0.5009319892733826,,0.0,-0.0009319892733825608,-0.0009319892733825608
xk_1,0.5,0.5005108360577089,0.5005108360577089,,0.0,-0.0005108360577088522,-0.0005108360577088522
xk_1,0.5,0.5004983204769962,0.5004983204769962,,0.0,-0.0004983204769961613,-0.0004983204769961613
xk_1,0.5,0.5014083872547171,0.5014083872547171,,0.0,-0.0014083872547171472,-0.0014083872547171472
xk_1,0.5,0.5013998293915877,0.5013998293915877,,0.0,-0.0013998293915876703,-0.0013998293915876703
xk_1,0.5,0.5027170586414763,0.5027170586414763,,0.0,-0.002717058641476311,-0.002717058641476311
xk_1,0.5,0.5022068565717264,0.5022068565717264,,0.0,-0.0022068565717263677,-0.0022068565717263677
xk_1,0.5,0.5000393900256596,0.5000393900256596,,0.0,-3.939002565955807e-05,-3.939002565955807e-05
xk_1,0.5,0.49877935151548797,0.49877935151548797,,0.0,0.0012206484845120325,0.0012206484845120325
xk_1,0.5,0.4988591446874076,0.4988591446874076,,0.0,0.0011408553125923926,0.0011408553125923926
xk_1,0.5,0.4994480011974691,0.5019137908690762,,-0.0024657896716070438,0.0005519988025308731,-0.0019137908690761707
xk_1,0.5,0.49876695108016794,0.5000100152036056,,-0.0012430641234376094,0.0012330489198320582,-1.0015203605551193e-05
xk_1,0.5,0.4987990198378872,0.49930675142026537,,-0.000507731582378157,0.0012009801621127858,0.0006932485797346288
xk_1,0.5,0.5001041955775649,0.5002537597083024,,-0.00014956413073752284,-0.00010419557756491393,-0.00025375970830243677
xk_1,0.5,0.5010501526409499,0.5010588902949331,,-8.737653983237337e-06,-0.0010501526409498751,-0.0010588902949331125
xk_1,0.5,0.5038024338276503,0.5037804066811901,,2.2027146460268376e-05,-0.003802433827650331,-0.0037804066811900627
