Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.49994283774192644,0.49994283774192644,,0.0,5.716225807356201e-05,5.716225807356201e-05
xk_1,0.5,0.5002176806208326,0.5002176806208326,,0.0,-0.00021768062083260542,-0.00021768062083260542
xk_1,0.5,0.5012143209160496,0.5012143209159502,,9.936496070395151e-14,-0.0012143209160495605,-0.0012143209159501955
xk_1,0.5,0.5024602613728979,0.5024602613728614,,3.652633751016765e-14,-0.0024602613728978984,-0.002460261372861372
xk_1,0.5,0.5010396969234233,0.5010396969225133,,9.100498132852408e-13,-0.0010396969234233167,-0.0010396969225132668
xk_1,0.5,0.5024018569587402,0.5024018569561571,,2.5830448890928892e-12,-0.0024018569587401783,-0.0024018569561571335
xk_1,0.5,0.501787651199076,0.5017876511957217,,3.3543168242999855e-12,-0.0017876511990759791,-0.0017876511957216623
xk_1,0.5,0.5031621011031151,0.5031621011006381,,2.4770185902411868e-12,-0.0031621011031151003,-0.0031621011006380817
xk_1,0.5,0.5001524232755514,0.5001524232746112,,9.40247879555045e-13,-0.00015242327555142765,-0.00015242327461117977
xk_1,0.5,0.49759411892650107,0.4975941189266194,,-1.1834977442504169e-13,0.0024058810734989278,0.002405881073380578
xk_1,0.5,0.5016734663621711,0.5016734663625114,,-3.402833570476105e-13,-0.0016734663621711388,-0.0016734663625114221
xk_1,0.5,0.4988591633029838,0.49885916330198704,,9.967582315084655e-13,0.001140836697016201,0.0011408366980129592
xk_1,0.5,0.4987535989819332,0.4987535989840726,,-2.1393997684526767e-12,0.0012464010180667784,0.0012464010159273786
xk_1,0.5,0.49807449666453923,0.4980744966663204,,-1.7811863095573699e-12,0.0019255033354607654,0.001925503333679579
xk_1,0.5,0.5000942843597199,0.5000942843603573,,-6.373790384373024e-13,-9.428435971992055e-05,-9.428436035729959e-05
xk_1,0.5,0.49995631181699457,0.4999563118169795,,1.504352198367087e-14,4.3688183005430314e-05,4.3688183020473836e-05
xk_1,0.5,0.49793225039451267,0.4979322503940377,,4.74953409934642e-13,0.0020677496054873346,0.002067749605962288
xk_1,0.5,0.49800810940483875,0.49800810940443685,,4.0190073491430667e-13,0.0019918905951612498,0.0019918905955631505
xk_1,0.5,0.49769294682355386,0.4976929468232667,,2.8715918531929674e-13,0.002307053176446139,0.002307053176733298
xk_1,0.5,0.4978346097234437,0.49783460972292154,,5.221378884812111e-13,0.0021653902765563227,0.0021653902770784605
xk_1,0.5,0.49505837640177447,0.49505837640366956,,-1.895095191883911e-12,0.004941623598225531,0.004941623596330436
xk_1,0.5,0.5032120394770861,0.5032120394785322,,-1.4460654895742664e-12,-0.0032120394770861482,-0.0032120394785322137
xk_1,0.5,0.5051947363175878,0.505194736318344,,-7.561729020721941e-13,-0.0051947363175878225,-0.005194736318343995
xk_1,0.5,0.5054420919988709,0.5054420919992912,,-4.2033043712308427e-13,-0.005442091998870913,-0.005442091999291243
xk_1,0.5,0.4999686475361769,0.49996864753656184,,-3.8491432263754177e-13,3.135246382307555e-05,3.1352463438161227e-05
xk_1,0.5,0.496424249722893,0.4964242497233144,,-4.2138514899647816e-13,0.0035757502771069927,0.0035757502766856075
xk_1,0.5,0.5008156763393625,0.5008156763397912,,-4.2865710980777294e-13,-0.0008156763393625255,-0.0008156763397911826
xk_1,0.5,0.5023705942596685,0.5023705942600625,,-3.9401815143946806e-13,-0.002370594259668457,-0.002370594260062475
xk_1,0.5,0.5007944905052301,0.5002465602210666,,0.0005479302841634448,-0.000794490505230061,-0.00024656022106661624
xk_1,0.5,0.5045747943360819,0.5038950576785433,,0.000679736657538621,-0.004574794336081878,-0.0038950576785432567
xk_1,0.5,0.5081199715501512,0.5075785077600284,,0.0005414637901227648,-0.008119971550151206,-0.007578507760028441
xk_1,0.5,0.5057019057311195,0.5053857866715002,,0.00031611905961925757,-0.005701905731119505,-0.005385786671500248
xk_1,0.5,0.5101304139110473,0.5099760687069664,,0.0001543452040808635,-0.010130413911047298,-0.009976068706966434
xk_1,0.5,0.513929545825389,0.5138624922215453,,6.705360384362535e-05,-0.013929545825388967,-0.013862492221545342
xk_1,0.5,0.5181919976566726,0.5181681718572289,,2.382579944371077e-05,-0.018191997656672565,-0.018168171857228854
xk_1,0.5,0.5164355581547623,0.51642841593782,,7.1422169423129844e-06,-0.016435558154762275,-0.016428415937819962
xk_1,0.5,0.5184353501396519,0.5184327547163463,,2.5954233056069143e-06,-0.018435350139651918,-0.01843275471634631
xk_1,0.5,0.5202364495090587,0.5202346207393561,,1.8287697025609617e-06,-0.020236449509058674,-0.020234620739356113
xk_1,0.5,0.5233390051592733,0.5233356433484725,,3.3618108008504066e-06,-0.02333900515927334,-0.02333564334847249
xk_1,0.5,0.5256091073007503,0.5256038387613569,,5.268539393421534e-06,-0.025609107300750278,-0.025603838761356856
xk_1,0.5,0.5244287136831721,0.524422049212952,,6.66447022013017e-06,-0.02442871368317212,-0.02442204921295199
xk_1,0.5,0.5290881346314754,0.529080936030089,,7.198601386426695e-06,-0.029088134631475415,-0.02908093603008899
xk_1,0.5,0.5313890798180271,0.5313816738027047,,7.4060153223420855e-06,-0.03138907981802708,-0.031381673802704735
xk_1,0.5,0.5364074308329132,0.5364000377207675,,7.393112145703817e-06,-0.0364074308329132,-0.0364000377207675
xk_1,0.5,0.5364375260047852,0.5364301226904572,,7.40331432802499e-06,-0.036437526004785226,-0.0364301226904572
xk_1,0.5,0.5385369414739324,0.538529646013223,,7.295460709433321e-06,-0.038536941473932385,-0.03852964601322295
xk_1,0.5,0.5361624515528626,0.536155225130475,,7.2264223875961875e-06,-0.03616245155286257,-0.03615522513047498
xk_1,0.5,0.536547359905421,0.5365403018056218,,7.0580997991731564e-06,-0.03654735990542102,-0.036540301805621844
xk_1,0.5,0.5375077127000049,0.5375008184157405,,6.8942842643693325e-06,-0.03750771270000486,-0.03750081841574049
xk_1,0.5,0.5368074338198883,0.5368006501922126,,6.7836276756994e-06,-0.03680743381988827,-0.03680065019221257
xk_1,0.5,0.5356908162863957,0.5356841365130337,,6.6797733619949895e-06,-0.0356908162863957,-0.035684136513033704
xk_1,0.5,0.5338873380631209,0.5338807636632622,,6.574399858738644e-06,-0.03388733806312094,-0.0338807636632622
xk_1,0.5,0.5336055360217763,0.5335991054830613,,6.430538714963241e-06,-0.033605536021776294,-0.03359910548306133
