Parameter,Case Dual
Cost,[212.81297196]
xk1,0.0
xk1,-0.00039731467912130575
xk1,-0.000936215438784611
xk1,-0.0013276257751490455
xk1,-0.0031649030186892226
xk1,-0.009128409757619789
xk1,-0.020484616700853546
xk1,-0.03403732294605732
xk1,-0.04930190235487502
xk1,-0.08251261085153984
xk1,-0.1534043341107692
xk1,-0.25822739758419166
xk1,-0.4193100138893293
xk1,-0.6964483758741665
xk1,-1.1485578834464203
xk1,-1.5066384267786388
xk1,-2.1453139290343266
xk1,-1.393772799116198
xk1,-0.7148563343586852
xk1,0.03472820180695202
xk2,0.0
xk2,-0.000599300155239646
xk2,-0.0009368899974808824
xk2,-0.0008128720486129103
xk2,-0.0032553966262482362
xk2,-0.010279930737206466
xk2,-0.020052158168002952
xk2,-0.026818437595777254
xk2,-0.03503192999676034
xk2,-0.07043736294471414
xk2,-0.14093529267602564
xk2,-0.21439657829260836
xk2,-0.3362084363361605
xk2,-0.580992716887798
xk2,-0.9542459552457165
xk2,-0.9790769572807033
xk2,-1.570408697858749
xk2,0.16685449221711862
xk2,0.2701619070244737
xk2,0.18511458459808947
xk3,0.0
xk3,-0.0007544116215974057
xk3,-0.0007881253251952344
xk3,-0.0007281102571881149
xk3,-0.004303134108093814
xk3,-0.011706723705776835
xk3,-0.02071977416797339
xk3,-0.027529188003947342
xk3,-0.04177143005093227
xk3,-0.08951540061699609
xk3,-0.16367083456939127
xk3,-0.23311629225738192
xk3,-0.3910249879117382
xk3,-0.6917323429224541
xk3,-1.1060224543078256
xk3,-1.0828281663993389
xk3,-2.123665775432813
xk3,0.2511665124364666
xk3,-1.1293139171850461
xk3,-0.6287798490501111
uk,0.0
uk,-0.0005321109465334928
uk,0.0007591488458960072
uk,0.0016296727629594443
uk,-0.00032571170642725633
uk,0.0006685590222446081
uk,0.010276611650376744
uk,0.031131007250536413
uk,0.04831814968803361
uk,0.05202106786952143
uk,0.09588157179272105
uk,0.22421169347231995
uk,0.33781121163655925
uk,0.5230758219678746
uk,0.939549333682824
uk,2.036953878644992
uk,1.8341736248845084
uk,5.49834803789483
uk,1.1428077198222724
t1,1.0
t1,0.9952713594837143
t1,0.9990749929848182
t1,1.0009588359027706
t1,0.9818501972355559
t1,0.9311140494718624
t1,1.0567664110964716
t1,1.0252608632091864
t1,0.8798877791611954
t1,1.1346377291161764
t1,1.1278687355285044
t1,1.1647791496519502
t1,1.3116332399198765
t1,1.211345494636521
t1,1.2092617846391052
t1,1.1572550067103442
t1,1.1028215396549024
t1,1.4417751257426958
t1,1.4713642264380409
t1,1.4611995103445183
t2,-0.6
t2,-0.6047286405162857
t2,-0.6030817567290445
t2,-0.6033917751630535
t2,-0.6362379482933954
t2,-0.6591872090175818
t2,-0.7071075902910677
t2,-0.5562038044566516
t2,-0.6849497470733927
t2,-0.7608874665352636
t2,-0.7112811067002065
t2,-0.8455879376095621
t2,-0.7329576338603341
t2,-0.4368137774203068
t2,-0.43886247767061193
t2,-0.2666676326385957
t2,-0.2130872772505917
t2,0.5026533937556943
t2,0.46108466594777
t2,0.5170885255088187
t3,0.3
t3,0.29952713594837144
t3,0.2990556160409963
t3,0.29921467007955627
t3,0.29250571820037036
t3,0.29793763586196725
t3,0.2865070556689057
t3,0.25962351721482657
t3,0.27950477046467487
t3,0.24643134635841707
t3,0.24220343293360777
t3,0.2179433746705967
t3,0.17925567823951985
t3,0.1688660690640158
t3,0.17039838787163897
t3,0.220691461402888
t3,0.14818030199232196
t3,0.12371117458140277
t3,0.12329258931103669
t3,0.11637774914195013
t4,0.1
t4,0.1
t4,0.09999897698342951
t4,0.09999998739502786
t4,0.09998234306130464
t4,0.09998373371247281
t4,0.10000002069214328
t4,0.09981750427621872
t4,0.09944807567195113
t4,0.0999357126123689
t4,0.09969361289321396
t4,0.09422593017330008
t4,0.09765397555621434
t4,0.08802626093384111
t4,0.08727658043384363
t4,0.03374615431645109
t4,0.0779297254543367
t4,0.0013667744765430423
t4,-0.003331495313782547
t4,0.006175375121111172
t5,0.7
t5,0.7
t5,0.6999989769834295
t5,0.7000002838516904
t5,0.6999832517772726
t5,0.6999894995785129
t5,0.6999955939933606
t5,0.6998246016516296
t5,0.6995184663891074
t5,0.6997228710271824
t5,0.6996590532039427
t5,0.6969400504022307
t5,0.6989259454591155
t5,0.6942581944188368
t5,0.6938178919787235
t5,0.6592435902660702
t5,0.6949080405569279
t5,0.6532944307248516
t5,0.6431404541074496
t5,0.6585790830212797
t6,1.5
t6,1.5
t6,1.499989769834295
t6,1.4999983970714692
t6,1.4997855468936625
t6,1.4997842415048885
t6,1.4998598788596706
t6,1.4981668692851802
t6,1.494266716427519
t6,1.4999549642362662
t6,1.4981403207073483
t6,1.458825998945024
t6,1.4846471093963889
t6,1.4146756211755076
t6,1.4089205399866551
t6,0.9975824539318376
t6,1.4079686918207508
t6,0.7369416596958966
t6,0.6787436933824816
t6,0.649065613685214
