Parameter,Case Dual
Cost,[273.53876254]
xk1,-0.013820242383651345
xk1,-0.03864044724673606
xk1,-0.06432136824330166
xk1,-0.049752148747453685
xk1,-0.0958960808503204
xk1,-0.20684689095046022
xk1,-0.4381249488438769
xk1,-0.636657047581538
xk1,-0.7125776973791845
xk1,-0.6353923197422237
xk1,-0.3962681642178285
xk1,-0.6339149407909996
xk1,-1.6819085317547005
xk1,-1.620357032978234
xk1,-1.1163711352481236
xk1,1.1366215341287427
xk1,3.220853398427327
xk1,10.613088821111106
xk1,14.641726374416367
xk1,19.67992028421403
xk2,-0.0208474328674724
xk2,-0.04175340091502817
xk2,-0.04837364502706142
xk2,0.0005465641845291358
xk2,-0.09584029009608003
xk2,-0.22076086643576265
xk2,-0.41359931244399806
xk2,-0.44171979862184574
xk2,-0.3484505927653614
xk2,-0.22392568344128563
xk2,-0.018507875188280093
xk2,-0.6658841472450239
xk2,-1.9325524449623923
xk2,-0.41865357399734543
xk2,0.2694181756880323
xk2,2.40253830942991
xk2,2.94772849633477
xk2,11.767803437638227
xk2,9.789211494253324
xk2,12.160261186985036
xk3,-0.02624304515137999
xk3,-0.03895031071504651
xk3,-0.04464531284740124
xk3,0.001833310515874444
xk3,-0.1663043920523071
xk3,-0.2407646885759251
xk3,-0.43416563678143283
xk3,-0.44105470926447693
xk3,-0.46991323252583705
xk3,-0.4862640449923339
xk3,-0.299559499185769
xk3,-1.1497998092948185
xk3,-2.1460048026717993
xk3,0.3494309213664833
xk3,-0.6710564274475614
xk3,1.7634734729103216
xk3,1.8346642239468116
xk3,14.186391784016443
xk3,7.229016841915884
xk3,16.690581656853176
uk,-0.01851285299829318
uk,0.018267894541341284
uk,0.06316699773082599
uk,0.14098760108082137
uk,-0.04148049628792197
uk,0.13815343946433695
uk,0.23418638021559618
uk,0.762918998628742
uk,1.055579469470091
uk,1.2055543785751028
uk,1.2512964024224915
uk,0.1143634564321235
uk,0.5697134125391665
uk,4.816251295792911
uk,1.635390799669273
uk,3.718123577072063
uk,-1.962607937490318
uk,3.501137996051696
uk,-24.462883577421916
t1,1.0
t1,0.9998573603344345
t1,0.9999779553145262
t1,0.9906936272256467
t1,1.0807973831932354
t1,1.0819184962921455
t1,1.199148225302887
t1,0.813541596231973
t1,1.1048865130934298
t1,1.144463540706778
t1,1.1574671772317706
t1,1.0513193229260192
t1,0.9803671169459817
t1,0.8114792544865399
t1,0.8055340960256918
t1,1.1966944308021918
t1,1.0962483377974401
t1,1.2126500065003654
t1,1.7046840540920356
t1,1.4220107318449955
t2,-0.6
t2,-0.6001426396655655
t2,-0.599654429020495
t2,-0.6172232227510407
t2,-0.5888606366891099
t2,-0.574485560112286
t2,-0.49869972735070817
t2,-0.2970389911592419
t2,-0.19493502137825033
t2,-0.2427901493948177
t2,-0.31471983508277207
t2,-0.4060394252060662
t2,-0.43669327013983233
t2,-0.2165628332021987
t2,-0.528935707049941
t2,-0.12219543941600292
t2,-0.6835235170034843
t2,-0.619576475943608
t2,-0.7001628610404733
t2,-0.9930170419452412
t3,0.3
t3,0.2999857360334434
t3,0.3001053524381203
t3,0.29774856465531246
t3,0.28907942941233156
t3,0.23265237089294205
t3,0.21764349367762836
t3,0.208299875165269
t3,0.1818533768688332
t3,0.19004412547708785
t3,0.2166053307878069
t3,0.24420890310213944
t3,0.2581867455130544
t3,0.2925641057626135
t3,0.2658019329889628
t3,0.1928825483631766
t3,0.2146834766546933
t3,0.2144879691916845
t3,0.3822035337373825
t3,0.3105534326827995
t4,0.1
t4,0.10001189790053058
t4,0.09999524971035305
t4,0.10041239535113172
t4,0.09850313089056345
t4,0.09834347688221826
t4,0.09722233769755836
t4,0.101780547931662
t4,0.08792840863358349
t4,0.08132853503346739
t4,0.04666753025916976
t4,0.020660965202222138
t4,0.01622381748000713
t4,-0.007303896132759113
t4,0.0364688020712614
t4,0.07141886832776356
t4,0.01346249011224273
t4,0.026246337434329244
t4,0.07610347587004263
t4,0.16002294708274364
t5,0.7
t5,0.7000118979005305
t5,0.6999897493960409
t5,0.7004047348267723
t5,0.6989681272237315
t5,0.6953667131040197
t5,0.6946141426707396
t5,0.6982396979814234
t5,0.6849990315596028
t5,0.679981969217091
t5,0.6600010964455657
t5,0.6472194821939236
t5,0.6488166168966156
t5,0.6282710496176114
t5,0.6860473550899232
t5,0.7968075664952669
t5,0.7793369568825357
t5,0.7544985951761638
t5,0.8799347625513708
t5,0.9203403580375903
t6,1.5
t6,1.5001189790053058
t6,1.499980010443536
t6,1.5046068746865273
t6,1.4835543982909085
t6,1.4807217964109665
t6,1.474221428012635
t6,1.5144788240428766
t6,1.356805347407436
t6,1.2911837571134959
t6,1.0058839280737022
t6,0.8419958748185687
t6,0.8432077854260469
t6,0.7471152579340665
t6,1.2766772205775268
t6,0.905998704705752
t6,0.43591346788657326
t6,0.4141412327030481
t6,0.565211275878577
t6,0.9448821789378506
