Parameter,Case Opt
Cost,[1.68038415]
xk1,0.2873830964231418
xk1,-0.024013304253975756
xk1,-0.520405562433836
xk1,0.11817818047265893
xk1,-0.945050439146342
xk1,1.6378426319837955
xk1,0.331484431889092
xk1,-0.26410152822748484
xk1,-1.397123336184811
xk1,-1.436237418870019
xk1,3.4144337361771204
xk1,2.8021345014242267
xk1,-2.278214092683995
xk1,-5.971806384340342
xk1,-3.2498713547613236
xk1,10.336538031475305
xk1,14.808844986943193
xk1,5.556095532900417
xk1,0.6220002860401427
xk1,0.0
xk2,0.17376539290799425
xk2,-0.46472243642408145
xk2,0.2354832004127441
xk2,-0.6966067498855802
xk2,1.4293349431843119
xk2,0.6337161596631126
xk2,-0.04061541040375733
xk2,-1.9119051390558544
xk2,-2.3258799216655817
xk2,1.9601122662786032
xk2,2.8185427901588977
xk2,-0.6675902837422528
xk2,-6.090323890114756
xk2,-6.424127473625944
xk2,5.772613449871259
xk2,15.688966298534364
xk2,7.533662321864307
xk2,-13.454403383091904
xk2,-0.8714021882282181
xk2,0.0
xk3,0.14868280054843677
xk3,-0.3938702531702889
xk3,0.2833521638724608
xk3,-1.4203692242126502
xk3,2.67904094628848
xk3,-1.7198739094186015
xk3,0.7889066511272874
xk3,-2.0972587129305995
xk3,-0.7825890833444182
xk3,3.9103403202038716
xk3,-0.24913257486994114
xk3,-0.9766427084476401
xk3,-4.293057377904826
xk3,-2.771712303215982
xk3,9.442538450483378
xk3,9.470141953983461
xk3,0.008775509483994871
xk3,-12.170475947497843
xk3,20.353053846567807
xk3,0.0
uk,-0.41994589696350293
uk,1.5764497848611838
uk,-1.4593057828289795
uk,2.2998192284102115
uk,-2.1721868425106816
uk,2.311189730918341
uk,-3.4612443675747118
uk,-0.4052716128436357
uk,3.1516444676930235
uk,2.7524980408694697
uk,4.666546407347854
uk,-5.687489635822729
uk,-6.53176228905678
uk,7.965797310275524
uk,14.700341312845904
uk,7.630856732988324
uk,-25.694335566706197
uk,-25.95714437743313
uk,16.478987592355928
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
