Parameter,Case Opt,Case CE,Case Dual
Cost,[1.53873633],33.6973617015,[199.51055045]
xk1,0.1607697119,0.1527033973,0.0156869629
xk1,0.0752548192,0.9114702615,0.0511270099
xk1,-0.2545553179,2.2285888608,0.1474084434
xk1,0.0268670092,3.6049536396,0.3454813881
xk1,-0.8102517655,1.1981109322,0.663696555
xk1,1.403136497,0.1770986847,1.0765739954
xk1,0.0577137861,-0.1717832323,1.6212922867
xk1,-0.0164512214,0.2601715492,2.0504389626
xk1,-2.2971156455,0.7043199968,1.8427495643
xk1,0.9128715962,1.0803531202,1.4306179951
xk1,-0.0545031572,0.7789398508,1.275415961
xk1,4.8464117972,-0.1723937603,0.3761271261
xk1,-3.5211958143,-2.21799569,-0.7012758228
xk1,-5.030584625,-4.3787878647,-0.9256159232
xk1,-3.5025280757,-3.9247909777,-0.2718755604
xk1,10.0948924405,2.0523846097,2.4604922206
xk1,14.0028872495,10.15864251,9.1977467959
xk1,4.4412155873,11.7896101074,29.6375631744
xk1,-0.4712952636,5.1685795847,24.288083745
xk1,0,5.3200619865,19.6281995436
xk2,0.1704756853,0.2303487524,0.0236633273
xk2,-0.0983821575,1.1922331283,0.0583557924
xk2,-0.1236097798,2.2445027821,0.1584402398
xk2,-1.0359020422,2.7017163061,0.3450556034
xk2,0.7699692748,-2.3683546099,0.5912161219
xk2,0.1613304439,-0.5759346176,0.8492766787
xk2,-0.0866823739,1.0973961538,1.2247190903
xk2,-2.3606369972,0.593619075,1.3042045574
xk2,-1.4387246615,0.1605326943,0.5672544767
xk2,-0.6648653568,0.7846766419,0.3584662953
xk2,4.7272495777,0.1728896616,0.8103203186
xk2,-0.7416074757,-1.0607667476,-0.5217514006
xk2,-5.237411382,-2.84692796,-1.3213288001
xk2,-6.5821358565,-3.6215561928,-0.1668196189
xk2,5.6264080525,-0.5970381377,0.8515007602
xk2,15.783287023,7.1725998325,3.6003149657
xk2,8.2850038635,11.2589611565,10.5003639227
xk2,-13.7361608334,3.771258322,33.4214013521
xk2,-0.3255432437,-5.8005396537,1.1778761114
xk2,0,6.0799833298,0.5251872496
xk3,0.1951675381,0.2899667135,0.0297877311
xk3,-0.1564149005,1.3504292649,0.0580117015
xk3,-0.1761183868,2.1687584175,0.1738470893
xk3,-1.1590957312,2.6579530638,0.3712648887
xk3,2.1925841965,-3.0475305266,0.6294791894
xk3,-1.3823895419,3.323652021,0.9377407332
xk3,1.0400278234,1.9282236646,1.4613849444
xk3,-2.8537010314,-0.8253825944,1.5790122368
xk3,1.0843126223,-0.1762472353,0.9375925063
xk3,-1.2500088115,1.453476711,1.3856288536
xk3,7.5396603793,0.1723755884,1.7852796745
xk3,-6.8870848072,-0.8451667561,-0.5828373764
xk3,-0.9213529915,-2.4528036351,-0.6774832568
xk3,-5.2876441937,-3.09183597,0.7289664887
xk3,10.4620781909,-0.2924984229,0.3682486637
xk3,9.4488573993,6.1974828316,3.2797450067
xk3,0.5990220904,7.2859138786,11.0373852208
xk3,-14.1775149544,0.3954300476,37.4140630909
xk3,20.4943256408,-1.0254149966,-13.2023069771
xk3,0,19.0547744232,22.3069237084
uk,-0.007885205,0.2045545144,0.021013416
uk,0.038088063,0.44719768,-0.0109999536
uk,-0.8775435359,-1.1197780029,-0.0088671402
uk,2.4781121547,-3.5274153961,-0.1254393205
uk,-0.5533554505,-10.1414828646,-0.4300838019
uk,3.0814443764,3.2892367576,-0.9413563118
uk,-2.9043093237,-2.4325399071,-1.4984837618
uk,1.1674655627,-2.1517256183,-2.7538005267
uk,0.7994185775,0.4065402957,-3.9864214155
uk,10.267581102,0.1308649341,-2.7875189516
uk,-4.1515611736,-2.9558269218,-2.3548820581
uk,0.9275398447,-1.9657143005,-4.1323134862
uk,-12.1539869416,-0.7377648435,-0.5364305665
uk,10.3675787739,3.4131682878,2.1221360237
uk,13.3843436393,9.3114463802,0.9275543381
uk,7.3189921394,10.7158110021,2.4778575595
uk,-27.7517984358,-3.4543508277,1.065332871
uk,-27.9881820505,-21.514726005,2.1149636733
uk,17.6898826146,-19.0004271134,-89.5133084734
t1,1.8,1,1
t1,1.8,1.0015589375,0.9914546016
t1,1.8,0.9617237734,0.982505423
t1,1.8,0.8632375017,0.9569939676
t1,1.8,0.8760646399,0.9448626595
t1,1.8,0.7827212384,0.8514038838
t1,1.8,1.2582194915,0.8851332239
t1,1.8,1.0644634264,1.1181999715
t1,1.8,1.110697249,1.1588204659
t1,1.8,1.0623993838,1.1113885265
t1,1.8,1.2096658838,1.1300173813
t1,1.8,1.0957619366,1.1181677143
t1,1.8,1.2817980946,1.100317615
t1,1.8,1.2781460465,1.5918939855
t1,1.8,1.3427342177,1.599906804
t1,1.8,1.4359103265,1.1444901455
t1,1.8,1.4425829494,1.056785763
t1,1.8,1.3778334465,0.9802796128
t1,1.8,1.4301639549,1.5344637325
t1,1.8,1.0628363168,1.382465246
t2,-1.01,-0.6,-0.6
t2,-1.01,-0.5984410625,-0.6085453984
t2,-1.01,-0.6229428893,-0.6151437516
t2,-1.01,-0.4672040657,-0.6231856213
t2,-1.01,-0.1061593738,-0.6254345197
t2,-1.01,-0.1196109332,-0.6519867564
t2,-1.01,-0.129291981,-0.6425661103
t2,-1.01,0.0639345005,-0.6961310485
t2,-1.01,-0.1678031827,-0.7859814459
t2,-1.01,-0.2536680865,-0.7847923992
t2,-1.01,-0.1991991037,-0.7889952473
t2,-1.01,-0.196645456,-0.5657699681
t2,-1.01,-0.2021919641,-0.1934426756
t2,-1.01,-0.1771296645,0.2921034478
t2,-1.01,-0.0902892547,0.2737331834
t2,-1.01,-0.098973358,0.2590995159
t2,-1.01,-0.1487356351,0.2470698112
t2,-1.01,-0.7077102354,0.085091063
t2,-1.01,-0.6922355855,0.3860914742
t2,-1.01,-0.5813624374,0.3258337817
t3,0.58,0.3,0.3
t3,0.58,0.3001558937,0.2991454602
t3,0.58,0.2974585534,0.2992491969
t3,0.58,0.3366066252,0.2996730788
t3,0.58,0.4001154889,0.2997477199
t3,0.58,0.3905648223,0.2960848785
t3,0.58,0.3414573076,0.2953255757
t3,0.58,0.3628853691,0.3017253368
t3,0.58,0.3669913606,0.3456080894
t3,0.58,0.3778662563,0.367029599
t3,0.58,0.3745357311,0.3580461533
t3,0.58,0.3529722721,0.3492439119
t3,0.58,0.3333284528,0.2915239473
t3,0.58,0.3330502551,0.1275157382
t3,0.58,0.3396433888,0.1272161969
t3,0.58,0.3419305954,0.1424085213
t3,0.58,0.3404309516,0.099283046
t3,0.58,0.3339786411,0.0529633897
t3,0.58,0.3214531046,0.0971387215
t3,0.58,0.2812556998,0.0310154051
t4,0.3,0.1,0.1
t4,0.3,0.0997902959,0.0999326226
t4,0.3,0.104478496,0.099950701
t4,0.3,0.0824890918,0.099968674
t4,0.3,0.0324744155,0.1001064324
t4,0.3,0.0687434447,0.1030537427
t4,0.3,0.173990793,0.10174239
t4,0.3,0.1393909022,0.0846359105
t4,0.3,0.1489394975,0.0465806733
t4,0.3,0.1468569455,0.0225468924
t4,0.3,0.148743576,0.0344664319
t4,0.3,0.1607033019,-0.0331292862
t4,0.3,0.1488181806,0.0366396322
t4,0.3,0.1520427916,-0.0023863528
t4,0.3,0.1533695421,-0.0027809414
t4,0.3,0.1166923706,0.0631870975
t4,0.3,0.1072895231,0.0620586148
t4,0.3,0.0429946073,0.0609435125
t4,0.3,0.0510457434,0.1161170351
t4,0.3,0.0957772943,0.1569873769
t5,0.5,0.7,0.7
t5,0.5,0.6997902959,0.6999326226
t5,0.5,0.7038569565,0.6999627701
t5,0.5,0.6765855009,0.6999926073
t5,0.5,0.6277674594,0.7001233818
t5,0.5,0.6626936929,0.7025915429
t5,0.5,0.7819584004,0.7017037645
t5,0.5,0.7988200624,0.6939924387
t5,0.5,0.8000996337,0.6756295043
t5,0.5,0.8064099081,0.6687736704
t5,0.5,0.7919344458,0.6638859314
t5,0.5,0.8090743383,0.6414801064
t5,0.5,0.8230751117,0.7369826897
t5,0.5,0.8224113366,0.7481406492
t5,0.5,0.8169548971,0.748667338
t5,0.5,0.7969965066,0.7724793502
t5,0.5,0.7940386799,0.7307883276
t5,0.5,0.8222230978,0.73097765
t5,0.5,0.8461986279,0.7264276374
t5,0.5,0.7320754663,0.8084111614
t6,1,1.5,1.5
t6,1,1.4979029592,1.4993262262
t6,1,1.5478781236,1.4994451171
t6,1,1.3422639713,1.4998129006
t6,1,0.7563316391,1.5012473322
t6,1,1.1957475175,1.5329321599
t6,1,1.1901195411,1.5180632651
t6,1,1.0901243903,1.3360917661
t6,1,1.1565901499,1.0283217632
t6,1,1.1275576631,0.85484999
t6,1,1.1303349787,0.9035773407
t6,1,1.3018276594,0.7540043546
t6,1,1.1752038937,1.1378310181
t6,1,1.1841277317,0.9533039343
t6,1,1.1309745326,0.9599712026
t6,1,0.8523298126,0.9962750702
t6,1,0.8158860802,0.7343550988
t6,1,0.9801421885,0.6651700689
t6,1,0.897207073,0.646085533
t6,1,0.8696167014,1.4037294359
