Parameter,Case 1,Case 2
Cost,1.3371299730896604,149.13057581755425
xk1,0.30797453859093854,7.031710006001771
xk1,0.005735156166879945,16.84219851458188
xk1,-0.4105237520432155,19.410577025268175
xk1,-0.7929732422821447,18.18881533615805
xk1,0.5604389215595257,16.450515151824643
xk1,-0.16305295842140288,16.00175593813675
xk1,0.8633095170289691,15.279025177230643
xk1,-0.35460224996419304,15.0167670012774
xk1,-2.142522215421092,14.51708520119731
xk1,0.4969580044363482,13.138057598167586
xk1,1.8724645042287,12.554907528336566
xk1,4.123684895223783,12.587847499680494
xk1,-1.9225132116832089,13.731019780339901
xk1,-5.4991727983230545,14.819890338124043
xk1,-3.1887839454166746,15.106027343924229
xk1,9.7495549301876,14.47064683595032
xk1,14.933427334775805,14.487984506369706
xk1,4.540169109945495,15.255689408670259
xk1,0.6210079480049039,15.301454307245155
xk1,0.0,15.245915369566957
xk2,0.1743000804459424,14.752382431824755
xk2,-0.43126297042621325,6.570282151875757
xk2,-0.6459481358965449,2.2276897024928726
xk2,0.22774739383676348,-0.7864303452190742
xk2,0.005435903285982398,1.2025691840868293
xk2,1.7074049327225433,1.1460924703242237
xk2,0.973385410982263,0.37135598200223424
xk2,-0.8609161076446685,2.107329509457298
xk2,0.31363870328939164,-0.656212236900144
xk2,2.0957231441600523,0.7514423723448458
xk2,4.94411245210815,0.36838526000489535
xk2,0.21925086146576123,2.4138398678550934
xk2,-6.109130600565956,2.561978060584299
xk2,-7.010734802776816,2.4853004430084025
xk2,5.168804934281426,1.0819600272679772
xk2,15.763304114094515,0.7375524456217586
xk2,7.036074553645828,2.5894554857014405
xk2,-13.324738434813145,2.040697984495882
xk2,-0.3218663931941155,1.2815569467880887
xk2,0.0,1.8248743657576518
xk3,0.1411223763746481,16.300108386892866
xk3,-0.3502700354644537,4.201967524843635
xk3,-0.18521373081003883,9.940276242051317
xk3,0.5574343863412997,12.204034817721658
xk3,-0.9374208704674774,15.789341737356429
xk3,2.5323106653281853,14.183311531656196
xk3,-1.0794817844532119,13.347849061996016
xk3,-1.3612479675417672,15.10591892997447
xk3,1.1104920599965806,12.14827862128255
xk3,0.2710177856244036,14.584308735300338
xk3,4.180091967628485,12.472612774134195
xk3,-4.003263101672412,13.989044972596409
xk3,-3.9333282359593373,12.654439806626774
xk3,-3.17840590477917,12.891953326862183
xk3,9.822808320833824,12.294110582506939
xk3,10.27110986412987,12.856115520057132
xk3,-1.2723920950113647,14.338310383053383
xk3,-11.2521751452564,12.598935161547027
xk3,19.91600110040901,12.575104921595537
xk3,0.0,13.539590420675534
uk,-0.486961208468158,-3.836751055342933
uk,1.2930219420112894,-26.022908126272025
uk,0.5242647974449041,-15.93124095083486
uk,-0.30894936697262293,-20.65098389602754
uk,2.9047584545490963,-17.625597734276212
uk,-2.695363012674773,-22.239988356532244
uk,-2.275475206527811,-21.817117382762095
uk,-3.442390606782429,-18.593815032267994
uk,-2.478626951580271,-24.573980010619405
uk,3.9621683280498634,-17.763509621216045
uk,-3.850653636160753,-20.632643261782878
uk,-4.994322458226989,-15.969419323530326
uk,-8.851150197210384,-18.664459351481334
uk,8.5055536410189,-18.05258297243151
uk,15.27554336196767,-19.814002430128497
uk,6.780301734150566,-18.411303381683354
uk,-24.089306384494243,-16.593922485741093
uk,-27.375374527375136,-19.900025147592686
uk,17.933892741349176,-18.992624229695256
t1,1.8,1.0
t1,1.8,1.4358819251267776
t1,1.8,1.3877878763800995
t1,1.8,1.384478687820984
t1,1.8,1.3582236522021764
t1,1.8,1.4250916358287025
t1,1.8,1.4295427342162412
t1,1.8,1.4173268980226523
t1,1.8,1.5037503794066875
t1,1.8,1.5082241035926995
t1,1.8,1.534358572124224
t1,1.8,1.5198279482899582
t1,1.8,1.5146594146944588
t1,1.8,1.499062697251384
t1,1.8,1.5092510137015613
t1,1.8,1.497095659502986
t1,1.8,1.4546910797093249
t1,1.8,1.4855471635947946
t1,1.8,1.4852439896375884
t1,1.8,1.4627349335822666
t2,-1.01,-0.6
t2,-1.01,-0.1641180748732225
t2,-1.01,-0.1907133799668312
t2,-1.01,-0.19032558105113626
t2,-1.01,-0.1745243343937361
t2,-1.01,-0.18854149220053815
t2,-1.01,-0.1845529788470546
t2,-1.01,-0.1864555831909492
t2,-1.01,-0.1665241923860609
t2,-1.01,-0.16260195417649734
t2,-1.01,-0.1602216205905807
t2,-1.01,-0.17598331446703702
t2,-1.01,-0.1796990761618009
t2,-1.01,-0.18457160382118049
t2,-1.01,-0.18403441280183225
t2,-1.01,-0.17921198311790468
t2,-1.01,-0.1772555370731225
t2,-1.01,-0.15983187759004944
t2,-1.01,-0.15912665756972807
t2,-1.01,-0.1568636105173693
t3,0.58,0.3
t3,0.58,0.34358819251267775
t3,0.58,0.3382029460962908
t3,0.58,0.3382495802533678
t3,0.58,0.33353713714084987
t3,0.58,0.3401068294304039
t3,0.58,0.3452139335506967
t3,0.58,0.34390969295229895
t3,0.58,0.3483273508138115
t3,0.58,0.3440668359055194
t3,0.58,0.34432285237654403
t3,0.58,0.33873425002031926
t3,0.58,0.33873281499194535
t3,0.58,0.33700367627591465
t3,0.58,0.3373809320199788
t3,0.58,0.3356758254913219
t3,0.58,0.3334189580257656
t3,0.58,0.3346469675159129
t3,0.58,0.33449848728308834
t3,0.58,0.3332954423495894
t4,0.3,0.1
t4,0.3,0.0711095268581363
t4,0.3,0.08443467337602982
t4,0.3,0.08460333913887996
t4,0.3,0.09360167421350395
t4,0.3,0.07899079727920524
t4,0.3,0.07100981688726865
t4,0.3,0.07303526439968204
t4,0.3,0.05965851786483245
t4,0.3,0.06898194583561969
