Parameter,Case Opt,Case CE,Case Dual
Cost,0.11588525,26.2538609181,468.78697955
xk1,0,-0.1806762138,0
xk1,0.0957868074,-0.5596425825,0.0801601248
xk1,0.1232422972,-0.70621224,0.1859450064
xk1,-0.0963085371,-0.7803252432,0.8400692884
xk1,-0.581183133,-1.2157946448,1.9121223022
xk1,0.4363593505,-1.374623236,3.1596515681
xk1,-0.1184212657,-1.3579839817,4.2181698031
xk1,0.9970708048,-2.1316776378,3.2982925858
xk1,-1.1758487388,-0.3588861522,1.9223892542
xk1,-0.5414570888,0.3777612556,0.1325898611
xk1,-1.7672284141,0.5988765189,0.2630122933
xk1,3.2351538397,0.0327068373,0.7897339701
xk1,2.3012624192,-0.851217626,1.7457745957
xk1,-1.7768133826,-2.0300717961,1.8030094244
xk1,-5.8519378186,-1.7438795983,1.0268680127
xk1,-2.9595224146,1.5393098678,0.6523492076
xk1,8.5699881915,8.1232089078,-0.6842036211
xk1,13.766833489,12.0108998545,-5.2518420962
xk1,3.6693115588,5.8882926312,-1.6584430609
xk1,0.2562634249,4.0284005363,-3.4421586146
xk2,0,-0.2725449715,0
xk2,0.168787255,-0.6280421363,0.1209192609
xk2,0.0836347698,-0.3640580811,0.1845900161
xk2,-0.5808924567,-0.3403762765,1.0306961274
xk2,-0.1656767226,-1.096087492,1.893892701
xk2,-0.2813937494,-0.8207803897,2.4363186317
xk2,1.2986884833,-0.4825815666,2.7111118272
xk2,0.1989093545,-1.905956287,0.4130999136
xk2,-0.4425114067,1.6016570017,-0.2233033572
xk2,-1.6994657023,0.8662913607,-0.7760484826
xk2,2.9582893584,-0.4374057409,1.0287880791
xk2,4.4519412308,-0.6654303803,1.1194100042
xk2,2.0470065919,-0.8140471753,1.2970942625
xk2,-3.8600023006,-1.8388072044,0.6153883192
xk2,-4.6913393322,-0.3150051521,-0.2981726773
xk2,6.9250320837,4.2296222562,0.3327281077
xk2,16.7283093684,9.697533888,-1.2784040205
xk2,7.2557531891,7.4190948756,-7.0420858359
xk2,-13.5274554384,-5.5157460311,4.0002773699
xk2,-0.0132444058,1.8356037703,-2.7405753704
xk3,0,-0.3430840424,0
xk3,0.2190252808,-0.6126649041,0.1522153023
xk3,-0.0398500861,-0.1922122704,0.1534284282
xk3,-0.5500022848,-0.6320740039,1.240806909
xk3,0.3398936514,-1.6411813851,1.8573270732
xk3,-0.635856525,-0.7374350882,2.4662373598
xk3,2.2698106992,-0.8452153117,3.2651414892
xk3,-1.4961066736,-3.0010749529,0.9462265801
xk3,0.180489273,2.5268013931,2.1424493138
xk3,-2.6596169555,-1.2786821395,0.837029948
xk3,5.3148805481,-1.0983517441,2.2360127231
xk3,0.2185018913,0.2948031531,0.2820801616
xk3,0.294805305,-0.2561406368,1.0378301438
xk3,-5.1934343674,-2.127655579,0.776060136
xk3,-2.6865683815,0.0567771766,0.4812712178
xk3,8.97473884,4.1078840432,1.6476041724
xk3,9.6730473323,8.4056792015,-1.538163833
xk3,-3.1457277699,4.8503122555,-7.8887007499
xk3,-12.670921381,-5.0187920549,9.0260208592
xk3,0,14.3632376835,-10.2781729736
uk,0.2036010501,-0.2420257813,0.1073790954
uk,-0.7170089893,0.1658425296,-0.1570946544
uk,0.0680824428,1.2822798569,0.4526185454
uk,-0.079912979,0.8035586943,-1.1375818366
uk,3.0421030475,0.6653102724,-2.896429243
uk,-1.626807237,2.9185629814,-4.8326335981
uk,-0.6649549136,2.1953690715,-8.9074172921
uk,-4.6203960053,0.8077922896,-4.5562146484
uk,3.4993402996,7.9417347482,-4.6558162284
uk,-0.9921095534,-2.7267700834,0.395634064
uk,1.5091113092,0.0795482373,-2.3769132276
uk,-11.3580630648,0.3464845684,-0.6337468909
uk,-10.772564752,-0.6305151799,-3.0665557212
uk,2.5546007837,-0.0227126156,-3.1897107864
uk,11.3921118008,5.1475172871,-0.9800346866
uk,0.1847897109,5.5165767976,-3.759001083
uk,-25.4171374235,-0.1202154602,-3.0881761479
uk,-25.8314467351,-16.5731632044,21.7215892604
