Parameter,Case Opt,Case CE,Case Dual
Cost,1.45931268,26.9975144007,2495.61652136
xk1,0,-0.0159266553,0
xk1,-0.1053394101,-0.1026556654,-0.1480494287
xk1,0.2210615117,-0.0265713401,-0.6172941158
xk1,0.1781537281,0.7544653752,-1.1686610889
xk1,-0.4548333609,1.8844305616,-2.1267260265
xk1,-0.0021226475,2.9900676812,-3.4785930659
xk1,0.8711503623,2.9848860811,-0.7263097382
xk1,0.310060614,3.3436705523,0.8081628609
xk1,-0.3343752851,2.0894473657,1.3134552727
xk1,-1.5208348412,1.9603815477,0.3463947585
xk1,-0.7529485652,0.7139131422,-0.2204295029
xk1,2.2942192224,0.9255033912,0.090168916
xk1,2.9818390343,-0.840225166,0.1943456283
xk1,-1.4412785035,-1.8414001867,-0.5882593014
xk1,-6.1052362155,-1.3301842206,-1.4793818926
xk1,-1.8954820516,2.2201569993,-2.444868216
xk1,8.8020379285,6.8812862944,-3.9890674385
xk1,14.0489120649,9.7980095762,-8.3856427964
xk1,3.9902710986,2.0784254845,-22.7427162005
xk1,0.706873055,0.7367351712,-38.7653134761
xk2,0,-0.0240248966,0
xk2,0.1635613852,-0.1357985845,-0.2233283696
xk2,0.544194053,0.0855268922,-0.7540457397
xk2,-0.4718687168,1.1785122535,-0.9983992081
xk2,-0.2559579099,1.8850823274,-1.7887626529
xk2,0.4504469507,2.1176448928,-2.8532258984
xk2,0.5240455898,1.0653953003,2.82306905
xk2,0.150957545,2.0128888794,1.6566262537
xk2,-1.6462185759,0.0795805826,-0.5553918015
xk2,-1.7838871737,1.0472529686,-1.0311279331
xk2,1.4903132505,-0.3620365346,0.1813201429
xk2,3.9136140246,0.8656204074,0.8382018786
xk2,0.6400472432,-1.9146077038,-0.1121334105
xk2,-6.0682435268,-1.7972067989,-1.3893411499
xk2,-6.3293638273,0.6461709888,-1.3143419596
xk2,4.4420997816,4.7109059153,-1.6337869374
xk2,15.8536580386,6.7941448899,-3.3184856743
xk2,7.4593908927,5.746969425,-8.3378676391
xk2,-13.538277268,-7.966721922,-24.705661058
xk2,-0.284756358,0.9040840789,-31.6735629242
xk3,0,-0.0302428788,0
xk3,0.2928677421,-0.1552618798,-0.281129335
xk3,0.2300912527,0.1836265559,-0.8034150626
xk3,-0.8547617759,1.3463286276,-0.8824861982
xk3,0.3476556236,1.5907608262,-2.0879653004
xk3,0.4341628328,2.0721626727,-3.2862405803
xk3,0.1515510108,1.4385211335,3.9594601938
xk3,0.3421200649,3.8858626488,-2.1343818514
xk3,-1.9771476792,0.4873501518,-1.6948162663
xk3,-0.4940700766,3.071749285,0.6635345657
xk3,2.5866699976,-0.1416132455,1.668979767
xk3,2.3301701141,2.1606530262,0.5108719601
xk3,-1.8040532996,-2.7461892058,-1.0634421975
xk3,-5.5352862909,-0.597797772,-1.3574141041
xk3,-1.8476815668,1.2632411815,-0.4795892078
xk3,7.5279051141,3.8849367166,-1.8439053525
xk3,12.5193283584,4.8312785219,-4.3568148638
xk3,-1.8845114851,5.2500713722,-9.9287249356
xk3,-12.7580413509,-8.2150377625,-28.2819307192
xk3,0,12.8286629899,-29.7168878166
uk,0.858163696,-0.0213344947,-0.198320245
uk,-2.4645672552,-0.0568109645,-0.0767189705
uk,-0.4390516531,0.4310231971,1.0646395845
uk,-0.5007159824,0.8135516476,1.1220390187
uk,1.0770156741,-1.2801626315,2.9061657143
uk,0.8196604899,-2.8569571883,11.2154595267
uk,-2.4864265836,-5.494288542,-4.0648234887
uk,-0.8052169894,-3.2537134625,-0.0168988682
uk,2.1312245374,-8.6063783981,0.0910080047
uk,4.0438676022,-1.586758579,-0.1948580908
uk,0.8636264388,-6.1862092915,-0.9947688507
uk,-6.5148714939,0.5050738678,-1.3003811302
uk,-6.6637619849,-5.4924027971,-0.1777317448
uk,6.0773731369,3.457113846,1.7862445893
uk,18.6880657633,4.1289341613,1.3180936035
uk,3.5274722295,3.602636957,2.4172619538
uk,-25.4909921179,-3.4059617276,3.2556237126
uk,-26.7258302537,-11.0692271623,2.2200366937
uk,20.6153385568,-25.7014853476,40.26942772
t1,1.8,1,1
t1,1.8,0.9998959557,0.999670365
t1,1.8,1.0000993129,0.9777748985
t1,1.8,1.0018456627,0.9723804382
t1,1.8,0.9956373707,1.078541965
t1,1.8,0.8687526534,1.2710024273
t1,1.8,0.7426908386,1.3051246218
t1,1.8,0.7544883117,1.6418350802
t1,1.8,1.0039109903,1.6324293472
t1,1.8,0.9939090768,1.6644323976
t1,1.8,1.3381864354,1.6964940239
t1,1.8,1.4668174114,1.7255227872
t1,1.8,1.5562703293,1.6919422458
t1,1.8,1.5614473242,1.7025819831
t1,1.8,1.1922929349,1.6107596915
t1,1.8,1.620437132,1.7149481358
t1,1.8,1.5927894969,2.0236667852
t1,1.8,1.487350646,1.4851678273
