Parameter,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt
Cost,[1.47540776],[2.66042598],[2.8094477],[1.09023928],[6.55852403],[1.51743719],[1.11588525],[2.80223365],[1.45931268],[2.63749849],[2.90806085],[2.65822743],[3.09662901],[2.53608497],[1.53700399],[1.2196409],[5.33718851],[2.80366132],[5.44053591],[3.59418163]
xk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xk1,-0.0347668384,0.1979396357,0.155500843,-0.0427522244,0.0073541721,0.2271713766,0.0957868074,0.125959874,-0.1053394101,0.2015030185,-0.0569611308,0.4176253403,0.1510528447,0.2224232178,0.2224794548,0.0212407486,0.1561874847,0.1161988779,0.2310732729,0.1085042969
xk1,0.1015083641,0.0511161095,0.1463629683,0.2408391378,0.1409182034,0.0552090598,0.1232422972,0.1032391806,0.2210615117,0.034329397,0.2474956414,-0.0543336631,0.0660120637,0.0844617567,0.0754037522,0.1462491857,0.133833412,0.1413297041,0.0069680399,0.1326004966
xk1,-0.1233206504,-0.2987987473,-0.035983034,0.217524416,-0.0351738262,-0.3088240727,-0.0963085371,-0.1470010397,0.1781537281,-0.3465390553,0.2216334703,-0.6068823528,-0.2389716821,-0.1963522364,-0.2563825714,-0.0231913037,-0.0949267545,-0.049013968,-0.407375321,-0.0919487003
xk1,-0.329611861,-0.4127231013,-0.9085866699,-0.5532546852,-0.4172034823,-0.2314985855,-0.581183133,-0.603086969,-0.4548333609,-0.2794650931,-0.4218675245,-0.3548781981,-0.5268038477,-0.937687153,-0.2000585052,-0.5288478349,-0.4238083563,-0.7499044281,-0.3517676107,-0.2358759855
xk1,0.4014195628,0.3790707355,-0.0972927501,-0.5851447759,-0.2365154133,-0.0570286858,0.4363593505,0.2976518239,-0.0021226475,0.2665689399,-0.2416738304,0.2072151814,-0.1465392758,0.278711303,-0.8403116078,0.1016026151,-0.4876854775,0.0921495409,-0.3895214644,-0.773370313
xk1,0.8402306724,-0.5579616105,0.5337405491,0.5126982891,0.8126906821,0.4054280393,-0.1184212657,-0.148112753,0.8711503623,-0.0219594565,0.9961881068,0.2695732227,0.6419387076,0.2015827718,1.2003139303,0.5380557073,0.9212024287,0.8557126843,1.6208365424,1.3393050905
xk1,0.6157901452,1.8758153977,0.737356315,1.3188481437,1.1776392024,0.4945789874,0.9970708048,1.3407712695,0.310060614,1.003420769,0.0870909766,1.1822199907,0.6362377956,0.787477766,-0.0923336486,1.0745393652,0.9641561486,-0.2782226244,-0.058101676,-0.3179984752
xk1,-0.8722445643,-1.4937729527,-0.7244784803,-0.8693163945,-0.5045724631,-0.1032091737,-1.1758487388,-0.8480230524,-0.3343752851,-0.4166297082,-0.5228564907,-1.5151516777,-0.2482775877,0.0740219424,0.126783655,-1.4182682386,-0.7430732247,0.7056221999,-0.5892444629,-0.1112234557
xk1,-0.7528623294,-1.4175462782,-1.024422112,-1.3705027845,-1.5410332639,-2.0372858022,-0.5414570888,-1.2661790488,-1.5208348412,-1.2128038927,-1.2878814246,-1.1234946522,-1.1589538207,-2.1223528789,-2.1208359944,-0.6016416065,-2.5399935319,-2.7933185793,-1.0790265812,-2.0052673309
xk1,-1.4888191326,0.0540461569,-0.6496570148,-1.1636568581,-1.0298440648,-0.6034095874,-1.7672284141,-0.2054071754,-0.7529485652,-1.3417932173,-0.8839217262,-0.91464073,-0.5545625308,0.1986960214,-0.2622739442,-1.5190737759,0.3049883005,0.573385421,-1.4027202818,-0.5319651262
xk1,3.4081684635,2.7104045438,2.2980025662,2.6591087682,3.7002463428,2.1501215818,3.2351538397,2.0215853133,2.2942192224,2.5375941296,2.3108047756,2.1273779503,2.4075847506,1.5121897477,1.7288352711,3.5848884095,1.3232132213,1.7000975736,3.0191876281,2.1819060586
xk1,2.3010494232,2.0208292989,2.2394156103,2.566283575,1.5495302021,3.0453305244,2.3012624192,3.4227285463,2.9818390343,3.0191278323,2.4071914325,3.5305631508,2.3147083404,2.8533699332,3.0392140143,0.9812552173,3.1371393787,3.1765997762,2.5939695966,2.9871166298
xk1,-0.1186239126,-0.0135598101,-0.8546721307,-1.0559905535,0.2695530374,-1.0041142648,-1.7768133826,-2.2929388442,-1.4412785035,-0.9557642707,-0.9281648431,-1.70969253,-0.5907516868,-1.142340241,-1.01576603,0.716787992,-2.1419965394,-1.7643021161,-1.0893443733,-1.2204277161
xk1,-6.7300997396,-7.2137621604,-6.7840620532,-5.9742476927,-7.2553619695,-7.0727922202,-5.8519378186,-6.3446487501,-6.1052362155,-7.051615514,-6.1230804892,-5.6988765637,-6.9271125296,-6.7466901271,-6.2576935275,-6.8742533009,-4.9928595264,-5.3352041579,-5.944811939,-6.334613893
xk1,-2.5149595201,-1.1329398614,-2.0330414234,-3.2849323392,-0.4849043156,-1.3424525498,-2.9595224146,-2.6587731333,-1.8954820516,-2.7649498024,-2.3316731938,-2.8763254325,-1.0952366025,-1.6812577537,-2.7141402371,-2.7013173894,-2.7985593035,-3.3164860786,-3.6260260696,-2.4406691465
xk1,9.4335721942,8.3351894985,8.1262029565,9.0709004878,7.9176576559,9.1532185458,8.5699881915,7.9267193508,8.8020379285,9.351034806,9.7595206854,7.9915495362,7.4403665193,8.2324714049,9.0074001691,10.2812545981,11.3765698427,9.7971147316,9.5128636242,8.6627854557
xk1,14.0996258669,14.8291845533,14.7745755211,14.2734041857,15.9286364627,14.4955289503,13.766833489,13.9349759319,14.0489120649,12.874212023,15.5431545169,14.6823382693,14.3404125922,13.9970251112,13.5970036021,14.8425027612,14.7382925569,14.1340458085,12.0142315616,12.7979802536
xk1,2.8941501178,2.2518086214,1.4427178437,3.8814537516,3.6812118063,5.3795917047,3.6693115588,1.3127119039,3.9902710986,2.9137289795,7.1525546663,1.5236028924,1.6989837659,2.0805469272,2.5043534511,4.8487864641,8.621618448,6.9226979918,2.0276493981,2.489928903
xk1,-0.427172665,1.0238181944,0.3319119126,-0.2654798107,2.9146738671,-0.6605259592,0.2562634249,0.7866725545,0.706873055,-1.5375323076,1.1774850545,0.2936474694,1.079212521,1.0832521614,-0.4495793488,0.1383462851,-0.5010033589,-0.3389606388,-2.609462964,-1.9868204592
xk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xk2,0.1653954343,0.1714414619,0.1703387497,0.1651879669,0.1664894841,0.1722010694,0.168787255,0.1695711193,0.1635613852,0.1715340702,0.1648185722,0.1771485109,0.1702230354,0.172077775,0.1720792364,0.1668504405,0.1703565933,0.1693174475,0.1723024512,0.1691177428
xk2,0.2098084655,-0.1957848094,0.0526440147,0.5026787761,0.2347783397,-0.2256035812,0.0836347698,0.0037394526,0.544194053,-0.2344628431,0.5347006541,-0.6960181607,-0.1044488415,-0.1601075557,-0.1785452022,0.2274786147,0.026347452,0.0936872425,-0.3284892589,0.0860236625
xk2,0.4012833762,-0.300821256,-1.3421254823,-1.0838207759,-0.2772459723,-0.3627951823,-0.5808924567,-0.575111031,-0.4718687168,-0.0718464469,-0.9189439314,-0.3120814419,-0.347542576,-1.0814718115,-0.5825434401,-0.4333944861,-0.9103619688,-0.972715341,-0.0623960737,-0.5886475157
xk2,0.9068424227,-0.1650298571,-0.6280114855,-1.0788839789,-0.054695304,-0.7724165363,-0.1656767226,-0.1065556884,-0.2559579099,-0.1271329479,-1.1394361664,-0.4083824058,0.0742948772,-0.1145464264,-1.2421622273,-0.0280510055,-1.1863711268,-0.3995889845,0.0735206231,-1.1204465737
xk2,1.1964618995,-0.233746174,0.170344613,0.4614102513,1.12896943,-0.2655728401,-0.2813937494,0.0583492903,0.4504469507,0.0004943437,-0.2960093802,-0.2980081591,1.1202940649,0.1344558554,0.5859198818,0.5444368346,0.0571650368,0.0913812801,1.5231171796,0.6570665697
xk2,1.5165648107,2.2143216054,0.7311570619,1.298470612,1.5804061456,0.4753951306,1.2986884833,1.8272201749,0.5240455898,1.5630694934,-0.6552807842,0.6173669959,1.8534405898,1.2306298156,0.2684194238,1.2396077068,-0.0061061256,0.0132104714,0.6266719752,0.0888384926
xk2,0.9312610257,-0.0974380407,-0.2839076272,-0.6464722097,-0.058613245,-0.1369806254,0.1989093545,0.2494044109,0.150957545,0.4808123349,-1.0066073452,-1.1012121487,1.2852669913,0.3833610001,0.3492803137,-0.2019773716,-1.7456274135,0.5511197306,0.7088804889,0.4972976914
xk2,0.1722763672,-0.5348877517,-1.6681415936,-2.0151854337,-1.8294438954,-2.5092431066,-0.4425114067,-1.0275313674,-1.6462185759,-1.3818615161,-2.6931708026,-1.4659093444,-0.497107415,-2.2610168646,-2.0593067488,-0.4540096737,-3.4525566153,-2.793547936,-0.3297722668,-1.3947544692
xk2,-0.691956134,-0.1257347147,-2.5142208951,-2.2357119689,-1.8147217225,-1.9968443526,-1.6994657023,-1.2084171191,-1.7838871737,-1.8802655102,-3.4569039816,-1.8553835997,-0.9653611799,-1.5479088051,-1.4259393623,-1.5357256004,-2.0793487014,-1.3428813265,-0.9025341665,-0.7809341371
xk2,3.8067457692,1.987998521,0.2606349863,1.5328285887,1.9107816394,1.1348919295,2.9582893584,1.1525222183,1.4903132505,2.2870565103,-0.4129572658,1.4272858628,2.0859393001,0.3825735546,1.3022321164,2.7228192188,-0.4571497367,0.2350396695,3.513298603,2.4784104962
xk2,5.0771382545,3.6440020195,2.5099365543,3.4780033634,2.1871308408,3.6321650727,4.4519412308,3.8678377941,3.9136140246,4.6220314288,1.7202767001,4.1846427996,4.4325906512,3.5993693683,4.4251720528,3.5449633969,2.8338426548,2.956909359,5.3036866754,5.1381795011
