Parameter,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE
Cost,21.1029969194,43.7942516407,24.4042491453,82.5710588179,29.1096625925,22.120654979,26.2538609181,25.0498362216,26.9975144007,46.4619679245,41.5782096094,73.736537441,118.9321612615,7.7378846073,95.0061304412,300.0192739826,34.1738343405,29.25751771,14.6557611131,55.6825074828
xk1,-0.128748731,-0.2427832988,-0.2769506858,0.155341979,-0.0393613185,0.116523793,-0.1806762138,0.1848763614,-0.0159266553,0.3183716967,0.0044870078,0.055779131,-0.2097686417,0.0496032799,-0.0543252386,-0.0703499916,-0.0789499034,0.0075756776,-0.1266744715,-0.1243689164
xk1,-0.6563437656,-0.4961160264,-0.6539208225,0.3605783889,0.2468256938,0.3731237204,-0.5596425825,0.418737787,-0.1026556654,0.6189799578,-0.1511024201,0.1393675324,-0.3264190534,0.1242131058,0.1018424863,0.0077013142,-0.457258563,-0.0467707735,-0.3232258352,0.0698135883
xk1,-1.2088639116,-0.4912113072,-1.3181247633,0.6716059303,0.7929497225,0.4800999242,-0.70621224,0.9881258867,-0.0265713401,0.9243890627,-0.567414698,0.0203583175,-0.0550820739,0.1887610588,0.1207058293,0.4444981844,-1.0845491131,0.2028636093,-0.7175874821,-0.1098193278
xk1,-1.3623742684,-0.1969425972,-1.4302296483,0.7078847612,1.3511050579,0.6357044088,-0.7803252432,1.6268721508,0.7544653752,1.2302096247,-0.7992027337,-0.0384375064,0.3645777076,0.3671400727,0.1517883991,0.9988682455,-1.9368382737,0.8019188691,-1.0255861268,-0.5233987612
xk1,-2.0022286484,0.2357522911,-1.4221942261,0.8388493905,1.9961822855,0.593699494,-1.2157946448,2.259920335,1.8844305616,1.8722816369,-0.9827765305,-0.2158757373,0.5021411518,0.3917046066,-0.4388332223,1.5136509167,-1.9199047574,1.0197815047,-1.0182225774,-1.4215911085
xk1,-1.6772678482,0.6598956549,-1.3732707337,1.3458580445,2.2981278003,0.5289481793,-1.374623236,1.6654603235,2.9900676812,1.3522357591,-1.2251826745,-0.3918785294,0.6112739084,0.2478565541,-1.2905402302,1.7582081683,-1.356131603,1.187948016,-0.6977871304,-2.7702983611
xk1,-0.9865808182,0.5230374909,-1.1250501702,1.6467232579,1.0828624085,0.5445695647,-1.3579839817,0.6298125601,2.9848860811,0.8288744328,-2.2646585093,-0.7794548166,0.5871376727,-0.0382149568,-2.5346728317,1.2279514983,-1.4750102338,1.3716835704,-0.5183763495,-3.4444324752
xk1,-0.8950779699,0.8306116484,-0.3017444812,1.4708318752,0.3724103426,0.3746939637,-2.1316776378,-0.4483013123,3.3436705523,0.2337568439,-1.8394802453,-1.2106661817,0.9682986227,-0.5208506132,-3.743881633,0.9129003021,0.5619692471,1.4945311125,-1.0750150193,-2.1164362248
xk1,-0.3161118137,1.7645517184,-0.3562372408,1.1747456083,-0.5136303552,0.6622588293,-0.3588861522,0.2408695706,2.0894473657,-0.0680961504,-1.1195385698,-0.5219337457,1.6981766568,-0.6614916943,1.6270645186,0.6625762957,1.2670797002,0.9313967761,-1.5831181253,-1.2043179425
xk1,0.2915462084,2.2824017741,-0.0287516046,1.8742819754,0.042808402,1.7491329145,0.3777612556,1.1391250223,1.9603815477,0.6002612763,-0.4603221419,0.2737460423,2.9507820891,-0.12694681,4.9058312589,0.7643450365,1.1409712074,1.2611668372,0.3600130963,0.656911023
xk1,1.2890802687,0.0854436886,-0.5624679825,-1.0722234227,1.2268799352,2.3700385459,0.5988765189,1.8410684817,0.7139131422,0.622016283,2.0072501808,0.9876671874,1.4066758071,1.306804838,6.0553544352,0.5079128447,1.4927178093,1.0973351259,1.6520687853,0.9773128306
xk1,1.548690167,-1.4832031108,-1.1667142183,-3.1568337479,0.7627240567,0.3769286403,0.0327068373,1.3794585445,0.9255033912,1.6366614823,1.4193404312,0.4891167466,-0.3937669006,1.380973615,5.2726327923,-0.7862886866,1.2711213774,0.946719124,2.0852240959,-0.6356908215
