Parameter,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual
Cost,[81.64851505],[124.62227918],[159.48832272],[359.15311079],[186.18399059],[128.2838873],[468.78697955],[128.94345498],[90.03084659],[126.89349089],[103.20048535],[97.64692738],[229.18127129],[121.42062329],[95.33171105],[75.67095126],[442.43380855],[96.48076033],[95.46907808],[140.20297529]
xk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xk1,-0.0197681034,-0.1288156156,-0.1503604056,0.0164487741,0.0180413957,-0.0150516571,0.0801601248,0.2524729861,0.0520572256,-0.1509406613,0.087787305,-0.0791023513,-0.0829890369,-0.0323102813,0.1321365837,-0.5321915078,-0.3279322303,-0.011229706,0.0549019194,-0.2800273501
xk1,-0.0032746142,-0.3693830987,-0.3720542237,0.0642516201,0.112235183,-0.1356337693,0.1859450064,0.4336785492,0.3040796061,-0.4729316901,0.1162167119,-0.231881572,-0.3060233615,-0.1510189111,0.5600978926,-1.4562456773,-0.9623263576,-0.2672949025,0.795815564,-0.8610021003
xk1,0.3084843554,-0.6688776248,-0.6317007687,0.1634508109,-0.1461067046,-0.0433061614,0.8400692884,0.7353602721,0.5507708444,-0.6684786286,0.1943622996,-0.8900038609,-0.874587654,-0.4067321047,1.1752680009,-2.617050501,-2.3898756428,-0.6247921669,2.2862454332,-1.9570002116
xk1,0.9320893842,-0.4646996067,-1.2112552782,0.485538618,-0.2979842237,0.0705830992,1.9121223022,1.0770951614,1.0548500414,-0.9146190129,0.3083422326,-1.8562815265,-1.7049740965,-0.4845956846,1.7538317024,-4.4427865241,-3.262186986,-1.0332030408,4.7192992686,-3.0282201272
xk1,2.0209192364,-0.4020784669,-1.8116502418,0.7005983823,-0.5562440328,0.034066963,3.1596515681,1.4371903089,1.7110135179,-1.4626715842,0.1282185567,-3.1051809078,-2.903310961,-0.6220117752,2.5961579914,-2.7803376773,-3.9988642026,-1.504691858,5.4696104664,-3.6655628334
xk1,3.1987143306,-0.5711865024,-3.103200244,0.8055562696,-1.0097988045,-0.1051171178,4.2181698031,1.9095269556,2.4180186722,-2.2600348024,0.0623590229,-4.3608712084,-2.650210001,-0.6268913145,2.4081233522,-2.0036155331,-2.1779779516,-2.4294539887,6.5009327693,-3.05625633
xk1,4.8258813688,-1.2227359688,-2.1210851498,1.0007528574,-1.8924797826,-0.4322544831,3.2982925858,1.5928792857,2.2366797848,-1.9742271937,-0.300778774,0.1555291787,-2.4515614898,-0.7680723829,2.115896695,-2.1649876578,-1.0324014824,-1.9805344239,2.3066233609,-1.6799676473
xk1,-0.0030582233,-2.3191554863,-1.8041699997,1.0448530235,-2.5649748897,-0.7580512579,1.9223892542,0.6349702843,2.2279407489,-1.5785288,-0.6992339305,2.9115965324,-1.1889087816,-1.0249605833,1.4516753355,-1.6368307417,-0.078926081,-1.4406116503,0.6771469208,0.3985787167
