Parameter,Case Opt,Case CE,Case Dual
Cost,[2.8094477],24.4042491453,[159.48832272]
xk1,0,-0.2769506858,0
xk1,0.155500843,-0.6539208225,-0.1503604056
xk1,0.1463629683,-1.3181247633,-0.3720542237
xk1,-0.035983034,-1.4302296483,-0.6317007687
xk1,-0.9085866699,-1.4221942261,-1.2112552782
xk1,-0.0972927501,-1.3732707337,-1.8116502418
xk1,0.5337405491,-1.1250501702,-3.103200244
xk1,0.737356315,-0.3017444812,-2.1210851498
xk1,-0.7244784803,-0.3562372408,-1.8041699997
xk1,-1.024422112,-0.0287516046,-1.8071101732
xk1,-0.6496570148,-0.5624679825,-1.6848122163
xk1,2.2980025662,-1.1667142183,-0.6736070666
xk1,2.2394156103,-2.3078275324,-0.2535488729
xk1,-0.8546721307,-3.6520962866,-0.4614129473
xk1,-6.7840620532,-2.0307037555,-0.6983548
xk1,-2.0330414234,3.468164268,-1.2565111935
xk1,8.1262029565,8.1236490924,-2.11286105
xk1,14.7745755211,6.8324547868,-3.0857477125
xk1,1.4427178437,-1.0613472864,-3.7280155514
xk1,0.3319119126,0.0607065353,-1.0111920934
xk2,0,-0.4177723004,0
xk2,0.1703387497,-0.6550801262,-0.2268144142
xk2,0.0526440147,-1.1574129223,-0.381343489
xk2,-1.3421254823,-0.6287855245,-0.481406815
xk2,-0.6280114855,-0.5728045001,-1.094616134
xk2,0.170344613,-0.7880699272,-1.3836697662
xk2,0.7311570619,-0.4295819729,-2.6139686143
xk2,-0.2839076272,0.6295357136,0.2354237472
xk2,-1.6681415936,-0.5000682588,-0.523351227
xk2,-2.5142208951,0.0128082679,-1.6920452893
xk2,0.2606349863,-0.6838045175,-0.812634738
xk2,2.5099365543,-1.137610562,0.9419990234
xk2,0.2472959566,-2.0506529011,-0.0602624465
xk2,-7.1544704476,-2.8366071282,-1.0611118167
xk2,-6.5451501034,1.075445467,-0.4513188777
xk2,4.603248008,7.1297075919,-0.8231179257
xk2,16.1556086481,6.6861324561,-1.8917187339
xk2,6.1228744628,-0.5653699819,-2.3503842376
xk2,-13.1395316737,-8.3836176821,-2.1037788676
xk2,1.2559940628,4.8268713594,2.4592684853
xk3,0,-0.5258987317,0
xk3,0.1971017333,-0.5519024136,-0.2855176279
xk3,-0.0265463862,-1.2499307242,-0.3319763899
xk3,-0.9009363476,-0.5499240878,-0.4768287448
xk3,0.7534164413,-1.2446488646,-1.3562567883
xk3,0.1097716688,-1.5153953091,-1.4670660491
xk3,0.6354314253,-0.7507463184,-3.2166786327
xk3,-0.7500325716,0.3321949246,0.7605277522
xk3,-1.0519314014,-1.6512349433,-2.9049068272
xk3,-1.7718348942,0.4043937579,-2.9179279539
xk3,2.4451923782,-0.9347128522,-0.4718124608
xk3,2.1133902058,-1.078036573,0.6370404213
xk3,-0.6664406674,-2.2400792259,-1.8166029079
xk3,-7.1576876289,-3.1157426282,-1.3457654389
xk3,-0.2331883949,1.569902398,0.3437206522
xk3,7.2502825895,5.7801267874,-1.1766941057
xk3,12.5893719565,2.8902552381,-2.4736641315
xk3,-4.4779139191,-1.2916115371,-2.4908950217
xk3,-9.9426043104,-3.6350529876,-2.5305018835
xk3,0,15.0355063433,2.3545277579
uk,0.0092619206,-0.3709912097,-0.2014159367
uk,-0.8046741034,0.5273694774,0.2635017504
uk,1.7861721883,0.6166723135,0.5335079517
uk,0.8604726487,2.7975410881,0.453958878
uk,2.7045946298,1.8337519902,2.1025227986
uk,0.682404128,2.3561137249,1.8790995858
uk,-0.8311878533,3.0685205866,8.3348067299
uk,-1.547709497,2.7054947728,0.5087257316
uk,4.4205892001,-0.9481713389,3.6857363241
uk,5.8040224406,2.4771019405,5.2641054595
uk,3.7235877354,-1.0306315775,3.4518039005
uk,-5.6467539316,0.9867419831,-0.7552759592
uk,-2.5196007697,1.1940763039,1.3152872069
uk,5.7158585763,3.429277994,2.20343161
uk,19.4564190445,9.6267124149,-0.1591196021
uk,1.8787323821,5.776751909,1.3158903713
uk,-21.577240592,-8.3397517899,3.8296328756
uk,-31.5436543047,-15.6323640205,5.2731531429
uk,22.8510386161,-11.9737624137,9.797524217
t1,1.8,1,1
t1,1.8,0.9956568399,0.9973929516
t1,1.8,0.9944849003,0.9953134433
t1,1.8,1.0597697127,0.9968833022
t1,1.8,1.065641417,1.1027397943
t1,1.8,1.1504673392,1.1018854638
t1,1.8,1.1949655939,1.3428213748
t1,1.8,1.1925142277,1.3558164822
t1,1.8,1.1839109644,1.6937975583
t1,1.8,1.4922667287,1.7461258408
t1,1.8,1.5714483954,1.7669019149
t1,1.8,1.4053516651,1.6875243697
t1,1.8,1.3657638151,1.5632653801
t1,1.8,1.2882243114,1.5658931884
t1,1.8,1.3486927339,1.4080127682
t1,1.8,1.349039323,1.5472508409
t1,1.8,1.6729381255,2.2087792951
t1,1.8,1.628367524,1.5713678808
t1,1.8,1.1109223987,1.5720876618
t1,1.8,1.1263622117,1.9271663229
t2,-1.01,-0.6,-0.6
t2,-1.01,-0.6043431601,-0.6026070484
t2,-1.01,-0.5982192672,-0.5983162822
t2,-1.01,-0.4940144717,-0.5939846985
t2,-1.01,-0.4453673287,-0.5132598251
t2,-1.01,-0.3800352706,-0.498023436
t2,-1.01,-0.4003623647,-0.1139258579
t2,-1.01,-0.4136017532,-0.0844899122
t2,-1.01,-0.3992301057,0.3163783127
t2,-1.01,-0.275707062,0.1120712387
t2,-1.01,-0.1987522615,0.0990358444
t2,-1.01,0.0231978523,0.1542608618
t2,-1.01,-0.2206263808,0.2683701117
t2,-1.01,-0.1590099733,0.267018608
t2,-1.01,0.0507822905,0.011786841
t2,-1.01,0.0507401421,0.3760812185
t2,-1.01,-0.5604862499,0.2064434181
t2,-1.01,-0.6865152856,0.2378107552
t2,-1.01,-0.7217306712,0.2815580274
t2,-1.01,-0.7170610846,-0.1575054888
t3,0.58,0.3,0.3
t3,0.58,0.299565684,0.2997392952
t3,0.58,0.3008083038,0.3008552778
t3,0.58,0.309412437,0.3014193462
t3,0.58,0.3232656643,0.3056368252
t3,0.58,0.3306590751,0.3136642095
t3,0.58,0.346842684,0.3446820283
t3,0.58,0.3545614295,0.3123391517
t3,0.58,0.3389180555,0.2532055602
t3,0.58,0.2771821463,0.2967921389
t3,0.58,0.2519815712,0.2967343285
t3,0.58,0.2085789242,0.2893708488
t3,0.58,0.2520152619,0.2920921083
t3,0.58,0.2819919424,0.2929658884
t3,0.58,0.3000212391,0.2768998121
t3,0.58,0.2999685211,0.2207818171
t3,0.58,0.2347187868,0.2677910648
t3,0.58,0.2407049016,0.2369280894
t3,0.58,0.2130865201,0.2360288997
t3,0.58,0.2085971482,0.129089947
t4,0.3,0.1,0.1
t4,0.3,0.1008472547,0.1003763452
t4,0.3,0.0999043714,0.0997014718
t4,0.3,0.0885148761,0.0992475435
t4,0.3,0.0760675043,0.0901047864
t4,0.3,0.0619709537,0.0845257968
t4,0.3,0.0330836501,0.0335347812
t4,0.3,0.0195778345,0.0787363379
t4,0.3,0.0556643649,0.0123970689
t4,0.3,0.0122869962,-0.0356111252
t4,0.3,0.0353316004,-0.0384392623
t4,0.3,0.0326830626,-0.019339885
t4,0.3,0.0347297989,-0.047599521
t4,0.3,0.0341511747,-0.0479892851
t4,0.3,0.0205963662,-0.0333169599
t4,0.3,0.0205553298,-0.0359520012
t4,0.3,-0.0295674739,-0.0671829472
t4,0.3,-0.068742598,-0.0118806062
t4,0.3,-0.0308521541,-0.014038865
t4,0.3,-0.0344270746,-0.0806308719
t5,0.5,0.7,0.7
t5,0.5,0.7008472547,0.7003763452
t5,0.5,0.6996935218,0.6995368109
t5,0.5,0.6897061859,0.699108426
t5,0.5,0.6792654488,0.6963175407
t5,0.5,0.6812219913,0.6921023642
t5,0.5,0.6731296733,0.6815442652
t5,0.5,0.6656560053,0.7264558015
t5,0.5,0.6823331764,0.8086698294
t5,0.5,0.7104868135,0.7460514363
t5,0.5,0.7454291569,0.7410496454
t5,0.5,0.7665334209,0.7395180743
t5,0.5,0.7689085164,0.7272687208
t5,0.5,0.7699727555,0.7262913216
t5,0.5,0.7562084872,0.7621668436
t5,0.5,0.7561567124,0.7644355542
t5,0.5,0.7750411644,0.7524065119
t5,0.5,0.7724717504,0.789870707
t5,0.5,0.6007147621,0.7869378342
t5,0.5,0.6040753073,0.737637183
t6,1,1.5,1.5
t6,1,1.5084725471,1.5037634522
t6,1,1.5001116985,1.4978444616
t6,1,1.3527271416,1.4925397619
t6,1,1.2253773868,1.381263689
t6,1,1.0583654184,1.3300117982
t6,1,0.8807060881,0.8352335273
t6,1,0.8071937169,1.2404062371
t6,1,1.0018384565,1.1464228043
t6,1,1.1063551431,1.009854402
t6,1,1.2117420798,0.9828474749
t6,1,1.3385212928,1.1333820946
t6,1,1.3009710182,1.1974890131
t6,1,1.2460200979,1.1944440657
t6,1,1.0602407113,1.5516914998
t6,1,1.0597433811,1.5682311778
t6,1,0.8116153547,1.3870161744
t6,1,0.8946170514,1.6284157359
t6,1,1.0733294759,1.6085682702
t6,1,1.0744380386,1.1085319814
