Parameter,Case Opt
Cost,[5.44053591]
xk1,0.23107327289586269
xk1,0.006968039934276221
xk1,-0.4073753209845064
xk1,-0.35176761068712253
xk1,-0.3895214644048411
xk1,1.6208365424331872
xk1,-0.058101676015269256
xk1,-0.5892444628720828
xk1,-1.0790265811696163
xk1,-1.4027202817554691
xk1,3.0191876280533125
xk1,2.5939695965772556
xk1,-1.089344373329736
xk1,-5.944811938982537
xk1,-3.626026069632335
xk1,9.512863624183781
xk1,12.014231561598077
xk1,2.0276493980672416
xk1,-2.609462963958593
xk1,0.0
xk2,0.17230245119750495
xk2,-0.3284892588630944
xk2,-0.062396073674089635
xk2,0.07352062311193817
xk2,1.523117179627305
xk2,0.6266719751517946
xk2,0.7088804889147095
xk2,-0.32977226676241783
xk2,-0.9025341665420439
xk2,3.5132986030434865
xk2,5.303686675383654
xk2,2.644603771073514
xk2,-4.291377288574587
xk2,-5.021291903711756
xk2,7.492760471839198
xk2,16.545335722594793
xk2,9.877905806821154
xk2,-14.369358566408144
xk2,0.7749036715213566
xk2,0.0
xk3,0.16935657744136853
xk3,-0.31185218149742855
xk3,0.02325936522326806
xk3,-0.23169176210422937
xk3,1.4463128120958122
xk3,-1.3057048190509755
xk3,1.6613021410851045
xk3,-1.423936503239355
xk3,-1.1814748682604936
xk3,4.502782909625737
xk3,1.0121376645625648
xk3,-0.19317827321859507
xk3,-6.106445704324421
xk3,-1.921227101007033
xk3,9.903585809106913
xk3,8.152635333168382
xk3,1.2260997393813617
xk3,-18.678530746079137
xk3,20.743774494590618
xk3,0.0
uk,-0.23668702461774635
uk,1.0453744065572916
uk,-0.8419618121626861
uk,0.1086264359485643
uk,-1.427451676120353
uk,1.3206007614328856
uk,-5.148569681326943
uk,-3.0664372306590146
uk,0.7679517805123774
uk,-1.222289046010145
uk,-1.0445457718715407
uk,-12.338577273642203
uk,-10.2352605909526
uk,2.021892669549362
uk,9.726395278878847
uk,2.886427877005325
uk,-32.89893213582136
uk,-31.368595940445434
uk,21.047803238370605
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
